,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,9,2,7,0.222,739,808,82.1,89.8
1,2,Baltimore Bullets,28,16,12,0.571,2173,2181,77.6,77.9
2,3,Boston Celtics,386,147,239,0.381,39586,40936,102.6,106.1
3,4,Brooklyn Nets,188,103,85,0.548,19607,19056,104.3,101.4
4,5,Charlotte Hornets,126,67,59,0.532,12888,12741,102.3,101.1
5,6,Chicago Bulls,252,117,135,0.464,25556,25714,101.4,102.0
6,7,Chicago Stags,2,1,1,0.5,141,151,70.5,75.5
7,8,Cleveland Cavaliers,236,127,109,0.538,24192,24058,102.5,101.9
8,9,Dallas Mavericks,82,45,37,0.549,8398,8278,102.4,101.0
9,10,Denver Nuggets,7,7,0,1.0,685,566,97.9,80.9
10,11,Denver Nuggets,95,51,44,0.537,10111,10116,106.4,106.5
11,12,Detroit Pistons,438,213,225,0.486,44340,44530,101.2,101.7
12,13,Golden State Warriors,297,147,150,0.495,31242,31384,105.2,105.7
13,14,Houston Rockets,160,79,81,0.494,17079,17151,106.7,107.2
14,15,Indiana Pacers,201,107,94,0.532,20710,20645,103.0,102.7
15,16,Indianapolis Olympians,35,15,20,0.429,2656,2708,75.9,77.4
16,17,Los Angeles Clippers,128,80,48,0.625,13535,13114,105.7,102.5
17,18,Los Angeles Lakers,336,142,194,0.423,33969,34912,101.1,103.9
18,19,Memphis Grizzlies,52,32,20,0.615,5262,5080,101.2,97.7
19,20,Miami Heat,130,57,73,0.438,12544,12894,96.5,99.2
20,21,Milwaukee Bucks,229,114,115,0.498,23526,23697,102.7,103.5
21,22,Minnesota Timberwolves,63,40,23,0.635,6375,6286,101.2,99.8
22,23,New Orleans Pelicans,41,21,20,0.512,3986,4019,97.2,98.0
23,24,New York Knicks,384,198,186,0.516,39645,39569,103.2,103.0
24,25,Oklahoma City Thunder,139,70,69,0.504,14997,14908,107.9,107.3
25,26,Orlando Magic,127,66,61,0.52,12621,12664,99.4,99.7
26,27,Philadelphia 76ers,390,192,198,0.492,40212,40251,103.1,103.2
27,28,Phoenix Suns,134,59,75,0.44,14062,14340,104.9,107.0
28,29,Portland Trail Blazers,120,60,60,0.5,12451,12555,103.8,104.6
29,30,Sacramento Kings,321,162,159,0.505,33395,33305,104.0,103.8
30,31,San Antonio Spurs,99,42,57,0.424,10121,10447,102.2,105.5
31,32,Sheboygan Red Skins,7,4,3,0.571,624,615,89.1,87.9
32,33,St. Louis Bombers,2,0,2,0.0,133,161,66.5,80.5
33,34,Toronto Raptors,99,49,50,0.495,9906,9956,100.1,100.6
34,35,Utah Jazz,108,51,57,0.472,10947,10950,101.4,101.4
35,36,Washington Capitols,4,2,2,0.5,304,291,76.0,72.8
36,37,Washington Wizards,312,162,150,0.519,32954,32728,105.6,104.9
37,38,Waterloo Hawks,7,4,3,0.571,586,579,83.7,82.7
