,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Red Auerbach,1950,1950,1,57,28,29,.491,-0.5,1,3,1,2,.333,0,0
1,2,Hubie Brown,1977,1981,5,407,199,208,.489,-4.5,3,16,6,10,.375,0,0
2,3,Mike Budenholzer,2014,2018,5,410,213,197,.520,8.0,4,39,17,22,.436,0,0
3,4,Larry Drew,2011,2013,3,230,128,102,.557,13.0,3,24,10,14,.417,0,0
4,5,Cotton Fitzsimmons,1973,1976,4,320,140,180,.438,-20.0,1,6,2,4,.333,0,0
5,6,Mike Fratello,1981,1990,8,577,324,253,.562,35.5,5,40,18,22,.450,0,0
6,7,Harry Gallatin,1963,1965,3,193,111,82,.575,14.5,2,23,12,11,.522,0,0
7,8,Richie Guerin,1965,1972,8,618,327,291,.529,18.0,8,60,26,34,.433,0,0
8,9,Alex Hannum,1957,1958,2,103,56,47,.544,4.5,2,21,14,7,.667,0,1
9,10,Red Holzman,1954,1957,4,203,83,120,.409,-18.5,1,8,4,4,.500,0,0
10,11,Lon Kruger,2001,2003,3,191,69,122,.361,-26.5,,,,,,,
11,12,Andrew Levane,1953,1962,3,177,58,119,.328,-30.5,,,,,,,
12,13,John Logan,1951,1951,1,3,2,1,.667,0.5,,,,,,,
13,14,Kevin Loughery,1982,1983,2,164,85,79,.518,3.0,2,5,1,4,.200,0,0
14,15,Ed Macauley,1959,1960,2,137,89,48,.650,20.5,2,20,9,11,.450,0,0
15,16,Slater Martin,1957,1957,1,8,5,3,.625,1.0,,,,,,,
16,17,Dave McMillan,1951,1951,1,23,9,14,.391,-2.5,,,,,,,
17,18,Nate McMillan,2021,2022,2,120,70,50,.583,10.0,2,23,11,12,.478,0,0
18,19,Doxie Moore,1952,1952,1,66,17,49,.258,-16.0,,,,,,,
19,20,Bob Pettit,1962,1962,1,6,4,2,.667,1.0,,,,,,,
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Andy Phillip,1959,1959,1,10,6,4,.600,1.0,,,,,,,
23,22,Lloyd Pierce,2019,2021,3,183,63,120,.344,-28.5,1,18,10,8,.556,0,0
24,23,Roger Potter,1950,1950,1,7,1,6,.143,-2.5,,,,,,,
25,24,Paul Seymour,1961,1962,2,93,56,37,.602,9.5,1,12,5,7,.417,0,0
26,25,Terry Stotts,2003,2004,2,137,52,85,.380,-16.5,,,,,,,
27,26,Mike Todorovich,1951,1951,1,42,14,28,.333,-7.0,,,,,,,
28,27,Gene Tormohlen,1976,1976,1,8,1,7,.125,-3.0,,,,,,,
29,28,Bob Weiss,1991,1993,3,246,124,122,.504,1.0,2,8,2,6,.250,0,0
30,29,Lenny Wilkens,1994,2000,7,542,310,232,.572,39.0,6,47,17,30,.362,0,0
31,30,Mike Woodson,2005,2010,6,492,206,286,.419,-40.0,3,29,11,18,.379,0,0
