,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-21,,,Box Score,,Dallas Mavericks,W,,113,87,1,0,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
1,2,2021-10-23,,,Box Score,@,Cleveland Cavaliers,L,,95,101,1,1,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
2,3,2021-10-25,,,Box Score,,Detroit Pistons,W,,122,104,2,1,B. Bogdanović · C. Capela · J. Collins · K. Huerter · T. Young
3,4,2021-10-27,,,Box Score,@,New Orleans Pelicans,W,,102,99,3,1,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
4,5,2021-10-28,,,Box Score,@,Washington Wizards,L,,111,122,3,2,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
5,6,2021-10-30,,,Box Score,@,Philadelphia 76ers,L,,94,122,3,3,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
6,7,2021-11-01,,,Box Score,,Washington Wizards,W,,118,111,4,3,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
7,8,2021-11-03,,,Box Score,@,Brooklyn Nets,L,,108,117,4,4,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
8,9,2021-11-04,,,Box Score,,Utah Jazz,L,,98,116,4,5,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
9,10,2021-11-06,,,Box Score,@,Phoenix Suns,L,,117,121,4,6,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
10,11,2021-11-08,,,Box Score,@,Golden State Warriors,L,,113,127,4,7,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
11,12,2021-11-09,,,Box Score,@,Utah Jazz,L,,98,110,4,8,C. Capela · J. Collins · S. Hill · K. Huerter · T. Young
12,13,2021-11-12,,,Box Score,@,Denver Nuggets,L,,96,105,4,9,B. Bogdanović · C. Capela · J. Collins · D. Hunter · T. Young
13,14,2021-11-14,,,Box Score,,Milwaukee Bucks,W,,120,100,5,9,B. Bogdanović · C. Capela · J. Collins · K. Huerter · T. Young
