,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,James Capers Jr.,,3,2,1,0.667,100.0,,114.3,23.0,16.0,6.7,1.3,,109.3,14.7,24.0,7.3,3.7,,5.0,8.3,-8.0,-0.6,-2.4
1,2,Dedric Taylor,,3,2,1,0.667,99.1,,111.7,18.7,17.3,7.0,2.0,,110.0,17.7,20.7,8.3,3.0,,1.7,1.0,-3.4,-1.3,-1.0
2,3,Scott Twardoski,,2,1,1,0.5,97.9,,105.5,16.5,18.0,8.0,1.5,,97.0,16.0,20.5,7.0,2.5,,8.5,0.5,-2.5,1.0,-1.0
3,4,Curtis Blair,,6,2,4,0.333,96.2,,107.7,18.7,18.8,8.0,0.7,,111.5,20.2,20.0,7.2,2.3,,-3.8,-1.5,-1.2,0.8,-1.6
4,5,Nate Green,,2,1,1,0.5,97.8,,109.5,18.5,22.0,6.5,0.5,,108.0,22.5,18.0,7.0,1.5,,1.5,-4.0,4.0,-0.5,-1.0
5,6,Scott Wall,,5,3,2,0.6,95.8,,114.6,22.4,22.0,8.8,2.0,,109.0,25.0,21.6,7.6,2.4,,5.6,-2.6,0.4,1.2,-0.4
6,7,Aaron Smith,,5,2,3,0.4,96.4,,111.4,18.4,19.4,10.2,1.2,,113.0,25.0,16.4,8.2,1.2,,-1.6,-6.6,3.0,2.0,0.0
7,8,Jonathan Sterling,,2,1,1,0.5,96.5,,114.0,17.5,21.0,11.0,1.5,,110.0,20.5,16.5,7.5,0.5,,4.0,-3.0,4.5,3.5,1.0
8,9,Josh Tiven,,6,4,2,0.667,97.5,,117.3,23.2,18.5,7.7,1.3,,114.7,17.7,19.5,9.2,1.5,,2.6,5.5,-1.0,-1.5,-0.2
9,10,Brian Forte,,7,3,4,0.429,97.8,,116.0,18.1,19.4,8.6,1.4,,118.1,20.7,19.0,7.9,1.6,,-2.1,-2.6,0.4,0.7,-0.2
10,11,Pat Fraher,,4,3,1,0.75,95.8,,111.3,18.3,14.8,6.0,1.3,,106.5,14.8,17.8,8.0,1.3,,4.8,3.5,-3.0,-2.0,0.0
11,12,Evan Scott,,4,2,2,0.5,97.1,,116.8,23.8,21.3,7.5,2.3,,114.8,21.3,22.5,9.5,2.0,,2.0,2.5,-1.2,-2.0,0.3
12,13,Derek Richardson,,3,0,3,0.0,98.1,,107.0,15.7,18.7,8.0,0.3,,116.3,21.3,19.7,6.3,3.3,,-9.3,-5.6,-1.0,1.7,-3.0
13,14,Ben Taylor,,5,1,4,0.2,99.8,,117.4,23.2,19.6,9.0,1.0,,121.6,23.2,20.0,9.4,1.6,,-4.2,0.0,-0.4,-0.4,-0.6
14,15,C.J. Washington,,4,2,2,0.5,97.0,,116.8,23.5,15.8,8.8,0.8,,117.0,18.8,18.5,9.8,0.5,,-0.2,4.7,-2.7,-1.0,0.3
15,16,Ed Malloy,,6,2,4,0.333,95.1,,103.3,20.0,16.7,7.2,0.8,,111.0,16.0,19.0,7.3,1.7,,-7.7,4.0,-2.3,-0.1,-0.9
16,17,Phenizee Ransom,,4,3,1,0.75,94.0,,113.0,20.3,17.8,7.0,0.8,,112.3,16.0,19.8,6.8,1.8,,0.7,4.3,-2.0,0.2,-1.0
17,18,Michael Smith,,3,2,1,0.667,95.3,,108.0,19.7,17.0,8.7,0.7,,106.0,21.3,18.7,8.3,2.7,,2.0,-1.6,-1.7,0.4,-2.0
18,19,Brandon Adair,,5,3,2,0.6,96.3,,110.4,27.0,16.8,8.2,1.2,,111.2,16.2,20.0,10.4,0.6,,-0.8,10.8,-3.2,-2.2,0.6
19,20,Marc Davis,,3,2,1,0.667,95.8,,115.7,25.0,17.7,9.0,1.7,,111.0,18.7,22.0,10.3,1.0,,4.7,6.3,-4.3,-1.3,0.7
