,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,2,0,1.0,205,183,102.5,91.5
1,2,Atlanta Hawks,386,239,147,0.619,40936,39586,106.1,102.6
2,3,Baltimore Bullets,56,38,18,0.679,4886,4547,87.3,81.2
3,4,Brooklyn Nets,207,134,73,0.647,21800,20904,105.3,101.0
4,5,Charlotte Hornets,116,71,45,0.612,12094,11646,104.3,100.4
5,6,Chicago Bulls,236,129,107,0.547,24317,24012,103.0,101.7
6,7,Chicago Stags,23,3,20,0.13,1653,1828,71.9,79.5
7,8,Cleveland Cavaliers,219,136,83,0.621,22811,22089,104.2,100.9
8,9,Cleveland Rebels,6,2,4,0.333,388,415,64.7,69.2
9,10,Dallas Mavericks,82,42,40,0.512,8514,8486,103.8,103.5
10,11,Denver Nuggets,2,1,1,0.5,175,168,87.5,84.0
11,12,Denver Nuggets,96,59,37,0.615,10500,10231,109.4,106.6
12,13,Detroit Falcons,6,3,3,0.5,357,370,59.5,61.7
13,14,Detroit Pistons,386,246,140,0.637,41240,39597,106.8,102.6
14,15,Golden State Warriors,346,208,138,0.601,36681,35665,106.0,103.1
15,16,Houston Rockets,149,94,55,0.631,16026,15628,107.6,104.9
16,17,Indiana Pacers,186,104,82,0.559,19495,19084,104.8,102.6
17,18,Indianapolis Jets,5,3,2,0.6,391,375,78.2,75.0
18,19,Indianapolis Olympians,19,12,7,0.632,1611,1520,84.8,80.0
19,20,Los Angeles Clippers,136,91,45,0.669,14766,14213,108.6,104.5
20,21,Los Angeles Lakers,296,163,133,0.551,31516,30872,106.5,104.3
21,22,Memphis Grizzlies,52,33,19,0.635,5459,5245,105.0,100.9
22,23,Miami Heat,129,78,51,0.605,12864,12696,99.7,98.4
23,24,Milwaukee Bucks,223,114,109,0.511,23623,23406,105.9,105.0
24,25,Minnesota Timberwolves,63,42,21,0.667,6574,6394,104.3,101.5
25,26,New Orleans Pelicans,43,22,21,0.512,4280,4139,99.5,96.3
26,27,New York Knicks,485,299,186,0.616,50959,49369,105.1,101.8
27,28,Oklahoma City Thunder,141,77,64,0.546,15099,14846,107.1,105.3
28,29,Orlando Magic,123,72,51,0.585,12685,12180,103.1,99.0
29,30,Philadelphia 76ers,459,264,195,0.575,48871,47843,106.5,104.2
30,31,Phoenix Suns,133,74,59,0.556,14531,14278,109.3,107.4
31,32,Pittsburgh Ironmen,6,5,1,0.833,347,318,57.8,53.0
32,33,Portland Trail Blazers,120,71,49,0.592,12885,12717,107.4,106.0
33,34,Providence Steam Rollers,20,10,10,0.5,1389,1436,69.5,71.8
34,35,Sacramento Kings,307,188,119,0.612,33343,32161,108.6,104.8
35,36,San Antonio Spurs,99,41,58,0.414,10260,10410,103.6,105.2
36,37,Sheboygan Red Skins,2,1,1,0.5,166,176,83.0,88.0
37,38,St. Louis Bombers,23,8,15,0.348,1618,1691,70.3,73.5
38,39,Toronto Huskies,6,4,2,0.667,390,374,65.0,62.3
39,40,Toronto Raptors,104,62,42,0.596,10568,10368,101.6,99.7
40,41,Utah Jazz,104,59,45,0.567,10906,10722,104.9,103.1
41,42,Washington Capitols,31,12,19,0.387,2222,2426,71.7,78.3
42,43,Washington Wizards,315,196,119,0.622,34570,33174,109.7,105.3
43,44,Waterloo Hawks,2,1,1,0.5,166,162,83.0,81.0
