,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Red Auerbach,1951,1966,16,1192,795,397,0.667,199.0,16.0,148.0,90.0,58.0,0.608,0.0,9.0
1,2,M.L. Carr,1996,1997,2,164,48,116,0.293,-34.0,,,,,,,
2,3,John Carroll,2004,2004,1,36,14,22,0.389,-4.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
3,4,Dave Cowens,1979,1979,1,68,27,41,0.397,-7.0,,,,,,,
4,5,Bill Fitch,1980,1983,4,328,242,86,0.738,78.0,4.0,45.0,26.0,19.0,0.578,1.0,1.0
5,6,Chris Ford,1991,1995,5,410,222,188,0.541,17.0,4.0,29.0,13.0,16.0,0.448,0.0,0.0
6,7,Tom Heinsohn,1970,1978,9,690,427,263,0.619,82.0,6.0,80.0,47.0,33.0,0.588,2.0,2.0
7,8,K.C. Jones,1984,1988,5,410,308,102,0.751,103.0,5.0,102.0,65.0,37.0,0.637,4.0,2.0
8,9,Alvin Julian,1949,1950,2,128,47,81,0.367,-17.0,,,,,,,
9,10,Jim O'Brien,2001,2004,4,258,139,119,0.539,10.0,2.0,26.0,13.0,13.0,0.5,0.0,0.0
10,11,Rick Pitino,1998,2001,4,248,102,146,0.411,-22.0,,,,,,,
11,12,Doc Rivers,2005,2013,9,721,416,305,0.577,55.5,7.0,106.0,59.0,47.0,0.557,2.0,1.0
12,13,Jimmy Rodgers,1989,1990,2,164,94,70,0.573,12.0,2.0,8.0,2.0,6.0,0.25,0.0,0.0
13,14,Bill Russell,1967,1969,3,245,162,83,0.661,39.5,3.0,46.0,28.0,18.0,0.609,0.0,2.0
14,15,John Russell,1947,1948,2,108,42,66,0.389,-12.0,1.0,3.0,1.0,2.0,0.333,0.0,0.0
15,16,Tom Sanders,1978,1979,2,62,23,39,0.371,-8.0,,,,,,,
16,17,Brad Stevens,2014,2021,8,636,354,282,0.557,36.0,7.0,78.0,38.0,40.0,0.487,0.0,0.0
17,18,Ime Udoka,2022,2022,1,82,51,31,0.622,10.0,1.0,12.0,8.0,4.0,0.667,,
