,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,New York Knicks,L,2OT,134,138,0,1,J. Brown · M. Smart · J. Tatum · G. Williams · R. Williams
1,2,2021-10-22,,,Box Score,,Toronto Raptors,L,,83,115,0,2,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
2,3,2021-10-24,,,Box Score,@,Houston Rockets,W,,107,97,1,2,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
3,4,2021-10-25,,,Box Score,@,Charlotte Hornets,W,OT,140,129,2,2,J. Brown · D. Schröder · M. Smart · J. Tatum · R. Williams
4,5,2021-10-27,,,Box Score,,Washington Wizards,L,,107,116,2,3,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
5,6,2021-10-30,,,Box Score,@,Washington Wizards,L,2OT,112,115,2,4,J. Brown · A. Horford · D. Schröder · J. Tatum · G. Williams
6,7,2021-11-01,,,Box Score,,Chicago Bulls,L,,114,128,2,5,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
7,8,2021-11-03,,,Box Score,@,Orlando Magic,W,,92,79,3,5,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
8,9,2021-11-04,,,Box Score,@,Miami Heat,W,,95,78,4,5,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
9,10,2021-11-06,,,Box Score,@,Dallas Mavericks,L,,104,107,4,6,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
10,11,2021-11-10,,,Box Score,,Toronto Raptors,W,,104,88,5,6,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
11,12,2021-11-12,,,Box Score,,Milwaukee Bucks,W,OT,122,113,6,6,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
12,13,2021-11-13,,,Box Score,@,Cleveland Cavaliers,L,,89,91,6,7,D. Schröder · M. Smart · J. Tatum · G. Williams · R. Williams
13,14,2021-11-15,,,Box Score,@,Cleveland Cavaliers,W,,98,92,7,7,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
14,15,2021-11-17,,,Box Score,@,Atlanta Hawks,L,,99,110,7,8,A. Horford · D. Schröder · M. Smart · J. Tatum · G. Williams
15,16,2021-11-19,,,Box Score,,Los Angeles Lakers,W,,130,108,8,8,A. Horford · D. Schröder · M. Smart · J. Tatum · G. Williams
16,17,2021-11-20,,,Box Score,,Oklahoma City Thunder,W,,111,105,9,8,A. Horford · D. Schröder · M. Smart · J. Tatum · G. Williams
17,18,2021-11-22,,,Box Score,,Houston Rockets,W,,108,90,10,8,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
18,19,2021-11-24,,,Box Score,,Brooklyn Nets,L,,104,123,10,9,J. Brown · A. Horford · M. Smart · J. Tatum · G. Williams
19,20,2021-11-26,,,Box Score,@,San Antonio Spurs,L,,88,96,10,10,J. Brown · A. Horford · D. Schröder · M. Smart · J. Tatum
20,21,2021-11-28,,,Box Score,@,Toronto Raptors,W,,109,97,11,10,J. Brown · A. Horford · M. Smart · J. Tatum · G. Williams
21,22,2021-12-01,,,Box Score,,Philadelphia 76ers,W,,88,87,12,10,J. Brown · A. Horford · M. Smart · J. Tatum · R. Williams
22,23,2021-12-03,,,Box Score,@,Utah Jazz,L,,130,137,12,11,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
23,24,2021-12-04,,,Box Score,@,Portland Trail Blazers,W,,145,117,13,11,D. Schröder · M. Smart · J. Tatum · G. Williams · R. Williams
24,25,2021-12-07,,,Box Score,@,Los Angeles Lakers,L,,102,117,13,12,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
25,26,2021-12-08,,,Box Score,@,Los Angeles Clippers,L,,111,114,13,13,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
26,27,2021-12-10,,,Box Score,@,Phoenix Suns,L,,90,111,13,14,A. Horford · D. Schröder · M. Smart · J. Tatum · R. Williams
