,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Scott Foster,,4,2,2,0.5,97.3,,104.6,24.5,17.8,8.3,3.1,,102.2,18.8,20.4,10.5,1.7,,2.4,5.7,-2.6,-2.2,1.4
1,2,Lauren Holtkamp-Sterling,,3,1,2,0.333,97.3,,103.5,18.7,18.4,7.5,1.6,,100.4,19.3,18.1,8.7,1.2,,3.1,-0.6,0.3,-1.2,0.4
2,3,Ed Malloy,,7,4,3,0.571,98.2,,117.1,19.1,20.3,9.8,1.9,,109.0,23.7,19.3,9.4,2.6,,8.1,-4.6,1.0,0.4,-0.7
3,4,Curtis Blair,,5,2,3,0.4,96.2,,102.2,17.0,18.0,8.6,2.2,,108.8,18.4,17.0,8.8,1.6,,-6.6,-1.4,1.0,-0.2,0.6
4,5,Brian Forte,,6,5,1,0.833,96.4,,117.7,18.0,18.8,9.2,2.0,,99.5,21.0,17.7,9.2,0.8,,18.2,-3.0,1.1,0.0,1.2
5,6,Derek Richardson,,3,2,1,0.667,97.9,,100.7,18.3,16.7,7.7,1.7,,107.3,18.3,16.7,7.3,1.3,,-6.6,0.0,0.0,0.4,0.4
6,7,Bennie Adams,,2,2,0,1.0,93.9,,116.0,13.5,21.0,8.0,1.0,,97.0,22.5,17.0,4.5,1.5,,19.0,-9.0,4.0,3.5,-0.5
7,8,J.B. DeRosa,,5,3,2,0.6,96.9,,103.7,18.4,18.4,9.2,1.3,,99.5,21.1,19.2,7.9,1.7,,4.2,-2.7,-0.8,1.3,-0.4
8,9,Ben Taylor,,3,2,1,0.667,95.0,,112.7,16.7,18.0,5.3,1.7,,102.7,13.7,18.0,6.3,1.3,,10.0,3.0,0.0,-1.0,0.4
9,10,Matt Boland,,4,2,2,0.5,99.0,,111.6,24.1,21.2,10.2,1.5,,112.3,24.6,19.5,9.7,1.0,,-0.7,-0.5,1.7,0.5,0.5
10,11,Courtney Kirkland,,3,2,1,0.667,96.9,,122.2,20.3,17.8,8.1,2.2,,118.1,19.3,22.1,7.5,2.8,,4.1,1.0,-4.3,0.6,-0.6
11,12,Matt Myers,,4,4,0,1.0,99.4,,124.0,22.9,20.5,11.5,2.2,,103.1,24.4,19.5,9.7,1.2,,20.9,-1.5,1.0,1.8,1.0
12,13,James Capers Jr.,,6,3,3,0.5,95.8,,107.3,22.5,16.8,7.5,1.7,,99.0,18.7,20.8,9.7,2.2,,8.3,3.8,-4.0,-2.2,-0.5
13,14,Michael Smith,,5,3,2,0.6,98.4,,109.6,24.0,21.2,9.0,3.0,,104.2,22.6,20.8,9.8,2.2,,5.4,1.4,0.4,-0.8,0.8
14,15,Leon Wood,,4,0,4,0.0,94.8,,108.3,19.0,18.0,7.3,1.8,,115.5,18.8,19.3,8.3,2.0,,-7.2,0.2,-1.3,-1.0,-0.2
15,16,John Conley,,2,0,2,0.0,94.6,,91.0,19.5,21.7,12.2,2.3,,93.3,26.3,18.6,8.6,1.8,,-2.3,-6.8,3.1,3.6,0.5
16,17,Zach Zarba,,5,3,2,0.6,96.0,,109.4,22.5,20.7,9.6,1.0,,104.4,21.7,19.4,9.0,1.9,,5.0,0.8,1.3,0.6,-0.9
17,18,Ray Acosta,,7,2,5,0.286,98.5,,110.1,23.4,16.6,8.6,1.4,,114.1,20.7,21.0,10.0,2.7,,-4.0,2.7,-4.4,-1.4,-1.3
18,19,Natalie Sago,,6,2,4,0.333,96.5,,108.7,18.2,19.5,8.7,2.0,,110.2,19.7,17.5,8.3,2.0,,-1.5,-1.5,2.0,0.4,0.0
19,20,Brandon Adair,,2,2,0,1.0,95.1,,98.5,26.0,17.5,8.5,1.5,,87.0,17.5,21.0,12.0,2.0,,11.5,8.5,-3.5,-3.5,-0.5
20,21,Sean Wright,,6,5,1,0.833,97.1,,116.7,26.3,19.5,10.0,1.3,,100.0,22.7,22.0,12.0,1.7,,16.7,3.6,-2.5,-2.0,-0.4
21,22,Nick Buchert,,7,6,1,0.857,94.8,,110.6,21.0,17.3,9.1,1.3,,99.2,20.4,18.6,8.6,1.7,,11.4,0.6,-1.3,0.5,-0.4
22,23,Mitchell Ervin,,6,5,1,0.833,94.8,,105.8,22.6,17.9,8.5,1.4,,95.4,20.0,21.6,8.7,2.4,,10.4,2.6,-3.7,-0.2,-1.0
23,24,John Butler,,2,1,1,0.5,93.7,,109.0,23.0,16.5,7.5,0.5,,105.0,19.0,20.0,11.5,1.5,,4.0,4.0,-3.5,-4.0,-1.0
24,25,Tre Maddox,,3,1,2,0.333,96.9,,106.3,19.0,17.7,7.3,1.7,,104.3,18.0,17.0,8.3,2.0,,2.0,1.0,0.7,-1.0,-0.3
25,26,Scott Wall,,4,2,2,0.5,94.8,,110.5,20.3,19.0,7.5,2.0,,102.5,18.5,19.3,9.3,1.8,,8.0,1.8,-0.3,-1.8,0.2
26,27,Brent Barnaky,,3,2,1,0.667,97.9,,103.0,22.7,15.3,8.3,1.0,,96.3,19.3,19.3,8.7,1.7,,6.7,3.4,-4.0,-0.4,-0.7
27,28,Pat Fraher,,5,4,1,0.8,92.2,,110.8,15.2,14.6,7.4,0.2,,93.8,15.0,16.6,7.2,1.6,,17.0,0.2,-2.0,0.2,-1.4
28,29,C.J. Washington,,2,2,0,1.0,96.8,,116.0,11.0,12.5,8.0,0.5,,81.5,17.0,15.5,5.0,1.5,,34.5,-6.0,-3.0,3.0,-1.0
29,30,Nate Green,,2,2,0,1.0,92.1,,126.4,14.7,15.2,7.1,1.4,,102.2,14.7,15.7,7.6,1.0,,24.2,0.0,-0.5,-0.5,0.4
30,31,Dedric Taylor,,1,1,0,1.0,90.1,,110.5,16.3,10.9,4.5,1.8,,102.3,10.0,17.2,7.2,0.9,,8.2,6.3,-6.3,-2.7,0.9
31,32,Gediminas Petraitis,,4,2,2,0.5,94.4,,116.3,22.5,20.0,9.5,1.5,,100.3,23.5,20.5,8.8,2.3,,16.0,-1.0,-0.5,0.7,-0.8
32,33,James Williams,,3,2,1,0.667,93.7,,107.6,19.0,17.7,8.1,2.3,,93.7,19.0,17.4,7.4,1.6,,13.9,0.0,0.3,0.7,0.7
33,34,Tony Brothers,,2,1,1,0.5,95.0,,101.0,24.0,20.0,9.0,0.5,,107.5,23.0,20.5,9.5,1.0,,-6.5,1.0,-0.5,-0.5,-0.5
34,35,Marat Kogut,,7,6,1,0.857,96.7,,116.9,20.0,19.0,9.7,1.1,,99.0,22.0,18.3,8.4,1.9,,17.9,-2.0,0.7,1.3,-0.8
35,36,Phenizee Ransom,,3,2,1,0.667,96.2,,99.7,17.3,19.0,7.0,1.3,,98.3,20.7,17.7,6.0,1.7,,1.4,-3.4,1.3,1.0,-0.4
36,37,Suyash Mehta,,4,2,2,0.5,96.0,,106.5,20.3,21.3,9.8,1.8,,105.8,23.8,19.3,8.0,1.3,,0.7,-3.5,2.0,1.8,0.5
37,38,Tyler Ford,,5,3,2,0.6,96.8,,111.7,23.9,20.0,10.0,2.0,,106.2,22.5,21.6,10.6,2.2,,5.5,1.4,-1.6,-0.6,-0.2
38,39,Mark Lindsay,,6,3,3,0.5,95.9,,108.0,20.8,15.8,8.8,1.5,,106.2,20.3,17.0,9.0,0.7,,1.8,0.5,-1.2,-0.2,0.8
39,40,Evan Scott,,6,2,4,0.333,93.8,,107.5,20.0,16.7,8.2,0.5,,107.6,17.5,19.0,9.3,1.6,,-0.1,2.5,-2.3,-1.1,-1.1
40,41,Marc Davis,,4,2,2,0.5,96.0,,104.5,15.3,19.5,9.5,1.3,,97.8,23.3,16.3,6.3,1.5,,6.7,-8.0,3.2,3.2,-0.2
41,42,Dannica Mosher,,1,1,0,1.0,95.2,,109.0,31.0,19.0,5.0,5.0,,97.0,16.0,24.0,10.0,1.0,,12.0,15.0,-5.0,-5.0,4.0
42,43,Kane Fitzgerald,,4,2,2,0.5,97.2,,99.5,21.3,16.3,8.0,2.3,,104.0,19.3,21.3,10.0,3.0,,-4.5,2.0,-5.0,-2.0,-0.7
43,44,Aaron Smith,,6,6,0,1.0,94.5,,111.7,20.3,17.2,9.8,0.8,,92.5,20.2,17.8,8.7,1.3,,19.2,0.1,-0.6,1.1,-0.5
44,45,Derrick Collins,,3,1,2,0.333,92.7,,116.3,18.0,17.7,8.7,2.7,,119.0,17.7,21.0,7.7,2.3,,-2.7,0.3,-3.3,1.0,0.4
45,46,Kevin Cutler,,6,4,2,0.667,96.3,,119.0,21.3,18.5,10.2,1.2,,111.5,21.3,19.2,9.7,1.8,,7.5,0.0,-0.7,0.5,-0.6
46,47,Rodney Mott,,3,3,0,1.0,97.6,,130.0,28.0,20.0,11.7,1.3,,114.7,22.7,23.0,13.3,1.3,,15.3,5.3,-3.0,-1.6,0.0
47,48,J.T. Orr,,4,3,1,0.75,93.3,,114.3,18.0,16.0,8.8,2.3,,109.0,18.0,17.3,8.3,1.8,,5.3,0.0,-1.3,0.5,0.5
48,49,Andy Nagy,,4,2,2,0.5,95.9,,106.5,14.8,17.5,7.5,1.0,,98.3,18.8,15.5,7.3,1.8,,8.2,-4.0,2.0,0.2,-0.8
49,50,Kevin Scott,,1,1,0,1.0,95.0,,117.0,13.0,15.0,8.0,0.0,,103.0,15.0,14.0,5.0,1.0,,14.0,-2.0,1.0,3.0,-1.0
