,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,188,85,103,0.452,19056,19607,101.4,104.3
1,2,Boston Celtics,207,73,134,0.353,20904,21800,101.0,105.3
2,3,Charlotte Hornets,118,62,56,0.525,11952,11898,101.3,100.8
3,4,Chicago Bulls,179,83,96,0.464,17950,18287,100.3,102.2
4,5,Cleveland Cavaliers,188,83,105,0.441,18988,19175,101.0,102.0
5,6,Dallas Mavericks,81,33,48,0.407,8157,8325,100.7,102.8
6,7,Denver Nuggets,164,71,93,0.433,17770,18116,108.4,110.5
7,8,Detroit Pistons,188,79,109,0.42,19176,19572,102.0,104.1
8,9,Golden State Warriors,95,39,56,0.411,10140,10306,106.7,108.5
9,10,Houston Rockets,100,35,65,0.35,10143,10578,101.4,105.8
10,11,Indiana Pacers,269,117,152,0.435,28099,28758,104.5,106.9
11,12,Kentucky Colonels,102,46,56,0.451,10769,11038,105.6,108.2
12,13,Los Angeles Clippers,96,52,44,0.542,9941,9878,103.6,102.9
13,14,Los Angeles Lakers,95,28,67,0.295,9646,10158,101.5,106.9
14,15,Memphis Grizzlies,51,23,28,0.451,5010,5100,98.2,100.0
15,16,Memphis Sounds,63,39,24,0.619,6888,6713,109.3,106.6
16,17,Miami Heat,133,55,78,0.414,12662,13034,95.2,98.0
17,18,Milwaukee Bucks,183,76,107,0.415,18551,19241,101.4,105.1
18,19,Minnesota Timberwolves,63,27,36,0.429,6337,6361,100.6,101.0
19,20,New Orleans Pelicans,42,22,20,0.524,4355,4273,103.7,101.7
20,21,New York Knicks,206,105,101,0.51,20619,20766,100.1,100.8
21,22,Oklahoma City Thunder,95,35,60,0.368,9580,9830,100.8,103.5
22,23,Orlando Magic,124,56,68,0.452,12470,12504,100.6,100.8
23,24,Philadelphia 76ers,207,88,119,0.425,21155,21409,102.2,103.4
24,25,Phoenix Suns,94,46,48,0.489,9796,9992,104.2,106.3
25,26,Pittsburgh Condors,53,25,28,0.472,6129,6134,115.6,115.7
26,27,Portland Trail Blazers,94,27,67,0.287,9434,10009,100.4,106.5
27,28,Sacramento Kings,95,45,50,0.474,9900,9999,104.2,105.3
28,29,San Antonio Spurs,165,60,105,0.364,16909,17521,102.5,106.2
29,30,San Diego Sails,24,15,9,0.625,2810,2659,117.1,110.8
30,31,Spirits of St. Louis,91,53,38,0.582,10077,9869,110.7,108.5
31,32,The Floridians,52,24,28,0.462,5720,5804,110.0,111.6
32,33,Toronto Raptors,104,44,60,0.423,10281,10667,98.9,102.6
33,34,Utah Jazz,96,33,63,0.344,9636,10042,100.4,104.6
34,35,Utah Stars,57,27,30,0.474,6033,6121,105.8,107.4
35,36,Virginia Squires,87,48,39,0.552,9834,9681,113.0,111.3
36,37,Washington Wizards,199,92,107,0.462,20329,20493,102.2,103.0
