,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Stan Albeck,1984,1985,2,164,87,77,.530,5.0,2,14,5,9,.357,0,0
1,2,Kenny Atkinson,2017,2020,4,308,118,190,.383,-36.0,1,5,1,4,.200,0,0
2,3,Tom Barrise,2010,2010,1,2,0,2,.000,-1.0,,,,,,,
3,4,Butch Beard,1995,1996,2,164,60,104,.366,-22.0,,,,,,,
4,5,Bill Blair,1983,1983,1,6,2,4,.333,-1.0,1,2,0,2,.000,0,0
5,6,Larry Brown,1982,1983,2,158,91,67,.576,12.0,1,2,0,2,.000,0,0
6,7,Tony Brown,2016,2016,1,45,11,34,.244,-11.5,,,,,,,
7,8,John Calipari,1997,1999,3,184,72,112,.391,-20.0,1,3,0,3,.000,0,0
8,9,P.J. Carlesimo,2013,2013,1,54,35,19,.648,8.0,1,7,3,4,.429,0,0
9,10,Lou Carnesecca,1971,1973,3,252,114,138,.452,-12.0,3,30,13,17,.433,0,0
10,11,Don Casey,1999,2000,2,112,44,68,.393,-12.0,,,,,,,
11,12,Chuck Daly,1993,1994,2,164,88,76,.537,6.0,2,9,3,6,.333,0,0
12,13,Bill Fitch,1990,1992,3,246,83,163,.337,-40.0,1,4,1,3,.250,0,0
13,14,Lawrence Frank,2004,2010,7,466,225,241,.483,-8.0,4,38,18,20,.474,0,0
14,15,Lionel Hollins,2015,2016,2,119,48,71,.403,-11.5,1,6,2,4,.333,0,0
15,16,Avery Johnson,2011,2013,3,176,60,116,.341,-28.0,,,,,,,
16,17,Jason Kidd,2014,2014,1,82,44,38,.537,3.0,1,12,5,7,.417,0,0
17,18,York Larese,1970,1970,1,84,39,45,.464,-3.0,1,7,3,4,.429,0,0
18,19,Kevin Loughery,1974,1981,8,615,297,318,.483,-10.5,4,34,21,13,.618,0,2
19,20,Bob MacKinnon,1981,1988,2,86,22,64,.256,-21.0,,,,,,,
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Steve Nash,2021,2022,2,154,92,62,.597,15.0,2,16,7,9,.438,0,0
23,22,Willis Reed,1988,1989,2,110,33,77,.300,-22.0,,,,,,,
24,23,Byron Scott,2001,2004,4,288,149,139,.517,5.0,2,40,25,15,.625,2,0
25,24,Kiki Vandeweghe,2010,2010,1,64,12,52,.188,-20.0,,,,,,,
26,25,Jacque Vaughn,2020,2020,1,10,7,3,.700,2.0,1,4,0,4,.000,0,0
27,26,Dave Wohl,1986,1988,3,179,65,114,.363,-24.5,1,3,0,3,.000,0,0
28,27,Max Zaslofsky,1968,1969,2,156,53,103,.340,-25.0,,,,,,,
