,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Tue, Oct 19, 2021",7:30p,,Box Score,@,Milwaukee Bucks,L,,104,127,0,1,L 1,
1,2,"Fri, Oct 22, 2021",7:30p,,Box Score,@,Philadelphia 76ers,W,,114,109,1,1,W 1,
2,3,"Sun, Oct 24, 2021",4:00p,,Box Score,,Charlotte Hornets,L,,95,111,1,2,L 1,
3,4,"Mon, Oct 25, 2021",7:30p,,Box Score,,Washington Wizards,W,,104,90,2,2,W 1,
4,5,"Wed, Oct 27, 2021",7:30p,,Box Score,,Miami Heat,L,,93,106,2,3,L 1,
5,6,"Fri, Oct 29, 2021",7:30p,,Box Score,,Indiana Pacers,W,,105,98,3,3,W 1,
6,7,"Sun, Oct 31, 2021",7:30p,,Box Score,,Detroit Pistons,W,,117,91,4,3,W 2,
7,8,"Wed, Nov 3, 2021",7:30p,,Box Score,,Atlanta Hawks,W,,117,108,5,3,W 3,
8,9,"Fri, Nov 5, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,96,90,6,3,W 4,
9,10,"Sun, Nov 7, 2021",3:30p,,Box Score,@,Toronto Raptors,W,,116,103,7,3,W 5,
10,11,"Mon, Nov 8, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,95,118,7,4,L 1,
11,12,"Wed, Nov 10, 2021",7:00p,,Box Score,@,Orlando Magic,W,,123,90,8,4,W 1,
12,13,"Fri, Nov 12, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,120,112,9,4,W 2,
13,14,"Sun, Nov 14, 2021",7:00p,,Box Score,@,Oklahoma City Thunder,W,,120,96,10,4,W 3,
14,15,"Tue, Nov 16, 2021",7:30p,,Box Score,,Golden State Warriors,L,,99,117,10,5,L 1,
15,16,"Wed, Nov 17, 2021",7:30p,,Box Score,,Cleveland Cavaliers,W,,109,99,11,5,W 1,
16,17,"Fri, Nov 19, 2021",7:30p,,Box Score,,Orlando Magic,W,,115,113,12,5,W 2,
17,18,"Mon, Nov 22, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,W,,117,112,13,5,W 3,
18,19,"Wed, Nov 24, 2021",7:30p,,Box Score,@,Boston Celtics,W,,123,104,14,5,W 4,
19,20,"Sat, Nov 27, 2021",7:30p,,Box Score,,Phoenix Suns,L,,107,113,14,6,L 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Tue, Nov 30, 2021",7:30p,,Box Score,,New York Knicks,W,,112,110,15,6,W 1,
22,22,"Fri, Dec 3, 2021",7:30p,,Box Score,,Minnesota Timberwolves,W,,110,105,16,6,W 2,
23,23,"Sat, Dec 4, 2021",8:00p,,Box Score,,Chicago Bulls,L,,107,111,16,7,L 1,
24,24,"Tue, Dec 7, 2021",7:30p,,Box Score,@,Dallas Mavericks,W,,102,99,17,7,W 1,
25,25,"Wed, Dec 8, 2021",8:00p,,Box Score,@,Houston Rockets,L,,104,114,17,8,L 1,
26,26,"Fri, Dec 10, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,113,105,18,8,W 1,
27,27,"Sun, Dec 12, 2021",6:00p,,Box Score,@,Detroit Pistons,W,,116,104,19,8,W 2,
28,28,"Tue, Dec 14, 2021",7:30p,,Box Score,,Toronto Raptors,W,OT,131,129,20,8,W 3,
29,29,"Thu, Dec 16, 2021",7:30p,,Box Score,,Philadelphia 76ers,W,,114,105,21,8,W 4,
30,30,"Sat, Dec 18, 2021",7:30p,,Box Score,,Orlando Magic,L,,93,100,21,9,L 1,
31,31,"Sat, Dec 25, 2021",8:00p,,Box Score,@,Los Angeles Lakers,W,,122,115,22,9,W 1,
32,32,"Mon, Dec 27, 2021",10:30p,,Box Score,@,Los Angeles Clippers,W,,124,108,23,9,W 2,
33,33,"Thu, Dec 30, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,102,110,23,10,L 1,
34,34,"Sat, Jan 1, 2022",7:30p,,Box Score,,Los Angeles Clippers,L,,116,120,23,11,L 2,
35,35,"Mon, Jan 3, 2022",7:30p,,Box Score,,Memphis Grizzlies,L,,104,118,23,12,L 3,
36,36,"Wed, Jan 5, 2022",7:30p,,Box Score,@,Indiana Pacers,W,,129,121,24,12,W 1,
37,37,"Fri, Jan 7, 2022",7:30p,,Box Score,,Milwaukee Bucks,L,,109,121,24,13,L 1,
38,38,"Sun, Jan 9, 2022",12:00p,,Box Score,,San Antonio Spurs,W,OT,121,119,25,13,W 1,
39,39,"Mon, Jan 10, 2022",10:00p,,Box Score,@,Portland Trail Blazers,L,,108,114,25,14,L 1,
40,40,"Wed, Jan 12, 2022",10:00p,,Box Score,@,Chicago Bulls,W,,138,112,26,14,W 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Thu, Jan 13, 2022",8:30p,,Box Score,,Oklahoma City Thunder,L,,109,130,26,15,L 1,
43,42,"Sat, Jan 15, 2022",7:30p,,Box Score,,New Orleans Pelicans,W,,120,105,27,15,W 1,
44,43,"Mon, Jan 17, 2022",3:00p,,Box Score,@,Cleveland Cavaliers,L,,107,114,27,16,L 1,
45,44,"Wed, Jan 19, 2022",7:00p,,Box Score,@,Washington Wizards,W,,119,118,28,16,W 1,
46,45,"Fri, Jan 21, 2022",8:30p,,Box Score,@,San Antonio Spurs,W,,117,102,29,16,W 2,
47,46,"Sun, Jan 23, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,125,136,29,17,L 1,
48,47,"Tue, Jan 25, 2022",7:30p,,Box Score,,Los Angeles Lakers,L,,96,106,29,18,L 2,
49,48,"Wed, Jan 26, 2022",8:00p,,Box Score,,Denver Nuggets,L,,118,124,29,19,L 3,
50,49,"Sat, Jan 29, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,106,110,29,20,L 4,
51,50,"Tue, Feb 1, 2022",10:00p,,Box Score,@,Phoenix Suns,L,,111,121,29,21,L 5,
52,51,"Wed, Feb 2, 2022",10:00p,,Box Score,@,Sacramento Kings,L,,101,112,29,22,L 6,
53,52,"Fri, Feb 4, 2022",9:00p,,Box Score,@,Utah Jazz,L,,102,125,29,23,L 7,
54,53,"Sun, Feb 6, 2022",3:30p,,Box Score,@,Denver Nuggets,L,,104,124,29,24,L 8,
55,54,"Tue, Feb 8, 2022",7:30p,,Box Score,,Boston Celtics,L,,91,126,29,25,L 9,
56,55,"Thu, Feb 10, 2022",7:30p,,Box Score,@,Washington Wizards,L,,112,113,29,26,L 10,
57,56,"Sat, Feb 12, 2022",8:00p,,Box Score,@,Miami Heat,L,,111,115,29,27,L 11,
58,57,"Mon, Feb 14, 2022",7:30p,,Box Score,,Sacramento Kings,W,,109,85,30,27,W 1,
59,58,"Wed, Feb 16, 2022",7:30p,,Box Score,@,New York Knicks,W,,111,106,31,27,W 2,
60,59,"Thu, Feb 17, 2022",7:30p,,Box Score,,Washington Wizards,L,,103,117,31,28,L 1,
61,60,"Thu, Feb 24, 2022",7:30p,,Box Score,,Boston Celtics,L,,106,129,31,29,L 2,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Sat, Feb 26, 2022",8:30p,,Box Score,@,Milwaukee Bucks,W,,126,123,32,29,W 1,
64,62,"Mon, Feb 28, 2022",7:30p,,Box Score,,Toronto Raptors,L,,97,133,32,30,L 1,
65,63,"Tue, Mar 1, 2022",7:30p,,Box Score,@,Toronto Raptors,L,,108,109,32,31,L 2,
66,64,"Thu, Mar 3, 2022",7:30p,,Box Score,,Miami Heat,L,,107,113,32,32,L 3,
67,65,"Sun, Mar 6, 2022",1:00p,,Box Score,@,Boston Celtics,L,,120,126,32,33,L 4,
68,66,"Tue, Mar 8, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,132,121,33,33,W 1,
69,67,"Thu, Mar 10, 2022",7:30p,,Box Score,@,Philadelphia 76ers,W,,129,100,34,33,W 2,
70,68,"Sun, Mar 13, 2022",1:00p,,Box Score,,New York Knicks,W,,110,107,35,33,W 3,
71,69,"Tue, Mar 15, 2022",7:00p,,Box Score,@,Orlando Magic,W,,150,108,36,33,W 4,
72,70,"Wed, Mar 16, 2022",7:30p,,Box Score,,Dallas Mavericks,L,,111,113,36,34,L 1,
73,71,"Fri, Mar 18, 2022",7:30p,,Box Score,,Portland Trail Blazers,W,,128,123,37,34,W 1,
74,72,"Mon, Mar 21, 2022",7:30p,,Box Score,,Utah Jazz,W,,114,106,38,34,W 2,
75,73,"Wed, Mar 23, 2022",7:30p,,Box Score,@,Memphis Grizzlies,L,,120,132,38,35,L 1,
76,74,"Sat, Mar 26, 2022",8:00p,,Box Score,@,Miami Heat,W,,110,95,39,35,W 1,
77,75,"Sun, Mar 27, 2022",7:30p,,Box Score,,Charlotte Hornets,L,,110,119,39,36,L 1,
