,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Jacyn Goble,,6,3,3,0.5,97.0,,109.5,20.7,19.3,9.3,1.2,,113.2,21.3,19.0,9.7,1.7,,-3.7,-0.6,0.3,-0.4,-0.5
1,2,Natalie Sago,,6,4,2,0.667,97.3,,113.0,22.8,19.7,8.7,1.3,,112.7,21.3,20.5,9.8,2.2,,0.3,1.5,-0.8,-1.1,-0.9
2,3,Josh Tiven,,5,2,3,0.4,98.7,,110.2,22.6,19.4,9.8,1.4,,115.2,22.8,19.6,10.0,1.6,,-5.0,-0.2,-0.2,-0.2,-0.2
3,4,David Guthrie,,5,3,2,0.6,98.3,,114.0,24.8,17.6,7.8,2.0,,115.0,17.6,20.4,9.8,0.6,,-1.0,7.2,-2.8,-2.0,1.4
4,5,Marat Kogut,,5,2,3,0.4,96.4,,112.6,24.0,18.6,7.4,2.2,,116.8,16.4,20.2,9.2,1.0,,-4.2,7.6,-1.6,-1.8,1.2
5,6,Tre Maddox,,5,4,1,0.8,98.0,,117.0,21.2,18.0,8.2,1.4,,110.4,19.6,19.0,8.0,0.8,,6.6,1.6,-1.0,0.2,0.6
6,7,James Capers Jr.,,3,0,3,0.0,98.6,,106.0,21.0,19.7,8.7,2.7,,120.0,19.0,20.0,9.7,1.7,,-14.0,2.0,-0.3,-1.0,1.0
7,8,Suyash Mehta,,3,0,3,0.0,96.3,,103.0,22.3,20.7,10.0,2.0,,111.3,19.0,20.0,10.7,1.3,,-8.3,3.3,0.7,-0.7,0.7
8,9,Derek Richardson,,6,1,5,0.167,100.2,,108.8,17.5,21.0,10.2,1.6,,116.2,24.2,17.7,8.0,1.3,,-7.4,-6.7,3.3,2.2,0.3
9,10,Ray Acosta,,8,4,4,0.5,100.4,,116.3,23.1,19.3,9.6,2.0,,110.6,21.1,20.4,9.6,2.0,,5.7,2.0,-1.1,0.0,0.0
10,11,Tyler Ford,,6,3,3,0.5,99.5,,114.5,26.5,20.8,11.5,1.2,,117.3,26.3,21.2,11.3,1.5,,-2.8,0.2,-0.4,0.2,-0.3
11,12,Scott Wall,,3,3,0,1.0,98.9,,115.0,18.3,19.0,9.0,1.0,,95.7,22.7,18.3,7.0,1.7,,19.3,-4.4,0.7,2.0,-0.7
12,13,Ed Malloy,,3,2,1,0.667,97.9,,107.6,19.0,20.3,8.7,1.9,,110.2,21.3,19.7,7.1,1.6,,-2.6,-2.3,0.6,1.6,0.3
13,14,Brandon Schwab,,3,1,2,0.333,100.4,,106.7,20.7,21.7,10.3,2.0,,103.3,26.3,20.0,8.7,1.7,,3.4,-5.6,1.7,1.6,0.3
14,15,Phenizee Ransom,,4,3,1,0.75,99.7,,116.3,28.0,20.8,8.5,1.3,,111.3,21.8,23.5,10.5,2.5,,5.0,6.2,-2.7,-2.0,-1.2
15,16,Dedric Taylor,,4,3,1,0.75,98.8,,112.5,29.8,26.0,10.3,3.0,,108.0,26.3,22.0,12.3,1.5,,4.5,3.5,4.0,-2.0,1.5
16,17,Sean Wright,,3,2,1,0.667,100.0,,111.0,28.3,24.0,11.7,2.3,,106.7,28.7,22.3,12.7,1.7,,4.3,-0.4,1.7,-1.0,0.6
17,18,Mark Lindsay,,6,3,3,0.5,95.6,,110.5,23.2,18.5,9.5,1.3,,109.8,20.2,19.7,10.8,1.7,,0.7,3.0,-1.2,-1.3,-0.4
18,19,Aaron Smith,,5,2,3,0.4,97.8,,108.6,20.0,19.8,9.4,0.8,,109.4,24.2,18.2,9.2,1.0,,-0.8,-4.2,1.6,0.2,-0.2
19,20,Scott Twardoski,,5,2,3,0.4,98.1,,111.7,21.4,18.2,9.8,1.8,,113.6,19.4,19.6,10.2,1.8,,-1.9,2.0,-1.4,-0.4,0.0
20,21,Brent Barnaky,,3,2,1,0.667,102.4,,124.3,20.0,21.3,11.3,2.6,,108.2,24.5,17.7,8.4,1.9,,16.1,-4.5,3.6,2.9,0.7
21,22,Matt Boland,,4,3,1,0.75,96.6,,111.5,22.5,18.8,9.5,1.8,,103.3,19.8,20.5,9.3,2.5,,8.2,2.7,-1.7,0.2,-0.7
22,23,Bennie Adams,,1,1,0,1.0,97.9,,96.0,14.0,21.0,8.0,2.0,,90.0,18.0,22.0,6.0,4.0,,6.0,-4.0,-1.0,2.0,-2.0
23,24,Brian Forte,,5,2,3,0.4,96.9,,107.8,20.6,19.6,8.6,1.2,,107.4,21.2,20.8,9.0,1.6,,0.4,-0.6,-1.2,-0.4,-0.4
24,25,Eric Lewis,,4,2,2,0.5,95.8,,105.0,21.0,22.0,9.5,1.8,,106.8,24.5,22.8,8.5,3.8,,-1.8,-3.5,-0.8,1.0,-2.0
25,26,Kevin Cutler,,4,2,2,0.5,98.4,,120.8,20.5,23.8,10.8,1.3,,120.0,28.8,18.8,9.5,1.8,,0.8,-8.3,5.0,1.3,-0.5
26,27,Nate Green,,2,2,0,1.0,97.8,,125.0,22.5,15.5,8.0,1.5,,114.5,18.5,19.5,8.0,0.5,,10.5,4.0,-4.0,0.0,1.0
27,28,J.B. DeRosa,,4,0,4,0.0,98.3,,100.3,18.0,17.5,7.8,1.8,,116.5,20.0,16.8,8.8,0.5,,-16.2,-2.0,0.7,-1.0,1.3
28,29,Brett Nansel,,3,1,2,0.333,97.4,,107.3,19.3,18.7,7.4,2.3,,116.3,19.3,16.8,7.4,0.6,,-9.0,0.0,1.9,0.0,1.7
29,30,Ben Taylor,,8,5,3,0.625,96.2,,113.1,21.9,21.3,9.3,0.9,,107.9,24.0,19.9,9.5,1.4,,5.2,-2.1,1.4,-0.2,-0.5
30,31,Tom Washington,,6,4,2,0.667,96.0,,109.8,20.8,18.0,9.5,1.3,,108.0,19.0,20.3,9.5,1.8,,1.8,1.8,-2.3,0.0,-0.5
31,32,Rodney Mott,,2,2,0,1.0,99.5,,114.5,20.4,15.7,7.6,1.9,,102.2,13.8,19.5,10.0,2.4,,12.3,6.6,-3.8,-2.4,-0.5
32,33,Evan Scott,,4,3,1,0.75,98.3,,111.3,18.5,18.5,8.3,1.8,,96.3,17.5,19.3,8.3,2.5,,15.0,1.0,-0.8,0.0,-0.7
