,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,252,135,117,0.536,25714,25556,102.0,101.4
1,2,Boston Celtics,236,107,129,0.453,24012,24317,101.7,103.0
2,3,Brooklyn Nets,179,96,83,0.536,18287,17950,102.2,100.3
3,4,Charlotte Hornets,121,76,45,0.628,12373,11846,102.3,97.9
4,5,Cleveland Cavaliers,226,132,94,0.584,22744,22099,100.6,97.8
5,6,Dallas Mavericks,82,40,42,0.488,8444,8367,103.0,102.0
6,7,Denver Nuggets,97,42,55,0.433,10398,10500,107.2,108.2
7,8,Detroit Pistons,273,140,133,0.513,28130,28080,103.0,102.9
8,9,Golden State Warriors,162,84,78,0.519,17060,17038,105.3,105.2
9,10,Houston Rockets,143,71,72,0.497,14925,15014,104.4,105.0
10,11,Indiana Pacers,199,102,97,0.513,20074,20177,100.9,101.4
11,12,Los Angeles Clippers,123,68,55,0.553,12823,12524,104.3,101.8
12,13,Los Angeles Lakers,159,65,94,0.409,16471,16713,103.6,105.1
13,14,Memphis Grizzlies,53,29,24,0.547,5172,5086,97.6,96.0
14,15,Miami Heat,122,60,62,0.492,11768,11791,96.5,96.6
15,16,Milwaukee Bucks,259,132,127,0.51,26281,26418,101.5,102.0
16,17,Minnesota Timberwolves,63,36,27,0.571,6355,6314,100.9,100.2
17,18,New Orleans Pelicans,44,25,19,0.568,4482,4412,101.9,100.3
18,19,New York Knicks,239,126,113,0.527,24125,24216,100.9,101.3
19,20,Oklahoma City Thunder,153,77,76,0.503,15687,15741,102.5,102.9
20,21,Orlando Magic,118,64,54,0.542,11729,11575,99.4,98.1
21,22,Philadelphia 76ers,237,106,131,0.447,24695,24881,104.2,105.0
22,23,Phoenix Suns,144,71,73,0.493,15277,15175,106.1,105.4
23,24,Portland Trail Blazers,130,63,67,0.485,13534,13389,104.1,103.0
24,25,Sacramento Kings,166,84,82,0.506,17341,17304,104.5,104.2
25,26,San Antonio Spurs,94,36,58,0.383,9443,9749,100.5,103.7
26,27,Toronto Raptors,99,54,45,0.545,9935,9961,100.4,100.6
27,28,Utah Jazz,107,54,53,0.505,10623,10648,99.3,99.5
28,29,Washington Wizards,236,129,107,0.547,24224,23922,102.6,101.4
