,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Stan Albeck,1986,1986,1,82,30,52,.366,-11.0,1,3,0,3,.000,0,0
1,2,Ed Badger,1977,1978,2,164,84,80,.512,2.0,1,3,1,2,.333,0,0
2,3,Bill Berry,2002,2002,1,2,0,2,.000,-1.0,,,,,,,
3,4,Jim Boylan,2008,2008,1,56,24,32,.429,-4.0,,,,,,,
4,5,Jim Boylen,2019,2020,2,123,39,84,.317,-22.5,,,,,,,
5,6,Bill Cartwright,2002,2004,3,151,51,100,.338,-24.5,,,,,,,
6,7,Doug Collins,1987,1989,3,246,137,109,.557,14.0,3,30,13,17,.433,0,0
7,8,Larry Costello,1979,1979,1,56,20,36,.357,-8.0,,,,,,,
8,9,Vinny Del Negro,2009,2010,2,164,82,82,.500,0.0,2,12,4,8,.333,0,0
9,10,Billy Donovan,2021,2022,2,154,77,77,.500,0.0,1,5,1,4,.200,,
10,11,Tim Floyd,1999,2002,4,239,49,190,.205,-70.5,,,,,,,
11,12,Fred Hoiberg,2016,2019,4,270,115,155,.426,-20.0,1,6,2,4,.333,0,0
12,13,Phil Jackson,1990,1998,9,738,545,193,.738,176.0,9,152,111,41,.730,6,6
13,14,Phil Johnson,1982,1982,1,1,0,1,.000,-0.5,,,,,,,
14,15,Red Kerr,1967,1968,2,163,62,101,.380,-19.5,2,8,1,7,.125,0,0
15,16,Kevin Loughery,1984,1985,2,164,65,99,.396,-17.0,1,4,1,3,.250,0,0
16,17,Dick Motta,1969,1976,8,656,356,300,.543,28.0,6,47,18,29,.383,0,0
17,18,Pete Myers,2004,2008,2,3,0,3,.000,-1.5,,,,,,,
18,19,Scotty Robertson,1979,1979,1,26,11,15,.423,-2.0,,,,,,,
19,20,Scott Skiles,2004,2008,5,337,165,172,.490,-3.5,3,22,10,12,.455,0,0
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Jerry Sloan,1980,1982,3,215,94,121,.437,-13.5,1,6,2,4,.333,0,0
23,22,Tom Thibodeau,2011,2015,5,394,255,139,.647,58.0,5,51,23,28,.451,0,0
24,23,Rod Thorn,1982,1982,1,30,15,15,.500,0.0,,,,,,,
25,24,Paul Westhead,1983,1983,1,82,28,54,.341,-13.0,,,,,,,
