,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Detroit Pistons,W,,94,88,1,0,L. Ball · D. DeRozan · Z. LaVine · N. Vučević · P. Williams
1,2,2021-10-22,,,Box Score,,New Orleans Pelicans,W,,128,112,2,0,L. Ball · D. DeRozan · Z. LaVine · N. Vučević · P. Williams
2,3,2021-10-23,,,Box Score,,Detroit Pistons,W,,97,82,3,0,L. Ball · D. DeRozan · Z. LaVine · N. Vučević · P. Williams
3,4,2021-10-25,,,Box Score,@,Toronto Raptors,W,,111,108,4,0,L. Ball · D. DeRozan · Z. LaVine · N. Vučević · P. Williams
4,5,2021-10-28,,,Box Score,,New York Knicks,L,,103,104,4,1,L. Ball · D. DeRozan · Z. LaVine · N. Vučević · P. Williams
5,6,2021-10-30,,,Box Score,,Utah Jazz,W,,107,99,5,1,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
6,7,2021-11-01,,,Box Score,@,Boston Celtics,W,,128,114,6,1,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
7,8,2021-11-03,,,Box Score,@,Philadelphia 76ers,L,,98,103,6,2,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
8,9,2021-11-06,,,Box Score,,Philadelphia 76ers,L,,105,114,6,3,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
9,10,2021-11-08,,,Box Score,,Brooklyn Nets,W,,118,95,7,3,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
10,11,2021-11-10,,,Box Score,,Dallas Mavericks,W,,117,107,8,3,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
11,12,2021-11-12,,,Box Score,@,Golden State Warriors,L,,93,119,8,4,L. Ball · T. Bradley · D. DeRozan · J. Green · Z. LaVine
12,13,2021-11-14,,,Box Score,@,Los Angeles Clippers,W,,100,90,9,4,L. Ball · T. Bradley · A. Caruso · D. DeRozan · Z. LaVine
13,14,2021-11-15,,,Box Score,@,Los Angeles Lakers,W,,121,103,10,4,L. Ball · T. Bradley · A. Caruso · D. DeRozan · Z. LaVine
14,15,2021-11-17,,,Box Score,@,Portland Trail Blazers,L,,107,112,10,5,L. Ball · T. Bradley · A. Caruso · D. DeRozan · Z. LaVine
15,16,2021-11-19,,,Box Score,@,Denver Nuggets,W,,114,108,11,5,L. Ball · T. Bradley · A. Caruso · D. DeRozan · Z. LaVine
16,17,2021-11-21,,,Box Score,,New York Knicks,W,,109,103,12,5,L. Ball · T. Bradley · A. Caruso · D. DeRozan · Z. LaVine
17,18,2021-11-22,,,Box Score,,Indiana Pacers,L,,77,109,12,6,L. Ball · T. Bradley · D. DeRozan · Z. LaVine · C. White
18,19,2021-11-24,,,Box Score,@,Houston Rockets,L,,113,118,12,7,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
19,20,2021-11-26,,,Box Score,@,Orlando Magic,W,,123,88,13,7,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
20,21,2021-11-27,,,Box Score,,Miami Heat,L,,104,107,13,8,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
21,22,2021-11-29,,,Box Score,,Charlotte Hornets,W,,133,119,14,8,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
22,23,2021-12-02,,,Box Score,@,New York Knicks,W,,119,115,15,8,L. Ball · D. DeRozan · J. Green · Z. LaVine · N. Vučević
23,24,2021-12-04,,,Box Score,@,Brooklyn Nets,W,,111,107,16,8,L. Ball · A. Caruso · D. DeRozan · Z. LaVine · N. Vučević
24,25,2021-12-06,,,Box Score,,Denver Nuggets,W,,109,97,17,8,L. Ball · A. Dosunmu · D. Jones · Z. LaVine · N. Vučević
25,26,2021-12-08,,,Box Score,@,Cleveland Cavaliers,L,,92,115,17,9,L. Ball · A. Dosunmu · D. Jones · Z. LaVine · N. Vučević
26,27,2021-12-11,,,Box Score,@,Miami Heat,L,,92,118,17,10,L. Ball · T. Brown · A. Caruso · Z. LaVine · N. Vučević
27,28,2021-12-19,,,Box Score,,Los Angeles Lakers,W,,115,110,18,10,L. Ball · A. Caruso · D. DeRozan · J. Green · N. Vučević
28,29,2021-12-20,,,Box Score,,Houston Rockets,W,,133,118,19,10,L. Ball · A. Caruso · D. DeRozan · J. Green · N. Vučević
29,30,2021-12-26,,,Box Score,,Indiana Pacers,W,,113,105,20,10,D. DeRozan · J. Green · Z. LaVine · N. Vučević · C. White
30,31,2021-12-27,,,Box Score,@,Atlanta Hawks,W,,130,118,21,10,D. DeRozan · J. Green · Z. LaVine · N. Vučević · C. White
31,32,2021-12-29,,,Box Score,,Atlanta Hawks,W,,131,117,22,10,D. DeRozan · J. Green · Z. LaVine · N. Vučević · C. White
32,33,2021-12-31,,,Box Score,@,Indiana Pacers,W,,108,106,23,10,D. DeRozan · J. Green · Z. LaVine · N. Vučević · C. White
33,34,2022-01-01,,,Box Score,@,Washington Wizards,W,,120,119,24,10,D. DeRozan · D. Jones · Z. LaVine · N. Vučević · C. White
34,35,2022-01-03,,,Box Score,,Orlando Magic,W,,102,98,25,10,L. Ball · D. DeRozan · D. Jones · Z. LaVine · N. Vučević
35,36,2022-01-07,,,Box Score,,Washington Wizards,W,,130,122,26,10,L. Ball · D. DeRozan · D. Jones · Z. LaVine · N. Vučević
