,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Mousa Dagher,,4,1,3,0.25,97.2,,106.8,23.5,20.5,9.8,2.5,,110.0,23.5,18.8,9.5,1.5,,-3.2,0.0,1.7,0.3,1.0
1,2,Tyler Ford,,6,5,1,0.833,98.8,,108.7,25.3,19.3,9.5,2.2,,106.8,18.8,21.0,10.0,2.3,,1.9,6.5,-1.7,-0.5,-0.1
2,3,Derek Richardson,,3,3,0,1.0,98.7,,108.7,17.7,19.7,10.0,2.7,,102.3,20.0,15.7,7.3,0.7,,6.4,-2.3,4.0,2.7,2.0
3,4,Scott Foster,,4,2,2,0.5,98.3,,115.3,23.0,20.0,11.0,2.3,,113.5,24.8,18.3,10.0,1.3,,1.8,-1.8,1.7,1.0,1.0
4,5,Jacyn Goble,,6,5,1,0.833,96.1,,121.8,22.8,18.5,10.2,1.7,,113.0,21.3,17.8,10.8,1.5,,8.8,1.5,0.7,-0.6,0.2
5,6,Brandon Schwab,,2,2,0,1.0,95.7,,120.5,24.5,14.0,8.5,1.0,,105.5,15.5,20.0,14.0,2.0,,15.0,9.0,-6.0,-5.5,-1.0
6,7,Ray Acosta,,3,3,0,1.0,99.7,,116.3,23.3,19.3,8.7,3.0,,105.3,19.0,18.3,9.7,1.3,,11.0,4.3,1.0,-1.0,1.7
7,8,Eric Dalen,,3,2,1,0.667,99.2,,112.3,19.3,18.7,10.7,1.3,,108.3,21.7,16.0,8.7,1.3,,4.0,-2.4,2.7,2.0,0.0
8,9,Pat Fraher,,6,4,2,0.667,98.7,,103.2,22.7,18.7,10.0,1.0,,102.0,24.3,18.2,9.8,1.5,,1.2,-1.6,0.5,0.2,-0.5
9,10,Suyash Mehta,,4,4,0,1.0,98.4,,117.0,20.5,19.5,9.8,1.8,,110.5,21.5,15.8,9.3,0.3,,6.5,-1.0,3.7,0.5,1.5
10,11,Michael Smith,,7,7,0,1.0,96.6,,117.7,20.1,18.4,10.9,1.6,,104.3,23.0,18.1,9.7,0.6,,13.4,-2.9,0.3,1.2,1.0
11,12,James Williams,,7,5,2,0.714,97.1,,118.1,24.6,19.3,10.4,2.1,,117.0,23.4,19.1,11.1,1.0,,1.1,1.2,0.2,-0.7,1.1
12,13,Nate Green,,2,0,2,0.0,94.6,,106.0,20.5,21.0,11.0,0.5,,115.0,27.0,19.0,8.5,2.0,,-9.0,-6.5,2.0,2.5,-1.5
13,14,David Guthrie,,6,2,4,0.333,98.3,,114.5,25.3,18.3,8.8,1.2,,120.2,20.0,20.0,11.0,0.7,,-5.7,5.3,-1.7,-2.2,0.5
14,15,Justin Van Duyne,,2,0,2,0.0,94.5,,96.5,23.0,19.5,10.0,0.5,,99.0,24.0,19.0,10.0,2.0,,-2.5,-1.0,0.5,0.0,-1.5
15,16,Matt Myers,,4,3,1,0.75,100.8,,114.3,23.5,17.0,9.5,0.3,,111.0,20.5,18.3,10.3,1.0,,3.3,3.0,-1.3,-0.8,-0.7
16,17,Scott Wall,,3,3,0,1.0,101.0,,114.0,25.3,18.3,9.3,0.7,,103.3,22.3,20.3,10.7,1.7,,10.7,3.0,-2.0,-1.4,-1.0
17,18,Ed Malloy,,2,1,1,0.5,99.6,,119.0,17.5,20.5,11.0,2.0,,119.5,24.5,16.5,8.0,2.0,,-0.5,-7.0,4.0,3.0,0.0
18,19,Natalie Sago,,8,4,4,0.5,96.1,,113.9,22.0,20.4,11.0,1.9,,114.8,25.0,18.5,9.0,2.5,,-0.9,-3.0,1.9,2.0,-0.6
19,20,Brian Forte,,3,1,2,0.333,97.3,,111.7,23.3,21.3,12.3,2.3,,99.7,27.7,19.0,12.0,0.3,,12.0,-4.4,2.3,0.3,2.0
20,21,J.T. Orr,,4,0,4,0.0,95.6,,100.3,17.0,16.0,8.5,0.8,,115.5,19.0,14.3,8.3,1.5,,-15.2,-2.0,1.7,0.2,-0.7
21,22,Scott Twardoski,,3,2,1,0.667,95.3,,104.3,19.0,18.3,7.7,2.3,,100.7,19.3,18.7,8.7,1.0,,3.6,-0.3,-0.4,-1.0,1.3
22,23,Bill Kennedy,,3,0,3,0.0,95.5,,104.3,21.3,22.3,11.3,1.7,,117.3,26.3,19.0,10.0,2.3,,-13.0,-5.0,3.3,1.3,-0.6
23,24,Brett Nansel,,4,3,1,0.75,99.0,,118.5,23.3,18.3,9.5,1.0,,108.8,21.3,17.5,10.3,0.8,,9.7,2.0,0.8,-0.8,0.2
24,25,Dedric Taylor,,4,2,2,0.5,96.2,,115.5,24.6,17.5,7.8,1.2,,113.8,20.2,18.8,11.9,1.0,,1.7,4.4,-1.3,-4.1,0.2
25,26,J.B. DeRosa,,6,3,3,0.5,97.8,,115.8,19.8,18.5,9.5,1.6,,114.2,22.0,17.4,9.0,1.5,,1.6,-2.2,1.1,0.5,0.1
26,27,Tre Maddox,,4,2,2,0.5,101.5,,113.5,21.0,19.0,9.5,1.5,,108.5,22.0,18.0,9.0,1.5,,5.0,-1.0,1.0,0.5,0.0
27,28,Zach Zarba,,4,2,2,0.5,97.8,,112.3,16.3,19.0,11.3,1.3,,110.3,26.3,17.5,8.3,2.5,,2.0,-10.0,1.5,3.0,-1.2
28,29,Nick Buchert,,7,4,3,0.571,98.1,,106.4,22.9,18.0,9.7,1.4,,112.6,21.4,17.1,10.0,0.7,,-6.2,1.5,0.9,-0.3,0.7
29,30,Josh Tiven,,7,1,6,0.143,94.2,,106.4,19.9,16.6,7.9,0.7,,116.4,19.0,17.6,9.7,1.1,,-10.0,0.9,-1.0,-1.8,-0.4
30,31,Curtis Blair,,4,1,3,0.25,97.6,,107.0,19.8,16.8,10.0,1.3,,116.5,20.0,15.5,8.8,1.5,,-9.5,-0.2,1.3,1.2,-0.2
31,32,Matt Boland,,5,2,3,0.4,99.3,,106.8,22.6,19.8,11.0,1.2,,116.4,22.2,19.0,10.2,1.2,,-9.6,0.4,0.8,0.8,0.0
32,33,Leon Wood,,4,1,3,0.25,97.1,,99.0,23.0,19.0,9.8,2.8,,110.0,20.3,19.5,9.0,2.0,,-11.0,2.7,-0.5,0.8,0.8
33,34,Bennie Adams,,2,2,0,1.0,102.3,,120.5,18.0,22.5,11.5,1.5,,111.0,28.5,18.5,10.0,1.5,,9.5,-10.5,4.0,1.5,0.0
34,35,Marat Kogut,,3,1,2,0.333,97.1,,109.0,23.3,22.3,12.7,1.0,,115.7,27.0,20.0,10.7,2.3,,-6.7,-3.7,2.3,2.0,-1.3
35,36,Jonathan Sterling,,6,3,3,0.5,97.4,,106.7,21.7,20.0,11.3,2.3,,113.7,24.3,19.3,9.0,1.5,,-7.0,-2.6,0.7,2.3,0.8
36,37,Sean Wright,,3,3,0,1.0,96.8,,106.3,20.7,19.7,8.3,1.3,,97.0,21.0,20.3,9.0,1.3,,9.3,-0.3,-0.6,-0.7,0.0
37,38,Brent Barnaky,,4,3,1,0.75,100.7,,118.0,22.8,18.0,10.3,1.5,,114.3,21.0,17.5,10.5,0.8,,3.7,1.8,0.5,-0.2,0.7
38,39,Phenizee Ransom,,2,1,1,0.5,98.6,,110.0,15.0,18.0,8.0,2.0,,106.0,19.5,16.5,9.0,1.5,,4.0,-4.5,1.5,-1.0,0.5
39,40,Kevin Cutler,,2,2,0,1.0,98.2,,116.0,18.0,19.5,9.0,1.0,,92.5,22.5,16.5,8.0,1.0,,23.5,-4.5,3.0,1.0,0.0
40,41,Eric Lewis,,3,2,1,0.667,99.3,,116.0,20.3,21.3,10.0,1.7,,107.3,26.0,17.0,10.0,0.7,,8.7,-5.7,4.3,0.0,1.0
41,42,Danielle Scott,,1,0,1,0.0,96.8,,104.0,21.0,20.0,7.0,4.0,,107.0,22.0,19.0,11.0,1.0,,-3.0,-1.0,1.0,-4.0,3.0
42,43,Tony Brothers,,3,3,0,1.0,97.3,,119.7,22.0,19.3,11.0,1.7,,111.3,23.7,18.7,9.0,1.0,,8.4,-1.7,0.6,2.0,0.7
43,44,Ben Taylor,,5,3,2,0.6,97.6,,113.6,19.0,16.8,9.6,0.8,,112.6,19.4,16.8,9.4,1.8,,1.0,-0.4,0.0,0.2,-1.0
44,45,Marc Davis,,6,6,0,1.0,97.6,,109.8,23.5,18.0,10.0,1.2,,105.8,21.2,17.7,9.7,0.5,,4.0,2.3,0.3,0.3,0.7
45,46,Mitchell Ervin,,3,1,2,0.333,98.2,,100.3,22.7,17.7,7.3,1.0,,120.7,16.0,18.0,11.0,0.3,,-20.4,6.7,-0.3,-3.7,0.7
46,47,Gediminas Petraitis,,3,3,0,1.0,98.3,,118.6,26.4,14.8,6.4,0.6,,113.4,14.2,20.0,11.3,1.0,,5.2,12.2,-5.2,-4.9,-0.4
47,48,Courtney Kirkland,,3,2,1,0.667,96.9,,108.3,22.3,18.0,9.3,1.7,,110.7,22.0,18.7,9.7,0.7,,-2.4,0.3,-0.7,-0.4,1.0
48,49,Derrick Collins,,4,0,4,0.0,95.3,,103.3,16.8,20.0,9.0,1.5,,117.3,20.8,18.0,8.0,3.3,,-14.0,-4.0,2.0,1.0,-1.8
49,50,John Conley,,2,1,1,0.5,97.7,,111.0,20.5,18.0,9.0,2.5,,120.0,17.5,18.0,10.0,1.5,,-9.0,3.0,0.0,-1.0,1.0
50,51,Rodney Mott,,2,0,2,0.0,93.6,,97.0,25.5,16.5,8.0,2.0,,123.5,17.5,20.5,10.0,2.5,,-26.5,8.0,-4.0,-2.0,-0.5
51,52,Jenna Schroeder,,4,3,1,0.75,96.4,,107.0,25.1,18.5,10.5,1.0,,105.3,23.9,19.5,11.0,1.0,,1.7,1.2,-1.0,-0.5,0.0
52,53,John Goble,,4,3,1,0.75,96.3,,114.3,17.0,15.5,8.3,0.8,,113.3,18.0,15.5,8.5,1.0,,1.0,-1.0,0.0,-0.2,-0.2
53,54,C.J. Washington,,4,2,2,0.5,93.7,,113.8,18.5,17.8,8.3,1.0,,115.5,21.0,16.0,8.8,1.0,,-1.7,-2.5,1.8,-0.5,0.0
54,55,Andy Nagy,,2,2,0,1.0,98.7,,110.0,28.5,19.5,13.0,0.5,,107.0,28.0,20.0,11.5,0.5,,3.0,0.5,-0.5,1.5,0.0
55,56,Jason Goldenberg,,3,1,2,0.333,101.6,,114.7,22.3,22.3,13.0,1.7,,125.0,29.0,20.3,11.0,1.3,,-10.3,-6.7,2.0,2.0,0.4
