,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,126,59,67,0.468,12741,12888,101.1,102.3
1,2,Boston Celtics,116,45,71,0.388,11646,12094,100.4,104.3
2,3,Brooklyn Nets,118,56,62,0.475,11898,11952,100.8,101.3
3,4,Chicago Bulls,121,45,76,0.372,11846,12373,97.9,102.3
4,5,Cleveland Cavaliers,119,48,71,0.403,11787,12148,99.1,102.1
5,6,Dallas Mavericks,63,21,42,0.333,6212,6466,98.6,102.6
6,7,Denver Nuggets,64,30,34,0.469,6527,6686,102.0,104.5
7,8,Detroit Pistons,121,62,59,0.512,11954,12001,98.8,99.2
8,9,Golden State Warriors,64,32,32,0.5,6670,6831,104.2,106.7
9,10,Houston Rockets,65,18,47,0.277,6363,6678,97.9,102.7
10,11,Indiana Pacers,121,51,70,0.421,12092,12464,99.9,103.0
11,12,Los Angeles Clippers,62,25,37,0.403,6276,6383,101.2,103.0
12,13,Los Angeles Lakers,63,24,39,0.381,6364,6577,101.0,104.4
13,14,Memphis Grizzlies,47,25,22,0.532,4667,4557,99.3,97.0
14,15,Miami Heat,117,46,71,0.393,11250,11612,96.2,99.2
15,16,Milwaukee Bucks,122,59,63,0.484,12419,12572,101.8,103.0
16,17,Minnesota Timberwolves,62,40,22,0.645,6360,6224,102.6,100.4
17,18,New Orleans Pelicans,35,12,23,0.343,3438,3593,98.2,102.7
18,19,New York Knicks,118,56,62,0.475,11929,11993,101.1,101.6
19,20,Oklahoma City Thunder,62,21,41,0.339,6137,6469,99.0,104.3
20,21,Orlando Magic,114,58,56,0.509,11606,11582,101.8,101.6
21,22,Philadelphia 76ers,116,59,57,0.509,11781,11717,101.6,101.0
22,23,Phoenix Suns,64,25,39,0.391,6679,6943,104.4,108.5
23,24,Portland Trail Blazers,63,18,45,0.286,6180,6571,98.1,104.3
24,25,Sacramento Kings,64,36,28,0.563,6706,6678,104.8,104.3
25,26,San Antonio Spurs,64,20,44,0.313,6111,6541,95.5,102.2
26,27,Toronto Raptors,89,47,42,0.528,8854,8787,99.5,98.7
27,28,Utah Jazz,65,20,45,0.308,6273,6675,96.5,102.7
28,29,Washington Wizards,124,68,56,0.548,12707,12664,102.5,102.1
