,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Bernie Bickerstaff,2005,2007,3,246,77,169,0.313,-46.0,,,,,,,
1,2,James Borrego,2019,2022,4,301,138,163,0.458,-12.5,,,,,,,
2,3,Allan Bristow,1992,1996,5,410,207,203,0.505,2.0,2.0,13.0,5.0,8.0,0.385,0.0,0.0
3,4,Larry Brown,2009,2011,3,192,88,104,0.458,-8.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
4,5,Steve Clifford,2014,2018,5,410,196,214,0.478,-9.0,2.0,11.0,3.0,8.0,0.273,0.0,0.0
5,6,Dave Cowens,1997,1999,3,179,109,70,0.609,19.5,2.0,12.0,4.0,8.0,0.333,0.0,0.0
6,7,Mike Dunlap,2013,2013,1,82,21,61,0.256,-20.0,,,,,,,
7,8,Dick Harter,1989,1990,2,122,28,94,0.23,-33.0,,,,,,,
8,9,Gene Littles,1990,1991,2,124,37,87,0.298,-25.0,,,,,,,
9,10,Paul Silas,1999,2012,6,401,193,208,0.481,-7.5,3.0,23.0,11.0,12.0,0.478,0.0,0.0
10,11,Sam Vincent,2008,2008,1,82,32,50,0.39,-9.0,,,,,,,
