,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",7:00p,,Box Score,,Indiana Pacers,W,,123,122,1,0,W 1,
1,2,"Fri, Oct 22, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,W,,123,112,2,0,W 2,
2,3,"Sun, Oct 24, 2021",4:00p,,Box Score,@,Brooklyn Nets,W,,111,95,3,0,W 3,
3,4,"Mon, Oct 25, 2021",7:00p,,Box Score,,Boston Celtics,L,OT,129,140,3,1,L 1,
4,5,"Wed, Oct 27, 2021",7:00p,,Box Score,@,Orlando Magic,W,,120,111,4,1,W 1,
5,6,"Fri, Oct 29, 2021",7:30p,,Box Score,@,Miami Heat,L,,99,114,4,2,L 1,
6,7,"Sun, Oct 31, 2021",7:00p,,Box Score,,Portland Trail Blazers,W,,125,113,5,2,W 1,
7,8,"Mon, Nov 1, 2021",7:00p,,Box Score,,Cleveland Cavaliers,L,,110,113,5,3,L 1,
8,9,"Wed, Nov 3, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,92,114,5,4,L 2,
9,10,"Fri, Nov 5, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,110,140,5,5,L 3,
10,11,"Sun, Nov 7, 2021",9:00p,,Box Score,@,Los Angeles Clippers,L,,106,120,5,6,L 4,
11,12,"Mon, Nov 8, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,OT,123,126,5,7,L 5,
12,13,"Wed, Nov 10, 2021",8:00p,,Box Score,@,Memphis Grizzlies,W,,118,108,6,7,W 1,
13,14,"Fri, Nov 12, 2021",7:00p,,Box Score,,New York Knicks,W,,104,96,7,7,W 2,
14,15,"Sun, Nov 14, 2021",7:00p,,Box Score,,Golden State Warriors,W,,106,102,8,7,W 3,
15,16,"Wed, Nov 17, 2021",7:00p,,Box Score,,Washington Wizards,W,,97,87,9,7,W 4,
16,17,"Fri, Nov 19, 2021",7:00p,,Box Score,,Indiana Pacers,W,,121,118,10,7,W 5,
17,18,"Sat, Nov 20, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,105,115,10,8,L 1,
18,19,"Mon, Nov 22, 2021",7:00p,,Box Score,@,Washington Wizards,W,,109,103,11,8,W 1,
19,20,"Wed, Nov 24, 2021",7:00p,,Box Score,@,Orlando Magic,W,,106,99,12,8,W 2,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Fri, Nov 26, 2021",7:00p,,Box Score,,Minnesota Timberwolves,W,,133,115,13,8,W 3,
22,22,"Sat, Nov 27, 2021",8:00p,,Box Score,@,Houston Rockets,L,OT,143,146,13,9,L 1,
23,23,"Mon, Nov 29, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,119,133,13,10,L 2,
24,24,"Wed, Dec 1, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,125,127,13,11,L 3,
25,25,"Sun, Dec 5, 2021",6:00p,,Box Score,@,Atlanta Hawks,W,,130,127,14,11,W 1,
26,26,"Mon, Dec 6, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,OT,124,127,14,12,L 1,
27,27,"Wed, Dec 8, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,106,110,14,13,L 2,
28,28,"Fri, Dec 10, 2021",7:00p,,Box Score,,Sacramento Kings,W,,124,123,15,13,W 1,
29,29,"Mon, Dec 13, 2021",8:30p,,Box Score,@,Dallas Mavericks,L,,96,120,15,14,L 1,
30,30,"Wed, Dec 15, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,,131,115,16,14,W 1,
31,31,"Fri, Dec 17, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,116,125,16,15,L 1,
32,32,"Sun, Dec 19, 2021",8:00p,,Box Score,@,Phoenix Suns,L,,106,137,16,16,L 2,
33,33,"Mon, Dec 20, 2021",9:00p,,Box Score,@,Utah Jazz,L,,102,112,16,17,L 3,
34,34,"Thu, Dec 23, 2021",9:00p,,Box Score,@,Denver Nuggets,W,,115,107,17,17,W 1,
35,35,"Mon, Dec 27, 2021",7:00p,,Box Score,,Houston Rockets,W,,123,99,18,17,W 2,
36,36,"Wed, Dec 29, 2021",7:00p,,Box Score,@,Indiana Pacers,W,,116,108,19,17,W 3,
37,37,"Sun, Jan 2, 2022",7:00p,,Box Score,,Phoenix Suns,L,,99,133,19,18,L 1,
38,38,"Mon, Jan 3, 2022",7:00p,,Box Score,@,Washington Wizards,L,,121,124,19,19,L 2,
39,39,"Wed, Jan 5, 2022",7:00p,,Box Score,,Detroit Pistons,W,,140,111,20,19,W 1,
40,40,"Sat, Jan 8, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,114,106,21,19,W 2,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Mon, Jan 10, 2022",7:00p,,Box Score,,Milwaukee Bucks,W,,103,99,22,19,W 3,
43,42,"Wed, Jan 12, 2022",7:00p,,Box Score,@,Philadelphia 76ers,W,,109,98,23,19,W 4,
44,43,"Fri, Jan 14, 2022",7:00p,,Box Score,,Orlando Magic,L,,109,116,23,20,L 1,
45,44,"Mon, Jan 17, 2022",1:00p,,Box Score,@,New York Knicks,W,,97,87,24,20,W 1,
46,45,"Wed, Jan 19, 2022",7:30p,,Box Score,@,Boston Celtics,W,,111,102,25,20,W 2,
47,46,"Fri, Jan 21, 2022",7:00p,,Box Score,,Oklahoma City Thunder,W,,121,98,26,20,W 3,
48,47,"Sun, Jan 23, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,91,113,26,21,L 1,
49,48,"Tue, Jan 25, 2022",7:00p,,Box Score,@,Toronto Raptors,L,,113,125,26,22,L 2,
50,49,"Wed, Jan 26, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,158,126,27,22,W 1,
51,50,"Fri, Jan 28, 2022",7:30p,,Box Score,,Los Angeles Lakers,W,,117,114,28,22,W 2,
52,51,"Sun, Jan 30, 2022",1:00p,,Box Score,,Los Angeles Clippers,L,,90,115,28,23,L 1,
53,52,"Wed, Feb 2, 2022",7:30p,,Box Score,@,Boston Celtics,L,,107,113,28,24,L 2,
54,53,"Fri, Feb 4, 2022",7:00p,,Box Score,,Cleveland Cavaliers,L,,101,102,28,25,L 3,
55,54,"Sat, Feb 5, 2022",7:00p,,Box Score,,Miami Heat,L,,86,104,28,26,L 4,
56,55,"Mon, Feb 7, 2022",7:00p,,Box Score,,Toronto Raptors,L,,101,116,28,27,L 5,
57,56,"Wed, Feb 9, 2022",7:30p,,Box Score,,Chicago Bulls,L,,109,121,28,28,L 6,
58,57,"Fri, Feb 11, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,141,119,29,28,W 1,
59,58,"Sat, Feb 12, 2022",7:00p,,Box Score,,Memphis Grizzlies,L,,118,125,29,29,L 1,
60,59,"Tue, Feb 15, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,120,126,29,30,L 2,
61,60,"Thu, Feb 17, 2022",7:00p,,Box Score,,Miami Heat,L,2OT,107,111,29,31,L 3,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Fri, Feb 25, 2022",7:00p,,Box Score,,Toronto Raptors,W,,125,93,30,31,W 1,
64,62,"Sun, Feb 27, 2022",7:00p,,Box Score,,Detroit Pistons,L,OT,126,127,30,32,L 1,
65,63,"Mon, Feb 28, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,106,130,30,33,L 2,
66,64,"Wed, Mar 2, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,119,98,31,33,W 1,
67,65,"Sat, Mar 5, 2022",7:00p,,Box Score,,San Antonio Spurs,W,,123,117,32,33,W 2,
68,66,"Tue, Mar 8, 2022",7:00p,,Box Score,,Brooklyn Nets,L,,121,132,32,34,L 1,
69,67,"Wed, Mar 9, 2022",7:00p,,Box Score,,Boston Celtics,L,,101,115,32,35,L 2,
70,68,"Fri, Mar 11, 2022",8:00p,,Box Score,@,New Orleans Pelicans,W,,142,120,33,35,W 1,
71,69,"Mon, Mar 14, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,134,116,34,35,W 2,
72,70,"Wed, Mar 16, 2022",7:00p,,Box Score,,Atlanta Hawks,W,,116,106,35,35,W 3,
73,71,"Sat, Mar 19, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,129,108,36,35,W 4,
74,72,"Mon, Mar 21, 2022",7:00p,,Box Score,,New Orleans Pelicans,W,,106,103,37,35,W 5,
75,73,"Wed, Mar 23, 2022",7:00p,,Box Score,,New York Knicks,L,,106,121,37,36,L 1,
76,74,"Fri, Mar 25, 2022",7:00p,,Box Score,,Utah Jazz,W,,107,101,38,36,W 1,
77,75,"Sun, Mar 27, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,119,110,39,36,W 2,
78,76,"Mon, Mar 28, 2022",7:00p,,Box Score,,Denver Nuggets,L,,109,113,39,37,L 1,
79,77,"Wed, Mar 30, 2022",7:30p,,Box Score,@,New York Knicks,W,,125,114,40,37,W 1,
80,78,"Sat, Apr 2, 2022",12:30p,,Box Score,@,Philadelphia 76ers,L,,114,144,40,38,L 1,
81,79,"Tue, Apr 5, 2022",7:30p,,Box Score,@,Miami Heat,L,,115,144,40,39,L 2,
82,80,"Thu, Apr 7, 2022",7:00p,,Box Score,,Orlando Magic,W,,128,101,41,39,W 1,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 8, 2022",8:00p,,Box Score,@,Chicago Bulls,W,,133,117,42,39,W 2,
85,82,"Sun, Apr 10, 2022",3:30p,,Box Score,,Washington Wizards,W,,124,108,43,39,W 3,
86,83,"Wed, Apr 13, 2022",7:00p,,Box Score,@,Atlanta Hawks,L,,103,132,43,40,L 1,Play-In Game
