,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Indiana Pacers,W,,123,122,1,0,L. Ball · M. Bridges · G. Hayward · K. Oubre · M. Plumlee
1,2,2021-10-22,,,Box Score,@,Cleveland Cavaliers,W,,123,112,2,0,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
2,3,2021-10-24,,,Box Score,@,Brooklyn Nets,W,,111,95,3,0,L. Ball · M. Bridges · G. Hayward · K. Oubre · M. Plumlee
3,4,2021-10-25,,,Box Score,,Boston Celtics,L,OT,129,140,3,1,L. Ball · M. Bridges · G. Hayward · K. Oubre · M. Plumlee
4,5,2021-10-27,,,Box Score,@,Orlando Magic,W,,120,111,4,1,L. Ball · M. Bridges · G. Hayward · K. Oubre · M. Plumlee
5,6,2021-10-29,,,Box Score,@,Miami Heat,L,,99,114,4,2,L. Ball · M. Bridges · G. Hayward · K. Oubre · M. Plumlee
6,7,2021-10-31,,,Box Score,,Portland Trail Blazers,W,,125,113,5,2,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
7,8,2021-11-01,,,Box Score,,Cleveland Cavaliers,L,,110,113,5,3,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
8,9,2021-11-03,,,Box Score,@,Golden State Warriors,L,,92,114,5,4,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
9,10,2021-11-05,,,Box Score,@,Sacramento Kings,L,,110,140,5,5,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
10,11,2021-11-07,,,Box Score,@,Los Angeles Clippers,L,,106,120,5,6,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
11,12,2021-11-08,,,Box Score,@,Los Angeles Lakers,L,OT,123,126,5,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
12,13,2021-11-10,,,Box Score,@,Memphis Grizzlies,W,,118,108,6,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
13,14,2021-11-12,,,Box Score,,New York Knicks,W,,104,96,7,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
14,15,2021-11-14,,,Box Score,,Golden State Warriors,W,,106,102,8,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
15,16,2021-11-17,,,Box Score,,Washington Wizards,W,,97,87,9,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
16,17,2021-11-19,,,Box Score,,Indiana Pacers,W,,121,118,10,7,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
17,18,2021-11-20,,,Box Score,@,Atlanta Hawks,L,,105,115,10,8,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
18,19,2021-11-22,,,Box Score,@,Washington Wizards,W,,109,103,11,8,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
19,20,2021-11-24,,,Box Score,@,Orlando Magic,W,,106,99,12,8,L. Ball · M. Bridges · G. Hayward · M. Plumlee · T. Rozier
20,21,2021-11-26,,,Box Score,,Minnesota Timberwolves,W,,133,115,13,8,L. Ball · M. Bridges · G. Hayward · T. Rozier · P. Washington
21,22,2021-11-27,,,Box Score,@,Houston Rockets,L,OT,143,146,13,9,L. Ball · M. Bridges · G. Hayward · T. Rozier · P. Washington
22,23,2021-11-29,,,Box Score,@,Chicago Bulls,L,,119,133,13,10,L. Ball · M. Bridges · G. Hayward · N. Richards · T. Rozier
23,24,2021-12-01,,,Box Score,@,Milwaukee Bucks,L,,125,127,13,11,L. Ball · M. Bridges · G. Hayward · T. Rozier · P. Washington
