,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Nate Green,,1,1,0,1.0,108.7,,123.0,27.0,21.0,8.0,3.0,,122.0,24.0,24.0,10.0,1.0,,1.0,3.0,-3.0,-2.0,2.0
1,2,Rodney Mott,,3,2,1,0.667,105.1,,120.3,25.0,19.0,9.7,1.3,,121.0,21.0,22.3,10.7,2.7,,-0.7,4.0,-3.3,-1.0,-1.4
2,3,Scott Wall,,6,4,2,0.667,98.9,,119.3,20.5,18.8,8.0,2.3,,118.5,20.5,19.8,8.7,1.5,,0.8,0.0,-1.0,-0.7,0.8
3,4,John Butler,,3,3,0,1.0,99.4,,124.0,18.0,19.0,9.0,0.7,,116.3,21.0,18.0,9.0,2.0,,7.7,-3.0,1.0,0.0,-1.3
4,5,Eric Dalen,,3,2,1,0.667,102.5,,118.0,18.0,16.0,8.7,1.0,,114.0,18.7,16.0,9.0,2.0,,4.0,-0.7,0.0,-0.3,-1.0
5,6,Bill Kennedy,,5,2,3,0.4,100.1,,115.6,19.8,18.0,8.4,0.6,,117.6,22.0,18.6,10.6,2.4,,-2.0,-2.2,-0.6,-2.2,-1.8
6,7,James Capers Jr.,,5,3,2,0.6,99.1,,115.2,22.5,20.2,7.4,1.0,,110.1,20.2,19.4,9.6,2.0,,5.1,2.3,0.8,-2.2,-1.0
7,8,Suyash Mehta,,5,3,2,0.6,100.7,,116.2,20.4,16.4,8.2,1.0,,113.6,16.2,20.0,9.6,2.2,,2.6,4.2,-3.6,-1.4,-1.2
8,9,Derek Richardson,,5,2,3,0.4,99.1,,105.4,21.2,18.6,9.4,0.8,,108.6,21.2,18.8,10.0,2.6,,-3.2,0.0,-0.2,-0.6,-1.8
9,10,Matt Boland,,3,1,2,0.333,98.5,,113.1,19.3,20.9,7.4,2.6,,109.5,19.3,19.7,10.0,1.9,,3.6,0.0,1.2,-2.6,0.7
10,11,Courtney Kirkland,,5,0,5,0.0,98.1,,113.7,24.6,21.7,8.6,1.5,,125.2,25.5,22.1,10.8,2.3,,-11.5,-0.9,-0.4,-2.2,-0.8
11,12,Matt Myers,,6,3,3,0.5,101.7,,118.8,19.7,20.5,7.9,1.5,,114.8,20.8,18.3,10.3,1.8,,4.0,-1.1,2.2,-2.4,-0.3
12,13,Danielle Scott,,4,1,3,0.25,101.5,,113.0,24.5,18.3,8.8,2.3,,123.0,20.8,20.5,9.5,2.0,,-10.0,3.7,-2.2,-0.7,0.3
13,14,Josh Tiven,,6,3,3,0.5,99.0,,116.5,17.2,17.7,9.3,1.8,,113.5,21.0,16.7,8.2,1.1,,3.0,-3.8,1.0,1.1,0.7
14,15,Tony Brothers,,5,3,2,0.6,98.8,,116.8,22.2,17.4,10.0,1.2,,116.8,22.0,18.8,9.2,0.8,,0.0,0.2,-1.4,0.8,0.4
15,16,Brian Forte,,6,3,3,0.5,97.5,,112.5,21.3,21.2,9.7,1.7,,114.3,22.7,20.3,9.2,2.2,,-1.8,-1.4,0.9,0.5,-0.5
16,17,Aaron Smith,,4,2,2,0.5,96.5,,113.5,23.0,17.5,8.5,1.8,,116.0,19.3,18.8,10.8,1.3,,-2.5,3.7,-1.3,-2.3,0.5
17,18,John Conley,,5,4,1,0.8,96.6,,114.8,18.8,18.0,7.8,1.4,,110.2,19.2,17.2,8.4,1.4,,4.6,-0.4,0.8,-0.6,0.0
18,19,Dedric Taylor,,5,3,2,0.6,96.6,,116.4,23.9,18.8,7.1,1.4,,115.8,17.8,20.6,10.4,2.9,,0.6,6.1,-1.8,-3.3,-1.5
19,20,Nick Buchert,,5,3,2,0.6,99.8,,114.0,15.2,21.0,10.4,2.0,,108.4,25.6,16.0,8.0,1.8,,5.6,-10.4,5.0,2.4,0.2
20,21,Pat Fraher,,5,2,3,0.4,96.4,,106.6,17.2,21.4,12.0,1.2,,111.6,26.8,16.6,8.4,1.8,,-5.0,-9.6,4.8,3.6,-0.6
21,22,Brandon Schwab,,4,1,3,0.25,99.4,,107.3,18.3,20.3,8.5,2.0,,108.3,22.5,18.8,8.8,2.5,,-1.0,-4.2,1.5,-0.3,-0.5
22,23,J.B. DeRosa,,3,0,3,0.0,96.7,,98.2,20.9,19.0,6.9,2.2,,109.1,18.4,18.7,10.3,1.9,,-10.9,2.5,0.3,-3.4,0.3
23,24,Kevin Scott,,1,0,1,0.0,103.4,,92.0,19.0,14.0,9.0,0.0,,114.0,18.0,17.0,8.0,3.0,,-22.0,1.0,-3.0,1.0,-3.0
24,25,Tyler Ford,,5,3,2,0.6,97.1,,109.0,22.6,18.2,8.8,1.2,,114.0,19.0,20.6,10.2,1.8,,-5.0,3.6,-2.4,-1.4,-0.6
25,26,Jacyn Goble,,6,2,4,0.333,97.8,,107.0,20.2,17.9,8.4,0.3,,112.4,20.6,19.3,10.5,1.6,,-5.4,-0.4,-1.4,-2.1,-1.3
26,27,David Guthrie,,3,2,1,0.667,104.6,,123.3,21.0,23.7,9.7,0.7,,116.0,26.7,21.3,9.7,1.7,,7.3,-5.7,2.4,0.0,-1.0
27,28,Karl Lane,,6,3,3,0.5,100.8,,119.4,23.1,20.6,9.8,1.6,,117.0,24.4,21.5,11.0,2.3,,2.4,-1.3,-0.9,-1.2,-0.7
28,29,Scott Twardoski,,3,2,1,0.667,97.0,,107.3,19.7,18.0,7.7,2.3,,105.0,20.0,18.0,7.7,1.3,,2.3,-0.3,0.0,0.0,1.0
29,30,Sean Wright,,4,1,3,0.25,97.2,,103.2,24.3,22.0,8.1,2.8,,109.7,23.0,20.4,11.6,1.9,,-6.5,1.3,1.6,-3.5,0.9
30,31,Derrick Collins,,2,2,0,1.0,100.9,,113.5,16.0,18.5,9.5,1.5,,103.0,21.5,15.5,6.5,2.0,,10.5,-5.5,3.0,3.0,-0.5
31,32,Brett Nansel,,3,1,2,0.333,106.1,,115.0,18.0,20.7,11.7,0.7,,115.7,26.0,17.3,6.7,1.3,,-0.7,-8.0,3.4,5.0,-0.6
32,33,Tre Maddox,,2,1,1,0.5,101.0,,105.0,28.0,22.5,9.0,1.0,,113.0,27.5,25.0,12.5,3.5,,-8.0,0.5,-2.5,-3.5,-2.5
33,34,Gediminas Petraitis,,5,2,3,0.4,101.9,,111.6,24.8,21.0,9.0,1.4,,118.6,24.2,20.4,12.0,1.8,,-7.0,0.6,0.6,-3.0,-0.4
34,35,C.J. Washington,,1,1,0,1.0,100.3,,104.0,24.0,18.0,7.0,1.0,,96.0,18.0,22.0,11.0,4.0,,8.0,6.0,-4.0,-4.0,-3.0
35,36,Mark Lindsay,,6,5,1,0.833,99.7,,115.7,18.3,20.5,9.5,1.0,,106.8,24.0,17.8,8.3,1.2,,8.9,-5.7,2.7,1.2,-0.2
36,37,Ray Acosta,,3,1,2,0.333,92.5,,104.8,19.9,20.2,8.5,3.0,,103.8,21.1,18.1,10.0,0.9,,1.0,-1.2,2.1,-1.5,2.1
37,38,Kane Fitzgerald,,5,4,1,0.8,99.9,,118.0,17.0,20.0,9.8,1.2,,108.2,21.2,16.6,8.6,1.6,,9.8,-4.2,3.4,1.2,-0.4
38,39,Dannica Mosher,,1,1,0,1.0,93.0,,97.0,6.0,16.0,7.0,2.0,,87.0,16.0,12.0,3.0,0.0,,10.0,-10.0,4.0,4.0,2.0
39,40,Marat Kogut,,3,2,1,0.667,101.0,,126.7,24.3,25.7,11.7,2.0,,115.3,28.7,24.0,10.3,2.7,,11.4,-4.4,1.7,1.4,-0.7
