,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,236,109,127,0.462,24058,24192,101.9,102.5
1,2,Boston Celtics,219,83,136,0.379,22089,22811,100.9,104.2
2,3,Brooklyn Nets,188,105,83,0.559,19175,18988,102.0,101.0
3,4,Charlotte Hornets,119,71,48,0.597,12148,11787,102.1,99.1
4,5,Chicago Bulls,226,94,132,0.416,22099,22744,97.8,100.6
5,6,Dallas Mavericks,81,41,40,0.506,8115,8144,100.2,100.5
6,7,Denver Nuggets,94,43,51,0.457,9886,9975,105.2,106.1
7,8,Detroit Pistons,229,97,132,0.424,22843,23295,99.8,101.7
8,9,Golden State Warriors,118,52,66,0.441,12208,12436,103.5,105.4
9,10,Houston Rockets,136,48,88,0.353,13651,13990,100.4,102.9
10,11,Indiana Pacers,203,98,105,0.483,20538,20545,101.2,101.2
11,12,Los Angeles Clippers,134,76,58,0.567,13866,13719,103.5,102.4
12,13,Los Angeles Lakers,119,51,68,0.429,12278,12582,103.2,105.7
13,14,Memphis Grizzlies,51,31,20,0.608,5157,5013,101.1,98.3
14,15,Miami Heat,122,48,74,0.393,11556,11806,94.7,96.8
15,16,Milwaukee Bucks,225,97,128,0.431,22622,23161,100.5,102.9
16,17,Minnesota Timberwolves,63,39,24,0.619,6393,6163,101.5,97.8
17,18,New Orleans Pelicans,43,18,25,0.419,4193,4366,97.5,101.5
18,19,New York Knicks,219,103,116,0.47,21809,22181,99.6,101.3
19,20,Oklahoma City Thunder,119,51,68,0.429,11987,12258,100.7,103.0
20,21,Orlando Magic,118,59,59,0.5,11724,11704,99.4,99.2
21,22,Philadelphia 76ers,220,106,114,0.482,22498,22791,102.3,103.6
22,23,Phoenix Suns,117,48,69,0.41,11997,12214,102.5,104.4
23,24,Portland Trail Blazers,128,56,72,0.438,12897,13323,100.8,104.1
24,25,Sacramento Kings,123,61,62,0.496,12907,12981,104.9,105.5
25,26,San Antonio Spurs,101,36,65,0.356,10143,10568,100.4,104.6
26,27,Toronto Raptors,100,53,47,0.53,9921,9892,99.2,98.9
27,28,Utah Jazz,110,49,61,0.445,11051,11208,100.5,101.9
28,29,Washington Wizards,228,110,118,0.482,23105,23194,101.3,101.7
