,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Memphis Grizzlies,L,,121,132,0,1,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
1,2,2021-10-22,,,Box Score,,Charlotte Hornets,L,,112,123,0,2,J. Allen · L. Markkanen · E. Mobley · R. Rubio · C. Sexton
2,3,2021-10-23,,,Box Score,,Atlanta Hawks,W,,101,95,1,2,J. Allen · L. Markkanen · E. Mobley · R. Rubio · C. Sexton
3,4,2021-10-25,,,Box Score,@,Denver Nuggets,W,,99,87,2,2,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
4,5,2021-10-27,,,Box Score,@,Los Angeles Clippers,W,,92,79,3,2,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
5,6,2021-10-29,,,Box Score,@,Los Angeles Lakers,L,,101,113,3,3,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
6,7,2021-10-30,,,Box Score,@,Phoenix Suns,L,,92,101,3,4,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
7,8,2021-11-01,,,Box Score,@,Charlotte Hornets,W,,113,110,4,4,J. Allen · D. Garland · L. Markkanen · E. Mobley · C. Sexton
8,9,2021-11-03,,,Box Score,,Portland Trail Blazers,W,,107,104,5,4,J. Allen · D. Garland · E. Mobley · C. Sexton · D. Wade
9,10,2021-11-05,,,Box Score,@,Toronto Raptors,W,,102,101,6,4,J. Allen · D. Garland · E. Mobley · C. Sexton · D. Wade
10,11,2021-11-07,,,Box Score,@,New York Knicks,W,,126,109,7,4,J. Allen · D. Garland · E. Mobley · C. Sexton · D. Wade
11,12,2021-11-10,,,Box Score,,Washington Wizards,L,,94,97,7,5,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
12,13,2021-11-12,,,Box Score,,Detroit Pistons,W,,98,78,8,5,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
13,14,2021-11-13,,,Box Score,,Boston Celtics,W,,91,89,9,5,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
14,15,2021-11-15,,,Box Score,,Boston Celtics,L,,92,98,9,6,D. Garland · E. Mobley · I. Okoro · R. Rubio · D. Wade
15,16,2021-11-17,,,Box Score,@,Brooklyn Nets,L,,99,109,9,7,E. Davis · D. Garland · I. Okoro · R. Rubio · D. Wade
16,17,2021-11-18,,,Box Score,,Golden State Warriors,L,,89,104,9,8,E. Davis · D. Garland · I. Okoro · R. Rubio · D. Wade
17,18,2021-11-22,,,Box Score,,Brooklyn Nets,L,,112,117,9,9,J. Allen · D. Garland · L. Markkanen · I. Okoro · D. Wade
18,19,2021-11-24,,,Box Score,,Phoenix Suns,L,,115,120,9,10,J. Allen · D. Garland · L. Markkanen · I. Okoro · D. Wade
19,20,2021-11-27,,,Box Score,,Orlando Magic,W,,105,92,10,10,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
20,21,2021-11-29,,,Box Score,@,Dallas Mavericks,W,,114,96,11,10,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
21,22,2021-12-01,,,Box Score,@,Miami Heat,W,,111,85,12,10,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
22,23,2021-12-03,,,Box Score,@,Washington Wizards,W,,116,101,13,10,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
23,24,2021-12-05,,,Box Score,,Utah Jazz,L,,108,109,13,11,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
24,25,2021-12-06,,,Box Score,@,Milwaukee Bucks,L,,104,112,13,12,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
25,26,2021-12-08,,,Box Score,,Chicago Bulls,W,,115,92,14,12,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
26,27,2021-12-10,,,Box Score,@,Minnesota Timberwolves,W,,123,106,15,12,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
27,28,2021-12-11,,,Box Score,,Sacramento Kings,W,,117,103,16,12,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
28,29,2021-12-13,,,Box Score,,Miami Heat,W,,105,94,17,12,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
29,30,2021-12-15,,,Box Score,,Houston Rockets,W,,124,89,18,12,J. Allen · D. Garland · L. Markkanen · I. Okoro · D. Wade
30,31,2021-12-18,,,Box Score,@,Milwaukee Bucks,W,,119,90,19,12,J. Allen · D. Garland · L. Markkanen · L. Stevens · D. Wade
31,32,2021-12-22,,,Box Score,@,Boston Celtics,L,,101,111,19,13,T. Fall · D. Garland · L. Markkanen · R. Rubio · D. Wade
32,33,2021-12-26,,,Box Score,,Toronto Raptors,W,,144,99,20,13,D. Garland · K. Love · L. Markkanen · R. Rubio · D. Wade
33,34,2021-12-28,,,Box Score,@,New Orleans Pelicans,L,,104,108,20,14,L. Markkanen · E. Mobley · I. Okoro · R. Rubio · D. Wade
34,35,2021-12-30,,,Box Score,@,Washington Wizards,L,,93,110,20,15,K. Love · L. Markkanen · E. Mobley · I. Okoro · K. Pangos
35,36,2021-12-31,,,Box Score,,Atlanta Hawks,L,,118,121,20,16,J. Allen · L. Markkanen · E. Mobley · I. Okoro · K. Pangos
36,37,2022-01-02,,,Box Score,,Indiana Pacers,W,,108,104,21,16,J. Allen · L. Markkanen · E. Mobley · I. Okoro · K. Pangos
37,38,2022-01-04,,,Box Score,,Memphis Grizzlies,L,,106,110,21,17,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
38,39,2022-01-07,,,Box Score,@,Portland Trail Blazers,W,,114,101,22,17,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
39,40,2022-01-09,,,Box Score,@,Golden State Warriors,L,,82,96,22,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
40,41,2022-01-10,,,Box Score,@,Sacramento Kings,W,,109,108,23,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
41,42,2022-01-12,,,Box Score,@,Utah Jazz,W,,111,91,24,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
42,43,2022-01-14,,,Box Score,@,San Antonio Spurs,W,,114,109,25,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
43,44,2022-01-15,,,Box Score,@,Oklahoma City Thunder,W,,107,102,26,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · L. Stevens
44,45,2022-01-17,,,Box Score,,Brooklyn Nets,W,,114,107,27,18,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
45,46,2022-01-19,,,Box Score,@,Chicago Bulls,L,,104,117,27,19,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
46,47,2022-01-22,,,Box Score,,Oklahoma City Thunder,W,,94,87,28,19,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
47,48,2022-01-24,,,Box Score,,New York Knicks,W,,95,93,29,19,E. Davis · D. Garland · E. Mobley · I. Okoro · D. Wade
48,49,2022-01-26,,,Box Score,,Milwaukee Bucks,W,,115,99,30,19,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
49,50,2022-01-30,,,Box Score,@,Detroit Pistons,L,,105,115,30,20,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
50,51,2022-01-31,,,Box Score,,New Orleans Pelicans,W,,93,90,31,20,J. Allen · E. Mobley · I. Okoro · C. Osman · D. Wade
51,52,2022-02-02,,,Box Score,@,Houston Rockets,L,,104,115,31,21,J. Allen · B. Goodwin · E. Mobley · I. Okoro · C. Osman
52,53,2022-02-04,,,Box Score,@,Charlotte Hornets,W,,102,101,32,21,J. Allen · B. Goodwin · E. Mobley · I. Okoro · C. Osman
53,54,2022-02-06,,,Box Score,,Indiana Pacers,W,,98,85,33,21,J. Allen · B. Goodwin · E. Mobley · I. Okoro · D. Wade
54,55,2022-02-09,,,Box Score,,San Antonio Spurs,W,,105,92,34,21,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
55,56,2022-02-11,,,Box Score,@,Indiana Pacers,W,,120,113,35,21,J. Allen · C. LeVert · E. Mobley · I. Okoro · D. Wade
56,57,2022-02-12,,,Box Score,@,Philadelphia 76ers,L,,93,103,35,22,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
57,58,2022-02-15,,,Box Score,@,Atlanta Hawks,L,,116,124,35,23,J. Allen · D. Garland · E. Mobley · I. Okoro · D. Wade
58,59,2022-02-24,,,Box Score,@,Detroit Pistons,L,,103,106,35,24,J. Allen · L. Markkanen · E. Mobley · I. Okoro · R. Rondo
59,60,2022-02-26,,,Box Score,,Washington Wizards,W,,92,86,36,24,J. Allen · B. Goodwin · L. Markkanen · E. Mobley · I. Okoro
60,61,2022-02-28,,,Box Score,,Minnesota Timberwolves,L,,122,127,36,25,J. Allen · B. Goodwin · L. Markkanen · E. Mobley · I. Okoro
61,62,2022-03-02,,,Box Score,,Charlotte Hornets,L,,98,119,36,26,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
62,63,2022-03-04,,,Box Score,@,Philadelphia 76ers,L,,119,125,36,27,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
63,64,2022-03-06,,,Box Score,,Toronto Raptors,W,,104,96,37,27,J. Allen · D. Garland · L. Markkanen · E. Mobley · I. Okoro
64,65,2022-03-08,,,Box Score,@,Indiana Pacers,W,,127,124,38,27,D. Garland · L. Markkanen · E. Mobley · I. Okoro · D. Wade
65,66,2022-03-11,,,Box Score,@,Miami Heat,L,,105,117,38,28,D. Garland · L. Markkanen · E. Mobley · I. Okoro · D. Wade
66,67,2022-03-12,,,Box Score,@,Chicago Bulls,L,,91,101,38,29,D. Garland · K. Love · E. Mobley · I. Okoro · D. Wade
67,68,2022-03-14,,,Box Score,,Los Angeles Clippers,W,OT,120,111,39,29,D. Garland · L. Markkanen · E. Mobley · I. Okoro · L. Stevens
68,69,2022-03-16,,,Box Score,,Philadelphia 76ers,L,,114,118,39,30,D. Garland · L. Markkanen · E. Mobley · I. Okoro · L. Stevens
69,70,2022-03-18,,,Box Score,,Denver Nuggets,W,OT,119,116,40,30,D. Garland · L. Markkanen · E. Mobley · I. Okoro · L. Stevens
70,71,2022-03-19,,,Box Score,,Detroit Pistons,W,,113,109,41,30,D. Garland · L. Markkanen · E. Mobley · I. Okoro · L. Stevens
71,72,2022-03-21,,,Box Score,,Los Angeles Lakers,L,,120,131,41,31,D. Garland · L. Markkanen · E. Mobley · I. Okoro · L. Stevens
72,73,2022-03-24,,,Box Score,@,Toronto Raptors,L,,104,117,41,32,D. Garland · K. Love · L. Markkanen · E. Mobley · I. Okoro
73,74,2022-03-26,,,Box Score,,Chicago Bulls,L,,94,98,41,33,D. Garland · C. LeVert · L. Markkanen · E. Mobley · I. Okoro
74,75,2022-03-28,,,Box Score,,Orlando Magic,W,,107,101,42,33,D. Garland · C. LeVert · L. Markkanen · E. Mobley · I. Okoro
75,76,2022-03-30,,,Box Score,,Dallas Mavericks,L,,112,120,42,34,M. Brown · D. Garland · C. LeVert · L. Markkanen · I. Okoro
76,77,2022-03-31,,,Box Score,@,Atlanta Hawks,L,,107,131,42,35,M. Brown · D. Garland · C. LeVert · L. Markkanen · I. Okoro
77,78,2022-04-02,,,Box Score,@,New York Knicks,W,,119,101,43,35,M. Brown · D. Garland · C. LeVert · L. Markkanen · I. Okoro
78,79,2022-04-03,,,Box Score,,Philadelphia 76ers,L,,108,112,43,36,M. Brown · D. Garland · C. LeVert · L. Markkanen · I. Okoro
79,80,2022-04-05,,,Box Score,@,Orlando Magic,L,,115,120,43,37,M. Brown · D. Garland · C. LeVert · L. Markkanen · I. Okoro
80,81,2022-04-08,,,Box Score,@,Brooklyn Nets,L,,107,118,43,38,D. Garland · C. LeVert · L. Markkanen · E. Mobley · I. Okoro
81,82,2022-04-10,,,Box Score,,Milwaukee Bucks,W,,133,115,44,38,D. Garland · C. LeVert · L. Markkanen · E. Mobley · I. Okoro
