,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,John Conley,,2,1,1,0.5,96.1,,106.0,20.0,18.0,4.0,1.0,,110.5,15.0,15.5,9.5,1.5,,-4.5,5.0,2.5,-5.5,-0.5
1,2,Kevin Scott,,2,0,2,0.0,96.4,,118.5,15.0,20.0,5.5,1.0,,128.0,19.5,16.5,7.5,1.0,,-9.5,-4.5,3.5,-2.0,0.0
2,3,Michael Smith,,3,1,2,0.333,94.3,,110.8,21.3,15.5,6.4,0.3,,117.6,15.8,19.7,11.0,1.0,,-6.8,5.5,-4.2,-4.6,-0.7
3,4,John Butler,,3,0,3,0.0,97.0,,107.0,24.3,18.7,10.7,0.3,,116.0,23.0,18.3,10.3,1.3,,-9.0,1.3,0.4,0.4,-1.0
4,5,Eric Dalen,,5,1,4,0.2,96.6,,114.4,23.0,15.0,6.6,0.8,,116.2,15.4,19.8,9.2,1.8,,-1.8,7.6,-4.8,-2.6,-1.0
5,6,Bill Kennedy,,4,2,2,0.5,95.5,,108.0,24.3,16.3,9.0,0.3,,110.3,20.3,20.0,10.0,1.8,,-2.3,4.0,-3.7,-1.0,-1.5
6,7,Curtis Blair,,4,3,1,0.75,93.1,,101.5,19.8,13.8,5.8,1.5,,99.5,13.8,18.8,8.3,1.3,,2.0,6.0,-5.0,-2.5,0.2
7,8,Nate Green,,4,3,1,0.75,93.0,,100.3,21.3,17.3,7.0,1.8,,97.8,18.0,20.8,7.8,2.5,,2.5,3.3,-3.5,-0.8,-0.7
8,9,Scott Wall,,5,2,3,0.4,94.4,,104.2,22.2,18.2,8.8,1.8,,111.2,19.0,20.4,9.2,1.0,,-7.0,3.2,-2.2,-0.4,0.8
9,10,Tony Brothers,,6,2,4,0.333,94.3,,105.5,23.0,17.8,7.7,1.0,,106.2,18.0,22.2,8.7,2.0,,-0.7,5.0,-4.4,-1.0,-1.0
10,11,Nick Buchert,,6,5,1,0.833,96.7,,111.0,24.8,17.2,8.5,1.5,,104.8,16.8,21.2,9.5,2.7,,6.2,8.0,-4.0,-1.0,-1.2
11,12,Tom Washington,,5,3,2,0.6,97.0,,103.8,22.0,18.0,8.4,1.4,,101.6,17.0,21.8,9.8,3.0,,2.2,5.0,-3.8,-1.4,-1.6
12,13,Derrick Collins,,1,1,0,1.0,95.0,,92.0,27.0,14.0,8.0,1.0,,79.0,13.0,24.0,9.0,2.0,,13.0,14.0,-10.0,-1.0,-1.0
13,14,Mousa Dagher,,2,1,1,0.5,94.2,,97.5,30.5,17.5,9.0,0.5,,92.5,20.5,24.0,12.0,1.5,,5.0,10.0,-6.5,-3.0,-1.0
14,15,Tre Maddox,,3,1,2,0.333,94.6,,97.7,25.3,17.3,9.0,1.3,,102.3,19.3,22.0,10.3,1.3,,-4.6,6.0,-4.7,-1.3,0.0
