,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,82,37,45,0.451,8278,8398,101.0,102.4
1,2,Boston Celtics,82,40,42,0.488,8486,8514,103.5,103.8
2,3,Brooklyn Nets,81,48,33,0.593,8325,8157,102.8,100.7
3,4,Charlotte Hornets,63,42,21,0.667,6466,6212,102.6,98.6
4,5,Chicago Bulls,82,42,40,0.512,8367,8444,102.0,103.0
5,6,Cleveland Cavaliers,81,40,41,0.494,8144,8115,100.5,100.2
6,7,Denver Nuggets,182,94,88,0.516,19528,19418,107.3,106.7
7,8,Detroit Pistons,81,39,42,0.481,8141,8161,100.5,100.8
8,9,Golden State Warriors,169,89,80,0.527,18430,18147,109.1,107.4
9,10,Houston Rockets,189,89,100,0.471,19545,19769,103.4,104.6
10,11,Indiana Pacers,81,46,35,0.568,8374,8313,103.4,102.6
11,12,Los Angeles Clippers,166,97,69,0.584,17391,16911,104.8,101.9
12,13,Los Angeles Lakers,167,52,115,0.311,17314,17956,103.7,107.5
13,14,Memphis Grizzlies,104,72,32,0.692,10434,10005,100.3,96.2
14,15,Miami Heat,71,34,37,0.479,7085,7165,99.8,100.9
15,16,Milwaukee Bucks,81,38,43,0.469,8439,8484,104.2,104.7
16,17,Minnesota Timberwolves,129,75,54,0.581,12992,12795,100.7,99.2
17,18,New Orleans Pelicans,74,50,24,0.676,7758,7370,104.8,99.6
18,19,New York Knicks,82,42,40,0.512,8255,8169,100.7,99.6
19,20,Oklahoma City Thunder,167,82,85,0.491,17157,17298,102.7,103.6
20,21,Orlando Magic,67,39,28,0.582,6946,6781,103.7,101.2
21,22,Philadelphia 76ers,81,41,40,0.506,8210,8191,101.4,101.1
22,23,Phoenix Suns,168,74,94,0.44,17579,17978,104.6,107.0
23,24,Portland Trail Blazers,167,79,88,0.473,17244,17580,103.3,105.3
24,25,Sacramento Kings,176,99,77,0.563,18712,18448,106.3,104.8
25,26,San Antonio Spurs,191,77,114,0.403,19343,19920,101.3,104.3
26,27,Toronto Raptors,51,29,22,0.569,5185,5144,101.7,100.9
27,28,Utah Jazz,183,77,106,0.421,18494,18822,101.1,102.9
28,29,Washington Wizards,81,46,35,0.568,8510,8256,105.1,101.9
