,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-21,,,Box Score,@,Atlanta Hawks,L,,87,113,0,1,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
1,2,2021-10-23,,,Box Score,@,Toronto Raptors,W,,103,95,1,1,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
2,3,2021-10-26,,,Box Score,,Houston Rockets,W,,116,106,2,1,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
3,4,2021-10-28,,,Box Score,,San Antonio Spurs,W,,104,99,3,1,R. Bullock · L. Dončić · D. Finney-Smith · T. Hardaway · D. Powell
4,5,2021-10-29,,,Box Score,@,Denver Nuggets,L,,75,106,3,2,R. Bullock · L. Dončić · D. Finney-Smith · T. Hardaway · D. Powell
5,6,2021-10-31,,,Box Score,,Sacramento Kings,W,,105,99,4,2,L. Dončić · D. Finney-Smith · T. Hardaway · M. Kleber · D. Powell
6,7,2021-11-02,,,Box Score,,Miami Heat,L,,110,125,4,3,J. Brunson · L. Dončić · D. Finney-Smith · T. Hardaway · D. Powell
7,8,2021-11-03,,,Box Score,@,San Antonio Spurs,W,,109,108,5,3,J. Brunson · L. Dončić · D. Finney-Smith · T. Hardaway · D. Powell
8,9,2021-11-06,,,Box Score,,Boston Celtics,W,,107,104,6,3,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
9,10,2021-11-08,,,Box Score,,New Orleans Pelicans,W,,108,92,7,3,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
10,11,2021-11-10,,,Box Score,@,Chicago Bulls,L,,107,117,7,4,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
11,12,2021-11-12,,,Box Score,@,San Antonio Spurs,W,,123,109,8,4,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
12,13,2021-11-15,,,Box Score,,Denver Nuggets,W,,111,101,9,4,L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
13,14,2021-11-17,,,Box Score,@,Phoenix Suns,L,,98,105,9,5,J. Brunson · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
14,15,2021-11-19,,,Box Score,@,Phoenix Suns,L,,104,112,9,6,J. Brunson · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
15,16,2021-11-21,,,Box Score,@,Los Angeles Clippers,L,,91,97,9,7,J. Brunson · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
16,17,2021-11-23,,,Box Score,@,Los Angeles Clippers,W,OT,112,104,10,7,W. Cauley-Stein · L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis
17,18,2021-11-27,,,Box Score,,Washington Wizards,L,,114,120,10,8,W. Cauley-Stein · L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis
18,19,2021-11-29,,,Box Score,,Cleveland Cavaliers,L,,96,114,10,9,M. Brown · L. Dončić · D. Finney-Smith · T. Hardaway · K. Porziņģis
19,20,2021-12-01,,,Box Score,@,New Orleans Pelicans,W,,139,107,11,9,R. Bullock · L. Dončić · D. Finney-Smith · K. Porziņģis · D. Powell
20,21,2021-12-03,,,Box Score,,New Orleans Pelicans,L,,91,107,11,10,R. Bullock · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
21,22,2021-12-04,,,Box Score,,Memphis Grizzlies,L,,90,97,11,11,J. Brunson · R. Bullock · D. Finney-Smith · M. Kleber · D. Powell
22,23,2021-12-07,,,Box Score,,Brooklyn Nets,L,,99,102,11,12,R. Bullock · L. Dončić · D. Finney-Smith · K. Porziņģis · D. Powell
23,24,2021-12-08,,,Box Score,@,Memphis Grizzlies,W,,104,96,12,12,R. Bullock · L. Dončić · D. Finney-Smith · K. Porziņģis · D. Powell
24,25,2021-12-10,,,Box Score,@,Indiana Pacers,L,,93,106,12,13,R. Bullock · L. Dončić · D. Finney-Smith · K. Porziņģis · D. Powell
25,26,2021-12-12,,,Box Score,@,Oklahoma City Thunder,W,,103,84,13,13,J. Brunson · R. Bullock · D. Finney-Smith · K. Porziņģis · D. Powell
26,27,2021-12-13,,,Box Score,,Charlotte Hornets,W,,120,96,14,13,J. Brunson · R. Bullock · D. Finney-Smith · K. Porziņģis · D. Powell
27,28,2021-12-15,,,Box Score,,Los Angeles Lakers,L,OT,104,107,14,14,J. Brunson · R. Bullock · D. Finney-Smith · K. Porziņģis · D. Powell
28,29,2021-12-19,,,Box Score,@,Minnesota Timberwolves,L,,105,111,14,15,J. Brunson · D. Finney-Smith · T. Hardaway · K. Porziņģis · D. Powell
29,30,2021-12-21,,,Box Score,,Minnesota Timberwolves,W,,114,102,15,15,S. Brown · J. Brunson · D. Finney-Smith · F. Ntilikina · D. Powell
30,31,2021-12-23,,,Box Score,,Milwaukee Bucks,L,,95,102,15,16,S. Brown · J. Brunson · D. Finney-Smith · F. Ntilikina · D. Powell
31,32,2021-12-25,,,Box Score,@,Utah Jazz,L,,116,120,15,17,S. Brown · J. Brunson · F. Ntilikina · K. Porziņģis · D. Powell
32,33,2021-12-27,,,Box Score,@,Portland Trail Blazers,W,,132,117,16,17,J. Brunson · D. Finney-Smith · F. Ntilikina · K. Porziņģis · D. Powell
33,34,2021-12-29,,,Box Score,@,Sacramento Kings,L,,94,95,16,18,J. Brunson · D. Finney-Smith · F. Ntilikina · K. Porziņģis · D. Powell
34,35,2021-12-31,,,Box Score,@,Sacramento Kings,W,,112,96,17,18,J. Brunson · R. Bullock · D. Finney-Smith · K. Porziņģis · D. Powell
35,36,2022-01-02,,,Box Score,@,Oklahoma City Thunder,W,,95,86,18,18,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
36,37,2022-01-03,,,Box Score,,Denver Nuggets,W,,103,89,19,18,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
37,38,2022-01-05,,,Box Score,,Golden State Warriors,W,,99,82,20,18,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
38,39,2022-01-07,,,Box Score,@,Houston Rockets,W,,130,106,21,18,J. Brunson · R. Bullock · D. Finney-Smith · M. Kleber · D. Powell
39,40,2022-01-09,,,Box Score,,Chicago Bulls,W,,113,99,22,18,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
40,41,2022-01-12,,,Box Score,@,New York Knicks,L,,85,108,22,19,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
41,42,2022-01-14,,,Box Score,@,Memphis Grizzlies,W,,112,85,23,19,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
42,43,2022-01-15,,,Box Score,,Orlando Magic,W,,108,92,24,19,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
43,44,2022-01-17,,,Box Score,,Oklahoma City Thunder,W,,104,102,25,19,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
44,45,2022-01-19,,,Box Score,,Toronto Raptors,W,,102,98,26,19,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
45,46,2022-01-20,,,Box Score,,Phoenix Suns,L,,101,109,26,20,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
46,47,2022-01-23,,,Box Score,,Memphis Grizzlies,W,,104,91,27,20,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
47,48,2022-01-25,,,Box Score,@,Golden State Warriors,L,,92,130,27,21,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
48,49,2022-01-26,,,Box Score,@,Portland Trail Blazers,W,,132,112,28,21,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
49,50,2022-01-29,,,Box Score,,Indiana Pacers,W,,132,105,29,21,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · K. Porziņģis
50,51,2022-01-30,,,Box Score,@,Orlando Magic,L,,108,110,29,22,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
51,52,2022-02-02,,,Box Score,,Oklahoma City Thunder,L,OT,114,120,29,23,J. Brunson · L. Dončić · D. Finney-Smith · M. Kleber · D. Powell
52,53,2022-02-04,,,Box Score,,Philadelphia 76ers,W,,107,98,30,23,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
53,54,2022-02-06,,,Box Score,,Atlanta Hawks,W,,103,94,31,23,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
54,55,2022-02-08,,,Box Score,,Detroit Pistons,W,,116,86,32,23,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
55,56,2022-02-10,,,Box Score,,Los Angeles Clippers,W,,112,105,33,23,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
56,57,2022-02-12,,,Box Score,,Los Angeles Clippers,L,,97,99,33,24,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
57,58,2022-02-15,,,Box Score,@,Miami Heat,W,,107,99,34,24,J. Brunson · L. Dončić · D. Finney-Smith · J. Green · D. Powell
58,59,2022-02-17,,,Box Score,@,New Orleans Pelicans,W,,125,118,35,24,J. Brunson · L. Dončić · D. Finney-Smith · J. Green · D. Powell
59,60,2022-02-25,,,Box Score,@,Utah Jazz,L,,109,114,35,25,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
60,61,2022-02-27,,,Box Score,@,Golden State Warriors,W,,107,101,36,25,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
61,62,2022-03-01,,,Box Score,@,Los Angeles Lakers,W,,109,104,37,25,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
62,63,2022-03-03,,,Box Score,,Golden State Warriors,W,,122,113,38,25,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
63,64,2022-03-05,,,Box Score,,Sacramento Kings,W,,114,113,39,25,J. Brunson · R. Bullock · S. Dinwiddie · D. Finney-Smith · D. Powell
64,65,2022-03-07,,,Box Score,,Utah Jazz,W,,111,103,40,25,R. Bullock · S. Dinwiddie · L. Dončić · D. Finney-Smith · D. Powell
65,66,2022-03-09,,,Box Score,,New York Knicks,L,,77,107,40,26,J. Brunson · R. Bullock · L. Dončić · D. Finney-Smith · D. Powell
66,67,2022-03-11,,,Box Score,@,Houston Rockets,W,,113,100,41,26,R. Bullock · S. Dinwiddie · L. Dončić · J. Green · D. Powell
