,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,James Capers Jr.,,2,1,1,0.5,98.0,,99.0,16.5,21.0,7.5,3.5,,108.0,16.5,18.0,6.0,1.0,,-9.0,0.0,3.0,1.5,2.5
1,2,Dedric Taylor,,4,1,3,0.25,98.1,,110.3,25.5,21.8,10.3,2.0,,117.0,24.5,21.8,10.3,1.8,,-6.7,1.0,0.0,0.0,0.2
2,3,Scott Twardoski,,6,3,3,0.5,95.3,,101.1,23.3,21.8,9.2,2.8,,103.5,20.5,22.0,8.8,1.8,,-2.4,2.8,-0.2,0.4,1.0
3,4,Andy Nagy,,6,5,1,0.833,94.1,,115.7,19.0,19.7,10.7,0.7,,109.0,22.0,18.7,7.8,1.5,,6.7,-3.0,1.0,2.9,-0.8
4,5,Aaron Smith,,4,3,1,0.75,93.7,,107.8,21.8,19.5,8.8,1.3,,103.0,19.5,21.8,8.0,1.0,,4.8,2.3,-2.3,0.8,0.3
5,6,Josh Tiven,,4,4,0,1.0,91.7,,110.8,18.8,19.8,10.0,1.8,,101.3,21.3,19.0,8.8,2.5,,9.5,-2.5,0.8,1.2,-0.7
6,7,John Conley,,1,1,0,1.0,101.7,,116.0,25.0,22.0,9.0,4.0,,106.0,26.0,21.0,11.0,2.0,,10.0,-1.0,1.0,-2.0,2.0
7,8,Justin Van Duyne,,5,2,3,0.4,96.1,,106.6,26.2,20.6,9.8,1.8,,110.6,24.0,21.8,10.0,2.2,,-4.0,2.2,-1.2,-0.2,-0.4
8,9,Sean Wright,,5,4,1,0.8,96.1,,106.6,26.0,20.2,8.4,1.6,,101.4,23.0,21.6,10.8,2.0,,5.2,3.0,-1.4,-2.4,-0.4
9,10,Brandon Adair,,4,2,2,0.5,93.5,,104.3,16.5,20.0,9.0,1.8,,107.8,20.0,19.3,7.0,3.0,,-3.5,-3.5,0.7,2.0,-1.2
10,11,Sean Corbin,,2,2,0,1.0,95.9,,104.0,18.0,20.0,7.0,1.0,,97.5,20.0,19.5,4.5,3.5,,6.5,-2.0,0.5,2.5,-2.5
11,12,Tyler Ford,,5,4,1,0.8,95.4,,110.6,20.4,16.4,8.8,1.2,,107.4,17.2,19.0,9.2,2.0,,3.2,3.2,-2.6,-0.4,-0.8
12,13,Bennie Adams,,2,0,2,0.0,98.3,,91.5,22.5,18.0,6.5,2.5,,108.0,14.5,20.0,9.0,2.0,,-16.5,8.0,-2.0,-2.5,0.5
13,14,Scott Foster,,4,2,2,0.5,95.0,,97.5,21.3,17.8,7.5,1.5,,108.5,18.0,22.3,8.8,3.0,,-11.0,3.3,-4.5,-1.3,-1.5
14,15,J.T. Orr,,4,3,1,0.75,94.1,,115.0,21.5,17.5,7.3,0.8,,106.3,15.5,19.3,10.5,1.0,,8.7,6.0,-1.8,-3.2,-0.2
15,16,Derrick Collins,,5,4,1,0.8,93.7,,106.8,18.2,20.2,8.6,1.4,,103.2,19.8,20.4,8.0,1.4,,3.6,-1.6,-0.2,0.6,0.0
16,17,Mousa Dagher,,4,4,0,1.0,91.0,,114.8,21.0,19.5,9.8,1.0,,103.3,20.5,20.3,8.8,2.8,,11.5,0.5,-0.8,1.0,-1.8
17,18,Pat Fraher,,4,3,1,0.75,92.1,,112.0,17.0,18.8,10.5,1.3,,104.5,19.8,16.0,6.3,1.8,,7.5,-2.8,2.8,4.2,-0.5
18,19,Rodney Mott,,4,2,2,0.5,96.0,,112.8,25.0,21.3,10.3,1.8,,111.3,25.0,21.8,10.8,1.5,,1.5,0.0,-0.5,-0.5,0.3
19,20,Brett Nansel,,3,2,1,0.667,94.4,,113.0,24.3,19.0,10.3,2.0,,113.7,24.0,20.0,12.0,1.0,,-0.7,0.3,-1.0,-1.7,1.0
20,21,Eric Lewis,,4,2,2,0.5,96.4,,102.0,20.5,20.0,8.0,1.8,,111.5,17.5,20.5,8.0,1.3,,-9.5,3.0,-0.5,0.0,0.5
21,22,Gediminas Petraitis,,2,2,0,1.0,102.6,,110.5,22.5,21.0,7.0,1.5,,96.5,16.5,20.0,10.0,1.5,,14.0,6.0,1.0,-3.0,0.0
22,23,C.J. Washington,,4,4,0,1.0,95.3,,110.3,21.5,18.5,7.0,0.8,,100.0,16.5,20.3,9.0,1.8,,10.3,5.0,-1.8,-2.0,-1.0
23,24,John Butler,,4,3,1,0.75,96.3,,110.0,23.8,22.3,10.0,1.8,,102.5,22.3,21.3,9.3,1.3,,7.5,1.5,1.0,0.7,0.5
24,25,Tre Maddox,,4,2,2,0.5,95.7,,101.8,15.0,18.3,8.5,2.0,,107.5,19.0,15.3,6.8,1.0,,-5.7,-4.0,3.0,1.7,1.0
25,26,Scott Wall,,2,1,1,0.5,93.9,,102.5,10.0,16.0,7.0,2.0,,104.5,15.0,11.5,4.0,1.0,,-2.0,-5.0,4.5,3.0,1.0
26,27,Nick Buchert,,6,4,2,0.667,90.6,,105.5,18.3,19.3,8.2,3.1,,98.9,18.8,18.2,8.5,2.0,,6.6,-0.5,1.1,-0.3,1.1
27,28,Lauren Holtkamp-Sterling,,3,3,0,1.0,95.2,,111.0,22.7,19.7,8.7,1.7,,99.0,18.3,21.3,10.0,3.0,,12.0,4.4,-1.6,-1.3,-1.3
28,29,Mark Lindsay,,5,2,3,0.4,94.4,,94.6,17.8,17.8,7.8,1.8,,101.0,18.6,18.6,8.2,2.0,,-6.4,-0.8,-0.8,-0.4,-0.2
29,30,Michael Smith,,4,3,1,0.75,94.4,,111.8,25.0,20.5,9.8,1.8,,107.3,19.5,19.5,9.8,1.5,,4.5,5.5,1.0,0.0,0.3
30,31,Zach Zarba,,3,1,2,0.333,95.1,,108.0,24.3,17.0,7.3,0.7,,110.3,15.0,19.7,10.7,0.0,,-2.3,9.3,-2.7,-3.4,0.7
31,32,J.B. DeRosa,,6,4,2,0.667,97.3,,115.5,20.8,21.0,9.8,2.0,,102.2,22.3,18.5,9.3,1.8,,13.3,-1.5,2.5,0.5,0.2
32,33,Evan Scott,,2,1,1,0.5,99.3,,113.5,21.0,17.5,7.0,1.0,,110.5,17.0,19.5,9.5,0.5,,3.0,4.0,-2.0,-2.5,0.5
33,34,Kevin Scott,,1,1,0,1.0,91.3,,111.0,10.0,19.0,7.0,0.0,,101.0,17.0,16.0,7.0,1.0,,10.0,-7.0,3.0,0.0,-1.0
34,35,Kevin Cutler,,3,1,2,0.333,95.0,,101.3,18.3,19.7,4.7,2.7,,101.7,13.7,20.0,8.7,1.7,,-0.4,4.6,-0.3,-4.0,1.0
35,36,Bill Kennedy,,3,1,2,0.333,93.4,,94.7,23.7,19.7,9.7,2.0,,101.0,21.0,24.0,10.3,1.3,,-6.3,2.7,-4.3,-0.6,0.7
36,37,Nate Green,,2,1,1,0.5,92.5,,100.5,20.0,22.5,8.0,3.0,,94.0,23.0,18.0,9.0,1.5,,6.5,-3.0,4.5,-1.0,1.5
37,38,James Williams,,6,3,3,0.5,95.4,,106.3,21.8,20.6,9.5,1.6,,108.1,22.1,19.3,8.8,2.3,,-1.8,-0.3,1.3,0.7,-0.7
38,39,Kane Fitzgerald,,4,3,1,0.75,91.3,,111.8,23.9,18.0,9.3,1.0,,104.0,20.7,21.0,9.3,1.7,,7.8,3.2,-3.0,0.0,-0.7
39,40,Natalie Sago,,5,5,0,1.0,91.1,,108.3,22.9,18.4,10.0,1.8,,95.0,23.3,22.9,9.4,2.7,,13.3,-0.4,-4.5,0.6,-0.9
