,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,95,44,51,0.463,10116,10111,106.5,106.4
1,2,Boston Celtics,96,37,59,0.385,10231,10500,106.6,109.4
2,3,Brooklyn Nets,164,93,71,0.567,18116,17770,110.5,108.4
3,4,Charlotte Hornets,64,34,30,0.531,6686,6527,104.5,102.0
4,5,Chicago Bulls,97,55,42,0.567,10500,10398,108.2,107.2
5,6,Cleveland Cavaliers,94,51,43,0.543,9975,9886,106.1,105.2
6,7,Dallas Mavericks,182,88,94,0.484,19418,19528,106.7,107.3
7,8,Detroit Pistons,95,44,51,0.463,10093,10252,106.2,107.9
8,9,Golden State Warriors,185,100,85,0.541,20568,20479,111.2,110.7
9,10,Houston Rockets,196,94,102,0.48,21469,21422,109.5,109.3
10,11,Indiana Pacers,187,97,90,0.519,20559,20792,109.9,111.2
11,12,Kentucky Colonels,66,24,42,0.364,7280,7477,110.3,113.3
12,13,Los Angeles Clippers,185,102,83,0.551,20129,19711,108.8,106.5
13,14,Los Angeles Lakers,185,74,111,0.4,20299,20885,109.7,112.9
14,15,Memphis Grizzlies,99,60,39,0.606,10012,9747,101.1,98.5
15,16,Memphis Sounds,79,44,35,0.557,8778,8547,111.1,108.2
16,17,Miami Heat,70,36,34,0.514,7288,7131,104.1,101.9
17,18,Milwaukee Bucks,101,63,38,0.624,11075,11015,109.7,109.1
18,19,Minnesota Timberwolves,137,85,52,0.62,14126,13932,103.1,101.7
19,20,New Orleans Pelicans,68,39,29,0.574,7131,6989,104.9,102.8
20,21,New York Knicks,95,51,44,0.537,10237,10046,107.8,105.7
21,22,Oklahoma City Thunder,191,90,101,0.471,20497,20787,107.3,108.8
22,23,Orlando Magic,67,34,33,0.507,6963,6946,103.9,103.7
23,24,Philadelphia 76ers,94,42,52,0.447,9792,10006,104.2,106.4
24,25,Phoenix Suns,185,85,100,0.459,20344,20790,110.0,112.4
25,26,Pittsburgh Condors,30,17,13,0.567,3492,3419,116.4,114.0
26,27,Portland Trail Blazers,191,90,101,0.471,20610,20914,107.9,109.5
27,28,Sacramento Kings,192,99,93,0.516,21327,21098,111.1,109.9
28,29,San Antonio Spurs,299,133,166,0.445,32518,33089,108.8,110.7
29,30,San Diego Sails,34,27,7,0.794,4056,3708,119.3,109.1
30,31,Spirits of St. Louis,73,46,27,0.63,8424,8046,115.4,110.2
31,32,The Floridians,30,17,13,0.567,3515,3427,117.2,114.2
32,33,Toronto Raptors,52,31,21,0.596,5527,5311,106.3,102.1
33,34,Utah Jazz,205,84,121,0.41,21726,22289,106.0,108.7
34,35,Utah Stars,91,42,49,0.462,10250,10216,112.6,112.3
35,36,Virginia Squires,79,50,29,0.633,9196,8848,116.4,112.0
36,37,Washington Wizards,96,55,41,0.573,10305,10124,107.3,105.5
