,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Phoenix Suns,W,,110,98,1,0,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
1,2,2021-10-22,,,Box Score,,San Antonio Spurs,W,,102,96,2,0,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
2,3,2021-10-25,,,Box Score,,Cleveland Cavaliers,L,,87,99,2,1,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
3,4,2021-10-26,,,Box Score,@,Utah Jazz,L,,110,122,2,2,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
4,5,2021-10-29,,,Box Score,,Dallas Mavericks,W,,106,75,3,2,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
5,6,2021-10-30,,,Box Score,@,Minnesota Timberwolves,W,,93,91,4,2,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
6,7,2021-11-01,,,Box Score,@,Memphis Grizzlies,L,,97,106,4,3,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
7,8,2021-11-03,,,Box Score,@,Memphis Grizzlies,L,,106,108,4,4,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
8,9,2021-11-06,,,Box Score,,Houston Rockets,W,,95,94,5,4,W. Barton · A. Gordon · N. Jokić · M. Morris · M. Porter
9,10,2021-11-08,,,Box Score,,Miami Heat,W,,113,96,6,4,W. Barton · A. Gordon · J. Green · N. Jokić · M. Morris
10,11,2021-11-10,,,Box Score,,Indiana Pacers,W,,101,98,7,4,W. Barton · A. Gordon · J. Green · J. Green · M. Morris
11,12,2021-11-12,,,Box Score,,Atlanta Hawks,W,,105,96,8,4,W. Barton · A. Gordon · J. Green · N. Jokić · M. Morris
12,13,2021-11-14,,,Box Score,,Portland Trail Blazers,W,,124,95,9,4,A. Gordon · J. Green · N. Jokić · M. Morris · A. Rivers
