,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,1,1,0.5,192,190,96.0,95.0
1,2,Atlanta Hawks,438,225,213,0.514,44530,44340,101.7,101.2
2,3,Baltimore Bullets,37,24,13,0.649,3154,3045,85.2,82.3
3,4,Boston Celtics,386,140,246,0.363,39597,41240,102.6,106.8
4,5,Brooklyn Nets,188,109,79,0.58,19572,19176,104.1,102.0
5,6,Charlotte Hornets,121,59,62,0.488,12001,11954,99.2,98.8
6,7,Chicago Bulls,273,133,140,0.487,28080,28130,102.9,103.0
7,8,Chicago Stags,12,6,6,0.5,972,972,81.0,81.0
8,9,Cleveland Cavaliers,229,132,97,0.576,23295,22843,101.7,99.8
9,10,Dallas Mavericks,81,42,39,0.519,8161,8141,100.8,100.5
10,11,Denver Nuggets,2,2,0,1.0,173,138,86.5,69.0
11,12,Denver Nuggets,95,51,44,0.537,10252,10093,107.9,106.2
12,13,Golden State Warriors,305,146,159,0.479,31627,31846,103.7,104.4
13,14,Houston Rockets,145,75,70,0.517,15430,15282,106.4,105.4
14,15,Indiana Pacers,205,100,105,0.488,20905,20864,102.0,101.8
15,16,Indianapolis Jets,6,3,3,0.5,426,431,71.0,71.8
16,17,Indianapolis Olympians,29,18,11,0.621,2349,2332,81.0,80.4
17,18,Los Angeles Clippers,122,72,50,0.59,12851,12539,105.3,102.8
18,19,Los Angeles Lakers,344,134,210,0.39,35142,36326,102.2,105.6
19,20,Memphis Grizzlies,52,27,25,0.519,4954,4977,95.3,95.7
20,21,Miami Heat,121,56,65,0.463,11547,11591,95.4,95.8
21,22,Milwaukee Bucks,255,113,142,0.443,25793,26469,101.1,103.8
22,23,Minnesota Timberwolves,64,31,33,0.484,6408,6299,100.1,98.4
23,24,New Orleans Pelicans,43,17,26,0.395,4177,4211,97.1,97.9
24,25,New York Knicks,390,176,214,0.451,39361,39829,100.9,102.1
25,26,Oklahoma City Thunder,143,69,74,0.483,14865,15049,104.0,105.2
26,27,Orlando Magic,119,68,51,0.571,11977,11761,100.6,98.8
27,28,Philadelphia 76ers,384,158,226,0.411,39647,40730,103.2,106.1
28,29,Phoenix Suns,141,71,70,0.504,15045,15092,106.7,107.0
29,30,Portland Trail Blazers,123,55,68,0.447,12768,12942,103.8,105.2
30,31,Providence Steam Rollers,5,4,1,0.8,397,359,79.4,71.8
31,32,Sacramento Kings,348,174,174,0.5,35905,35984,103.2,103.4
32,33,San Antonio Spurs,98,36,62,0.367,9940,10320,101.4,105.3
33,34,Sheboygan Red Skins,2,2,0,1.0,156,141,78.0,70.5
34,35,St. Louis Bombers,12,6,6,0.5,884,879,73.7,73.3
35,36,Toronto Raptors,98,60,38,0.612,9685,9464,98.8,96.6
36,37,Utah Jazz,104,36,68,0.346,10332,10594,99.3,101.9
37,38,Washington Capitols,15,7,8,0.467,1181,1217,78.7,81.1
38,39,Washington Wizards,295,157,138,0.532,31206,31250,105.8,105.9
39,40,Waterloo Hawks,2,1,1,0.5,160,154,80.0,77.0
