,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Richie Adubato,1980,1980,1,70,12,58,.171,-23.0,,,,,,,
1,2,Curly Armstrong,1949,1949,1,54,22,32,.407,-5.0,,,,,,,
2,3,Carl Bennett,1949,1949,1,6,0,6,.000,-3.0,,,,,,,
3,4,Paul Birch,1952,1954,3,207,105,102,.507,1.5,3,14,4,10,.286,0,0
4,5,Herb Brown,1976,1978,3,146,72,74,.493,-1.0,2,12,5,7,.417,0,0
5,6,Larry Brown,2004,2005,2,164,108,56,.659,26.0,2,48,31,17,.646,2,1
6,7,Donnie Butcher,1967,1969,3,112,52,60,.464,-4.0,1,6,2,4,.333,0,0
7,8,Rick Carlisle,2002,2003,2,164,100,64,.610,18.0,2,27,12,15,.444,0,0
8,9,Dwane Casey,2019,2022,4,302,104,198,.344,-47.0,1,4,0,4,.000,0,0
9,10,Don Chaney,1994,1995,2,164,48,116,.293,-34.0,,,,,,,
10,11,Maurice Cheeks,2014,2014,1,50,21,29,.420,-4.0,,,,,,,
11,12,Doug Collins,1996,1998,3,209,121,88,.579,16.5,2,8,2,6,.250,0,0
12,13,Michael Curry,2009,2009,1,82,39,43,.476,-2.0,1,4,0,4,.000,0,0
13,14,Chuck Daly,1984,1992,9,738,467,271,.633,98.0,9,113,71,42,.628,3,2
14,15,Dave DeBusschere,1965,1967,3,222,79,143,.356,-32.0,,,,,,,
15,16,Terry Dischinger,1972,1972,1,2,0,2,.000,-1.0,,,,,,,
16,17,Charles Eckman,1955,1958,4,241,123,118,.510,2.5,3,23,10,13,.435,0,0
17,18,Lawrence Frank,2012,2013,2,148,54,94,.365,-20.0,,,,,,,
18,19,Alvin Gentry,1998,2000,3,145,73,72,.503,0.5,1,5,2,3,.400,0,0
19,20,George Irvine,2000,2001,2,106,46,60,.434,-7.0,1,3,0,3,.000,0,0
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Bob Kauffman,1978,1978,1,58,29,29,.500,0.0,,,,,,,
23,22,John Kuester,2010,2011,2,164,57,107,.348,-25.0,,,,,,,
24,23,Earl Lloyd,1972,1973,2,77,22,55,.286,-16.5,,,,,,,
25,24,John Loyer,2014,2014,1,32,8,24,.250,-8.0,,,,,,,
26,25,Dick McGuire,1960,1963,4,280,122,158,.436,-18.0,4,21,8,13,.381,0,0
27,26,Murray Mendenhall,1950,1951,2,136,72,64,.529,4.0,2,7,3,4,.429,0,0
28,27,Scotty Robertson,1981,1983,3,246,97,149,.394,-26.0,,,,,,,
29,28,Red Rocha,1958,1960,3,153,65,88,.425,-11.5,2,10,4,6,.400,0,0
30,29,Ron Rothstein,1993,1993,1,82,40,42,.488,-1.0,,,,,,,
31,30,Flip Saunders,2006,2008,3,246,176,70,.715,53.0,3,51,30,21,.588,0,0
32,31,Ray Scott,1973,1976,4,281,147,134,.523,6.5,2,10,4,6,.400,0,0
33,32,Paul Seymour,1969,1969,1,60,22,38,.367,-8.0,,,,,,,
34,33,Butch van Breda Kolff,1970,1972,3,174,82,92,.471,-5.0,,,,,,,
35,34,Stan Van Gundy,2015,2018,4,328,152,176,.463,-12.0,1,4,0,4,.000,0,0
36,35,Dick Vitale,1979,1980,2,94,34,60,.362,-13.0,,,,,,,
37,36,Charles Wolf,1964,1965,2,91,25,66,.275,-20.5,,,,,,,
