,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Chicago Bulls,L,,88,94,0,1,S. Bey · J. Grant · K. Hayes · F. Jackson · I. Stewart
1,2,2021-10-23,,,Box Score,@,Chicago Bulls,L,,82,97,0,2,S. Bey · J. Grant · K. Hayes · F. Jackson · I. Stewart
2,3,2021-10-25,,,Box Score,@,Atlanta Hawks,L,,104,122,0,3,S. Bey · K. Hayes · J. Jackson · K. Olynyk · I. Stewart
3,4,2021-10-28,,,Box Score,@,Philadelphia 76ers,L,,102,110,0,4,S. Bey · J. Grant · K. Hayes · J. Jackson · I. Stewart
4,5,2021-10-30,,,Box Score,,Orlando Magic,W,,110,103,1,4,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
5,6,2021-10-31,,,Box Score,@,Brooklyn Nets,L,,91,117,1,5,S. Bey · H. Diallo · J. Grant · K. Hayes · I. Stewart
6,7,2021-11-02,,,Box Score,,Milwaukee Bucks,L,,89,117,1,6,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
7,8,2021-11-04,,,Box Score,,Philadelphia 76ers,L,,98,109,1,7,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
8,9,2021-11-05,,,Box Score,,Brooklyn Nets,L,,90,96,1,8,S. Bey · C. Cunningham · J. Grant · J. Jackson · I. Stewart
9,10,2021-11-10,,,Box Score,@,Houston Rockets,W,,112,104,2,8,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
10,11,2021-11-12,,,Box Score,@,Cleveland Cavaliers,L,,78,98,2,9,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
11,12,2021-11-13,,,Box Score,@,Toronto Raptors,W,,127,121,3,9,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
12,13,2021-11-15,,,Box Score,,Sacramento Kings,L,,107,129,3,10,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
13,14,2021-11-17,,,Box Score,,Indiana Pacers,W,,97,89,4,10,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
14,15,2021-11-19,,,Box Score,,Golden State Warriors,L,,102,105,4,11,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
15,16,2021-11-21,,,Box Score,,Los Angeles Lakers,L,,116,121,4,12,S. Bey · C. Cunningham · J. Grant · C. Joseph · I. Stewart
16,17,2021-11-23,,,Box Score,,Miami Heat,L,,92,100,4,13,S. Bey · C. Cunningham · L. Garza · J. Grant · C. Joseph
17,18,2021-11-24,,,Box Score,@,Milwaukee Bucks,L,,93,114,4,14,S. Bey · C. Cunningham · L. Garza · J. Grant · C. Joseph
18,19,2021-11-26,,,Box Score,@,Los Angeles Clippers,L,,96,107,4,15,S. Bey · C. Cunningham · J. Grant · C. Joseph · I. Stewart
19,20,2021-11-28,,,Box Score,@,Los Angeles Lakers,L,,106,110,4,16,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
20,21,2021-11-30,,,Box Score,@,Portland Trail Blazers,L,,92,110,4,17,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
21,22,2021-12-02,,,Box Score,@,Phoenix Suns,L,,103,114,4,18,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
22,23,2021-12-06,,,Box Score,,Oklahoma City Thunder,L,,103,114,4,19,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
23,24,2021-12-08,,,Box Score,,Washington Wizards,L,OT,116,119,4,20,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
24,25,2021-12-10,,,Box Score,@,New Orleans Pelicans,L,,93,109,4,21,S. Bey · C. Cunningham · J. Grant · K. Hayes · I. Stewart
25,26,2021-12-12,,,Box Score,,Brooklyn Nets,L,,104,116,4,22,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
26,27,2021-12-16,,,Box Score,@,Indiana Pacers,L,,113,122,4,23,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
27,28,2021-12-18,,,Box Score,,Houston Rockets,L,,107,116,4,24,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
28,29,2021-12-19,,,Box Score,,Miami Heat,W,,100,90,5,24,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
29,30,2021-12-21,,,Box Score,@,New York Knicks,L,,91,105,5,25,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
30,31,2021-12-23,,,Box Score,@,Miami Heat,L,,112,115,5,26,S. Bey · H. Diallo · F. Jackson · C. Joseph · T. Lyles
31,32,2021-12-26,,,Box Score,@,San Antonio Spurs,L,,109,144,5,27,S. Bey · H. Diallo · L. Garza · F. Jackson · D. Walton
32,33,2021-12-29,,,Box Score,,New York Knicks,L,,85,94,5,28,S. Bey · H. Diallo · L. Garza · F. Jackson · D. Walton
33,34,2022-01-01,,,Box Score,,San Antonio Spurs,W,OT,117,116,6,28,S. Bey · H. Diallo · L. Garza · C. Stanley · D. Walton
34,35,2022-01-03,,,Box Score,@,Milwaukee Bucks,W,,115,106,7,28,S. Bey · C. Cunningham · H. Diallo · K. Hayes · T. Lyles
35,36,2022-01-05,,,Box Score,@,Charlotte Hornets,L,,111,140,7,29,S. Bey · C. Cunningham · H. Diallo · K. Hayes · T. Lyles
36,37,2022-01-06,,,Box Score,@,Memphis Grizzlies,L,,88,118,7,30,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
37,38,2022-01-08,,,Box Score,,Orlando Magic,W,,97,92,8,30,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
38,39,2022-01-10,,,Box Score,,Utah Jazz,W,,126,116,9,30,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
39,40,2022-01-11,,,Box Score,@,Chicago Bulls,L,,87,133,9,31,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
40,41,2022-01-14,,,Box Score,,Toronto Raptors,W,,103,87,10,31,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
41,42,2022-01-16,,,Box Score,,Phoenix Suns,L,,108,135,10,32,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
42,43,2022-01-18,,,Box Score,@,Golden State Warriors,L,,86,102,10,33,S. Bey · C. Cunningham · H. Diallo · K. Hayes · I. Stewart
43,44,2022-01-19,,,Box Score,@,Sacramento Kings,W,,133,131,11,33,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
44,45,2022-01-21,,,Box Score,@,Utah Jazz,L,,101,111,11,34,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
45,46,2022-01-23,,,Box Score,@,Denver Nuggets,L,,111,117,11,35,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
46,47,2022-01-25,,,Box Score,,Denver Nuggets,L,,105,110,11,36,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
47,48,2022-01-28,,,Box Score,@,Orlando Magic,L,,103,119,11,37,S. Bey · C. Cunningham · H. Diallo · C. Joseph · I. Stewart
