,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Mousa Dagher,,5,1,4,0.2,97.3,,98.6,20.6,22.8,9.4,2.4,,103.8,27.6,21.0,8.6,2.4,,-5.2,-7.0,1.8,0.8,0.0
1,2,Tyler Ford,,4,0,4,0.0,98.0,,103.5,26.5,25.8,12.5,2.3,,110.0,32.8,21.8,11.8,1.8,,-6.5,-6.3,4.0,0.7,0.5
2,3,Derek Richardson,,5,2,3,0.4,99.3,,107.4,17.4,21.2,8.4,3.0,,108.8,22.0,19.2,8.4,1.8,,-1.4,-4.6,2.0,0.0,1.2
3,4,Ray Acosta,,4,0,4,0.0,97.8,,99.3,18.8,19.5,8.5,2.0,,109.5,23.0,19.0,8.3,2.3,,-10.2,-4.2,0.5,0.2,-0.3
4,5,Eric Dalen,,2,0,2,0.0,98.8,,93.5,17.0,19.5,8.0,2.5,,107.5,20.0,18.0,8.5,0.5,,-14.0,-3.0,1.5,-0.5,2.0
5,6,Pat Fraher,,7,2,5,0.286,95.6,,105.3,20.3,19.9,10.6,1.3,,109.3,24.6,18.0,9.3,1.6,,-4.0,-4.3,1.9,1.3,-0.3
6,7,Aaron Smith,,4,1,3,0.25,97.5,,102.8,23.0,17.8,8.3,1.3,,110.8,17.5,17.8,10.8,1.3,,-8.0,5.5,0.0,-2.5,0.0
7,8,Jonathan Sterling,,5,0,5,0.0,98.7,,109.4,28.8,23.8,12.2,2.0,,118.2,28.2,22.8,11.6,1.4,,-8.8,0.6,1.0,0.6,0.6
8,9,Josh Tiven,,4,1,3,0.25,94.7,,102.3,19.3,20.8,12.0,1.8,,108.0,24.5,19.0,9.0,1.5,,-5.7,-5.2,1.8,3.0,0.3
9,10,J.B. DeRosa,,6,3,3,0.5,97.7,,112.0,20.0,22.8,12.7,1.5,,112.3,27.5,19.2,9.0,1.5,,-0.3,-7.5,3.6,3.7,0.0
10,11,Andy Nagy,,7,2,5,0.286,97.8,,110.2,22.8,23.8,9.1,2.1,,114.3,23.9,21.0,9.9,2.8,,-4.1,-1.1,2.8,-0.8,-0.7
11,12,Tom Washington,,5,3,2,0.6,99.3,,113.8,18.6,20.4,8.6,1.6,,110.8,19.2,17.6,8.4,1.2,,3.0,-0.6,2.8,0.2,0.4
12,13,Marc Davis,,5,3,2,0.6,99.0,,111.4,26.0,21.2,10.0,1.6,,115.0,23.8,20.0,11.6,1.4,,-3.6,2.2,1.2,-1.6,0.2
13,14,Lauren Holtkamp-Sterling,,4,2,2,0.5,96.8,,97.8,19.3,17.8,9.0,1.3,,105.0,20.3,18.8,8.5,1.5,,-7.2,-1.0,-1.0,0.5,-0.2
14,15,Brandon Schwab,,4,2,2,0.5,97.4,,105.0,22.3,20.5,10.5,1.3,,114.5,25.3,20.5,10.5,2.0,,-9.5,-3.0,0.0,0.0,-0.7
15,16,Mark Lindsay,,1,0,1,0.0,95.2,,91.0,22.0,18.0,8.0,2.0,,117.0,16.0,19.0,9.0,2.0,,-26.0,6.0,-1.0,-1.0,0.0
16,17,Scott Twardoski,,5,1,4,0.2,96.6,,94.6,19.0,21.8,11.4,2.0,,105.0,25.4,18.0,9.0,1.6,,-10.4,-6.4,3.8,2.4,0.4
17,18,John Butler,,3,0,3,0.0,97.2,,98.3,30.3,22.7,11.7,2.0,,116.7,25.7,21.3,13.0,0.3,,-18.4,4.6,1.4,-1.3,1.7
18,19,Brian Forte,,6,0,6,0.0,98.4,,93.5,26.3,21.3,9.3,2.8,,116.7,21.7,22.7,11.8,2.2,,-23.2,4.6,-1.4,-2.5,0.6
19,20,Marat Kogut,,4,1,3,0.25,99.1,,110.0,22.3,23.3,10.0,2.8,,120.3,27.8,19.0,10.8,1.8,,-10.3,-5.5,4.3,-0.8,1.0
20,21,Tre Maddox,,2,0,2,0.0,94.3,,110.5,16.0,21.5,8.0,1.0,,119.5,28.0,18.0,7.0,2.5,,-9.0,-12.0,3.5,1.0,-1.5
21,22,Bennie Adams,,2,1,1,0.5,97.8,,102.5,16.0,21.5,8.0,2.5,,101.0,18.0,16.5,6.0,1.5,,1.5,-2.0,5.0,2.0,1.0
22,23,Eric Lewis,,7,3,4,0.429,97.8,,111.5,22.7,23.8,8.7,3.2,,111.2,22.4,21.0,9.4,2.0,,0.3,0.3,2.8,-0.7,1.2
23,24,Rodney Mott,,2,1,1,0.5,97.1,,108.0,20.0,24.0,12.0,3.0,,108.5,27.5,20.5,8.5,2.0,,-0.5,-7.5,3.5,3.5,1.0
24,25,Gediminas Petraitis,,6,2,4,0.333,97.8,,103.8,23.8,21.7,10.5,3.5,,110.3,24.0,21.3,9.8,1.8,,-6.5,-0.2,0.4,0.7,1.7
25,26,Dedric Taylor,,4,3,1,0.75,95.4,,105.5,22.7,24.9,11.7,2.9,,103.1,29.0,20.0,10.7,2.4,,2.4,-6.3,4.9,1.0,0.5
26,27,Brent Barnaky,,8,1,7,0.125,97.7,,101.1,22.4,22.8,10.6,2.3,,108.3,25.5,19.5,8.8,1.8,,-7.2,-3.1,3.3,1.8,0.5
27,28,Scott Foster,,3,0,3,0.0,100.1,,100.3,18.3,22.0,10.7,2.0,,117.0,26.0,18.3,8.3,3.3,,-16.7,-7.7,3.7,2.4,-1.3
28,29,Dannica Mosher,,2,1,1,0.5,91.5,,90.5,18.0,19.0,7.5,2.0,,92.5,17.5,17.5,8.5,1.5,,-2.0,0.5,1.5,-1.0,0.5
