,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,1,1,0.5,158,157,79.0,78.5
1,2,Atlanta Hawks,297,150,147,0.505,31384,31242,105.7,105.2
2,3,Baltimore Bullets,56,30,26,0.536,4604,4511,82.2,80.6
3,4,Boston Celtics,346,138,208,0.399,35665,36681,103.1,106.0
4,5,Brooklyn Nets,95,56,39,0.589,10306,10140,108.5,106.7
5,6,Charlotte Hornets,64,32,32,0.5,6831,6670,106.7,104.2
6,7,Chicago Bulls,162,78,84,0.481,17038,17060,105.2,105.3
7,8,Chicago Stags,23,8,15,0.348,1741,1799,75.7,78.2
8,9,Cleveland Cavaliers,118,66,52,0.559,12436,12208,105.4,103.5
9,10,Cleveland Rebels,6,3,3,0.5,408,389,68.0,64.8
10,11,Dallas Mavericks,169,80,89,0.473,18147,18430,107.4,109.1
11,12,Denver Nuggets,185,85,100,0.459,20479,20568,110.7,111.2
12,13,Denver Nuggets,2,2,0,1.0,138,119,69.0,59.5
13,14,Detroit Falcons,6,4,2,0.667,373,366,62.2,61.0
14,15,Detroit Pistons,305,159,146,0.521,31846,31627,104.4,103.7
15,16,Houston Rockets,226,100,126,0.442,24313,24695,107.6,109.3
16,17,Indiana Pacers,96,46,50,0.479,10332,10321,107.6,107.5
17,18,Indianapolis Jets,5,4,1,0.8,448,421,89.6,84.2
18,19,Indianapolis Olympians,20,10,10,0.5,1696,1656,84.8,82.8
19,20,Los Angeles Clippers,228,135,93,0.592,24920,24169,109.3,106.0
20,21,Los Angeles Lakers,430,172,258,0.4,45758,46932,106.4,109.1
21,22,Memphis Grizzlies,99,51,48,0.515,10177,10018,102.8,101.2
22,23,Miami Heat,67,35,32,0.522,7122,7007,106.3,104.6
23,24,Milwaukee Bucks,142,57,85,0.401,15024,15448,105.8,108.8
24,25,Minnesota Timberwolves,123,72,51,0.585,13103,12809,106.5,104.1
25,26,New Orleans Pelicans,67,43,24,0.642,7283,6977,108.7,104.1
26,27,New York Knicks,346,183,163,0.529,35681,35299,103.1,102.0
27,28,Oklahoma City Thunder,259,118,141,0.456,27939,28156,107.9,108.7
28,29,Orlando Magic,66,32,34,0.485,7073,7094,107.2,107.5
29,30,Philadelphia 76ers,323,154,169,0.477,34352,34861,106.4,107.9
30,31,Phoenix Suns,255,111,144,0.435,27697,28174,108.6,110.5
31,32,Pittsburgh Ironmen,6,5,1,0.833,406,381,67.7,63.5
32,33,Portland Trail Blazers,238,109,129,0.458,25182,25609,105.8,107.6
33,34,Providence Steam Rollers,20,18,2,0.9,1673,1463,83.7,73.2
34,35,Sacramento Kings,404,212,192,0.525,43411,43148,107.5,106.8
35,36,San Antonio Spurs,179,65,114,0.363,18836,19579,105.2,109.4
36,37,Sheboygan Red Skins,2,2,0,1.0,155,133,77.5,66.5
37,38,St. Louis Bombers,23,11,12,0.478,1663,1636,72.3,71.1
38,39,Toronto Huskies,6,5,1,0.833,487,406,81.2,67.7
39,40,Toronto Raptors,50,30,20,0.6,5320,5283,106.4,105.7
40,41,Utah Jazz,195,81,114,0.415,20280,20872,104.0,107.0
41,42,Washington Capitols,27,10,17,0.37,2018,2064,74.7,76.4
42,43,Washington Wizards,200,114,86,0.57,22249,22002,111.2,110.0
43,44,Waterloo Hawks,2,2,0,1.0,154,142,77.0,71.0
