,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-19,,,Box Score,@,Los Angeles Lakers,W,,121,114,1,0,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
1,2,2021-10-21,,,Box Score,,Los Angeles Clippers,W,,115,113,2,0,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
2,3,2021-10-24,,,Box Score,@,Sacramento Kings,W,,119,107,3,0,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
3,4,2021-10-26,,,Box Score,@,Oklahoma City Thunder,W,,106,98,4,0,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
4,5,2021-10-28,,,Box Score,,Memphis Grizzlies,L,OT,101,104,4,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
5,6,2021-10-30,,,Box Score,,Oklahoma City Thunder,W,,103,82,5,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
6,7,2021-11-03,,,Box Score,,Charlotte Hornets,W,,114,92,6,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
7,8,2021-11-05,,,Box Score,,New Orleans Pelicans,W,,126,85,7,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
8,9,2021-11-07,,,Box Score,,Houston Rockets,W,,120,107,8,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
9,10,2021-11-08,,,Box Score,,Atlanta Hawks,W,,127,113,9,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
10,11,2021-11-10,,,Box Score,,Minnesota Timberwolves,W,,123,110,10,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
11,12,2021-11-12,,,Box Score,,Chicago Bulls,W,,119,93,11,1,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
12,13,2021-11-14,,,Box Score,@,Charlotte Hornets,L,,102,106,11,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
13,14,2021-11-16,,,Box Score,@,Brooklyn Nets,W,,117,99,12,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
14,15,2021-11-18,,,Box Score,@,Cleveland Cavaliers,W,,104,89,13,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
15,16,2021-11-19,,,Box Score,@,Detroit Pistons,W,,105,102,14,2,K. Looney · G. Payton · J. Poole · J. Toscano-Anderson · A. Wiggins
16,17,2021-11-21,,,Box Score,,Toronto Raptors,W,,119,104,15,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
17,18,2021-11-24,,,Box Score,,Philadelphia 76ers,W,,116,96,16,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
18,19,2021-11-26,,,Box Score,,Portland Trail Blazers,W,,118,103,17,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
19,20,2021-11-28,,,Box Score,@,Los Angeles Clippers,W,,105,90,18,2,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
20,21,2021-11-30,,,Box Score,@,Phoenix Suns,L,,96,104,18,3,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
21,22,2021-12-03,,,Box Score,,Phoenix Suns,W,,118,96,19,3,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
22,23,2021-12-04,,,Box Score,,San Antonio Spurs,L,,107,112,19,4,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
23,24,2021-12-06,,,Box Score,,Orlando Magic,W,,126,95,20,4,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
24,25,2021-12-08,,,Box Score,,Portland Trail Blazers,W,,104,94,21,4,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
25,26,2021-12-11,,,Box Score,@,Philadelphia 76ers,L,,93,102,21,5,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
26,27,2021-12-13,,,Box Score,@,Indiana Pacers,W,,102,100,22,5,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
27,28,2021-12-14,,,Box Score,@,New York Knicks,W,,105,96,23,5,S. Curry · D. Green · K. Looney · J. Poole · A. Wiggins
28,29,2021-12-17,,,Box Score,@,Boston Celtics,W,,111,107,24,5,S. Curry · D. Green · K. Looney · M. Moody · A. Wiggins
29,30,2021-12-18,,,Box Score,@,Toronto Raptors,L,,100,119,24,6,C. Chiozza · J. Kuminga · D. Lee · K. Looney · J. Toscano-Anderson
30,31,2021-12-20,,,Box Score,,Sacramento Kings,W,,113,98,25,6,S. Curry · D. Green · J. Kuminga · D. Lee · K. Looney
31,32,2021-12-23,,,Box Score,,Memphis Grizzlies,W,,113,104,26,6,S. Curry · D. Green · K. Looney · G. Payton · O. Porter
32,33,2021-12-25,,,Box Score,@,Phoenix Suns,W,,116,107,27,6,S. Curry · D. Green · K. Looney · G. Payton · O. Porter
33,34,2021-12-28,,,Box Score,,Denver Nuggets,L,,86,89,27,7,S. Curry · K. Looney · G. Payton · J. Toscano-Anderson · A. Wiggins
34,35,2022-01-01,,,Box Score,@,Utah Jazz,W,,123,116,28,7,S. Curry · K. Looney · G. Payton · O. Porter · A. Wiggins
35,36,2022-01-03,,,Box Score,,Miami Heat,W,,115,108,29,7,S. Curry · D. Green · K. Looney · G. Payton · A. Wiggins
36,37,2022-01-05,,,Box Score,@,Dallas Mavericks,L,,82,99,29,8,S. Curry · D. Green · K. Looney · G. Payton · A. Wiggins
37,38,2022-01-06,,,Box Score,@,New Orleans Pelicans,L,,96,101,29,9,K. Looney · G. Payton · J. Poole · O. Porter · A. Wiggins
38,39,2022-01-09,,,Box Score,,Cleveland Cavaliers,W,,96,82,30,9,S. Curry · D. Green · K. Looney · K. Thompson · A. Wiggins
39,40,2022-01-11,,,Box Score,@,Memphis Grizzlies,L,,108,116,30,10,S. Curry · K. Looney · K. Thompson · J. Toscano-Anderson · A. Wiggins
40,41,2022-01-13,,,Box Score,@,Milwaukee Bucks,L,,99,118,30,11,S. Curry · K. Looney · G. Payton · K. Thompson · A. Wiggins
41,42,2022-01-14,,,Box Score,@,Chicago Bulls,W,,138,96,31,11,S. Curry · K. Looney · J. Poole · O. Porter · A. Wiggins
42,43,2022-01-16,,,Box Score,@,Minnesota Timberwolves,L,,99,119,31,12,K. Looney · J. Poole · O. Porter · K. Thompson · A. Wiggins
43,44,2022-01-18,,,Box Score,,Detroit Pistons,W,,102,86,32,12,S. Curry · J. Kuminga · K. Looney · K. Thompson · A. Wiggins
44,45,2022-01-20,,,Box Score,,Indiana Pacers,L,OT,117,121,32,13,S. Curry · J. Kuminga · K. Looney · K. Thompson · A. Wiggins
45,46,2022-01-21,,,Box Score,,Houston Rockets,W,,105,103,33,13,S. Curry · K. Looney · J. Poole · O. Porter · A. Wiggins
46,47,2022-01-23,,,Box Score,,Utah Jazz,W,,94,92,34,13,S. Curry · K. Looney · J. Poole · O. Porter · A. Wiggins
47,48,2022-01-25,,,Box Score,,Dallas Mavericks,W,,130,92,35,13,S. Curry · K. Looney · O. Porter · K. Thompson · A. Wiggins
48,49,2022-01-27,,,Box Score,,Minnesota Timberwolves,W,,124,115,36,13,S. Curry · K. Looney · O. Porter · K. Thompson · A. Wiggins
49,50,2022-01-29,,,Box Score,,Brooklyn Nets,W,,110,106,37,13,S. Curry · K. Looney · O. Porter · K. Thompson · A. Wiggins
50,51,2022-01-31,,,Box Score,@,Houston Rockets,W,,122,108,38,13,S. Curry · K. Looney · M. Moody · K. Thompson · A. Wiggins
51,52,2022-02-01,,,Box Score,@,San Antonio Spurs,W,,124,120,39,13,D. Lee · K. Looney · M. Moody · J. Poole · J. Toscano-Anderson
52,53,2022-02-03,,,Box Score,,Sacramento Kings,W,,126,114,40,13,S. Curry · K. Looney · M. Moody · K. Thompson · A. Wiggins
53,54,2022-02-07,,,Box Score,@,Oklahoma City Thunder,W,,110,98,41,13,S. Curry · K. Looney · O. Porter · K. Thompson · A. Wiggins
54,55,2022-02-09,,,Box Score,@,Utah Jazz,L,,85,111,41,14,S. Curry · K. Looney · J. Poole · O. Porter · A. Wiggins
55,56,2022-02-10,,,Box Score,,New York Knicks,L,,114,116,41,15,S. Curry · J. Kuminga · K. Looney · K. Thompson · A. Wiggins
56,57,2022-02-12,,,Box Score,,Los Angeles Lakers,W,,117,115,42,15,S. Curry · J. Kuminga · K. Looney · K. Thompson · A. Wiggins
57,58,2022-02-14,,,Box Score,@,Los Angeles Clippers,L,,104,119,42,16,S. Curry · J. Kuminga · K. Looney · K. Thompson · A. Wiggins
58,59,2022-02-16,,,Box Score,,Denver Nuggets,L,,116,117,42,17,S. Curry · K. Looney · G. Payton · K. Thompson · A. Wiggins
59,60,2022-02-24,,,Box Score,@,Portland Trail Blazers,W,,132,95,43,17,S. Curry · K. Looney · G. Payton · K. Thompson · A. Wiggins
60,61,2022-02-27,,,Box Score,,Dallas Mavericks,L,,101,107,43,18,S. Curry · K. Looney · M. Moody · G. Payton · A. Wiggins
61,62,2022-03-01,,,Box Score,@,Minnesota Timberwolves,L,,114,129,43,19,S. Curry · K. Looney · M. Moody · G. Payton · A. Wiggins
62,63,2022-03-03,,,Box Score,@,Dallas Mavericks,L,,113,122,43,20,S. Curry · K. Looney · G. Payton · K. Thompson · A. Wiggins
63,64,2022-03-05,,,Box Score,@,Los Angeles Lakers,L,,116,124,43,21,S. Curry · K. Looney · O. Porter · K. Thompson · A. Wiggins
64,65,2022-03-07,,,Box Score,@,Denver Nuggets,L,,124,131,43,22,D. Lee · K. Looney · M. Moody · J. Poole · J. Toscano-Anderson
65,66,2022-03-08,,,Box Score,,Los Angeles Clippers,W,,112,97,44,22,S. Curry · K. Looney · M. Moody · K. Thompson · A. Wiggins
66,67,2022-03-10,,,Box Score,@,Denver Nuggets,W,,113,102,45,22,S. Curry · K. Looney · M. Moody · K. Thompson · A. Wiggins
67,68,2022-03-12,,,Box Score,,Milwaukee Bucks,W,,122,109,46,22,S. Curry · K. Looney · J. Poole · K. Thompson · A. Wiggins
68,69,2022-03-14,,,Box Score,,Washington Wizards,W,,126,112,47,22,S. Curry · J. Kuminga · K. Looney · J. Poole · K. Thompson
69,70,2022-03-16,,,Box Score,,Boston Celtics,L,,88,110,47,23,S. Curry · K. Looney · J. Poole · O. Porter · K. Thompson
70,71,2022-03-20,,,Box Score,,San Antonio Spurs,L,,108,110,47,24,D. Green · K. Looney · J. Poole · K. Thompson · A. Wiggins
71,72,2022-03-22,,,Box Score,@,Orlando Magic,L,,90,94,47,25,D. Green · K. Looney · J. Poole · K. Thompson · A. Wiggins
72,73,2022-03-23,,,Box Score,@,Miami Heat,W,,118,104,48,25,J. Kuminga · K. Looney · M. Moody · J. Poole · A. Wiggins
73,74,2022-03-25,,,Box Score,@,Atlanta Hawks,L,,110,121,48,26,D. Green · J. Kuminga · J. Poole · K. Thompson · A. Wiggins
74,75,2022-03-27,,,Box Score,@,Washington Wizards,L,,115,123,48,27,D. Green · J. Kuminga · J. Poole · K. Thompson · A. Wiggins
75,76,2022-03-28,,,Box Score,@,Memphis Grizzlies,L,,95,123,48,28,J. Kuminga · K. Looney · G. Payton · J. Poole · A. Wiggins
76,77,2022-03-30,,,Box Score,,Phoenix Suns,L,,103,107,48,29,D. Green · K. Looney · J. Poole · K. Thompson · A. Wiggins
77,78,2022-04-02,,,Box Score,,Utah Jazz,W,,111,107,49,29,D. Green · K. Looney · J. Poole · K. Thompson · A. Wiggins
78,79,2022-04-03,,,Box Score,@,Sacramento Kings,W,,109,90,50,29,D. Green · K. Looney · G. Payton · J. Poole · A. Wiggins
79,80,2022-04-07,,,Box Score,,Los Angeles Lakers,W,,128,112,51,29,D. Green · K. Looney · J. Poole · K. Thompson · A. Wiggins
80,81,2022-04-09,,,Box Score,@,San Antonio Spurs,W,,100,94,52,29,D. Green · D. Lee · K. Looney · J. Poole · A. Wiggins
81,82,2022-04-10,,,Box Score,@,New Orleans Pelicans,W,,128,107,53,29,D. Green · K. Looney · M. Moody · J. Poole · K. Thompson
