,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Ray Acosta,,4,3,1,0.75,99.7,,114.5,24.3,20.5,7.8,1.8,,110.3,19.5,20.3,9.3,1.8,,4.2,4.8,0.2,-1.5,0.0
1,2,Mark Lindsay,,4,2,2,0.5,103.5,,115.8,23.0,18.0,7.5,1.5,,116.0,17.3,20.3,7.8,1.3,,-0.2,5.7,-2.3,-0.3,0.2
2,3,Sean Wright,,4,3,1,0.75,99.2,,110.0,25.3,20.0,9.0,1.8,,106.3,20.0,21.0,9.5,2.0,,3.7,5.3,-1.0,-0.5,-0.2
3,4,Justin Van Duyne,,6,4,2,0.667,100.8,,112.7,24.2,22.5,10.0,2.7,,109.7,23.5,20.8,9.7,1.3,,3.0,0.7,1.7,0.3,1.4
4,5,Tom Washington,,4,4,0,1.0,98.4,,123.3,18.8,18.3,8.8,2.3,,113.0,18.3,19.3,7.3,1.3,,10.3,0.5,-1.0,1.5,1.0
5,6,Zach Zarba,,7,5,2,0.714,100.2,,113.9,20.6,20.1,10.1,2.0,,110.6,21.3,18.0,8.6,1.6,,3.3,-0.7,2.1,1.5,0.4
6,7,Brent Barnaky,,4,4,0,1.0,96.3,,109.5,21.3,20.3,10.3,1.8,,98.0,22.5,18.3,9.5,1.5,,11.5,-1.2,2.0,0.8,0.3
7,8,Derrick Collins,,6,5,1,0.833,96.5,,113.7,18.8,21.0,10.3,2.5,,108.0,22.0,16.5,7.8,1.0,,5.7,-3.2,4.5,2.5,1.5
8,9,Jenna Schroeder,,1,1,0,1.0,97.4,,119.0,24.0,13.0,7.0,0.0,,107.0,13.0,16.0,9.0,2.0,,12.0,11.0,-3.0,-2.0,-2.0
9,10,J.B. DeRosa,,6,3,3,0.5,100.2,,101.7,23.7,21.2,10.2,2.3,,104.5,24.5,19.3,10.5,1.7,,-2.8,-0.8,1.9,-0.3,0.6
10,11,Marat Kogut,,7,4,3,0.571,96.9,,106.6,21.0,21.0,10.6,1.9,,105.9,25.3,18.1,9.0,1.6,,0.7,-4.3,2.9,1.6,0.3
11,12,Ben Taylor,,4,3,1,0.75,97.9,,109.0,17.8,20.5,8.0,3.3,,99.8,18.8,16.8,8.0,2.0,,9.2,-1.0,3.7,0.0,1.3
12,13,Eric Dalen,,2,0,2,0.0,94.6,,101.7,11.9,17.1,8.1,1.9,,107.4,16.2,14.3,5.7,0.5,,-5.7,-4.3,2.8,2.4,1.4
13,14,Bill Kennedy,,5,3,2,0.6,99.0,,109.1,15.7,20.8,9.4,1.6,,98.5,21.7,14.9,7.2,1.8,,10.6,-6.0,5.9,2.2,-0.2
14,15,Jonathan Sterling,,4,2,2,0.5,97.2,,107.0,16.6,18.8,8.0,1.9,,103.1,18.8,16.6,7.8,0.7,,3.9,-2.2,2.2,0.2,1.2
15,16,Nate Green,,3,2,1,0.667,96.7,,107.3,15.3,22.7,12.0,1.3,,100.0,28.0,16.0,7.0,1.3,,7.3,-12.7,6.7,5.0,0.0
16,17,Tre Maddox,,4,4,0,1.0,98.7,,119.0,17.5,20.8,9.3,1.3,,94.0,22.5,17.8,7.0,1.5,,25.0,-5.0,3.0,2.3,-0.2
17,18,Derek Richardson,,3,1,2,0.333,97.4,,100.0,16.0,17.7,6.7,3.0,,96.7,16.7,13.3,7.3,1.0,,3.3,-0.7,4.4,-0.6,2.0
18,19,Kevin Scott,,5,4,1,0.8,98.0,,108.8,25.6,22.4,10.0,2.6,,98.8,25.2,19.4,11.0,1.2,,10.0,0.4,3.0,-1.0,1.4
19,20,Jacyn Goble,,5,2,3,0.4,98.9,,113.0,20.2,23.4,10.6,2.6,,105.0,27.2,19.0,8.8,1.6,,8.0,-7.0,4.4,1.8,1.0
20,21,David Guthrie,,8,5,3,0.625,95.6,,115.5,20.6,20.4,9.0,1.0,,103.0,20.5,18.4,8.5,0.7,,12.5,0.1,2.0,0.5,0.3
21,22,Leon Wood,,5,3,2,0.6,98.6,,114.8,19.4,20.6,8.6,2.4,,102.8,22.4,17.2,6.8,0.4,,12.0,-3.0,3.4,1.8,2.0
