,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,160,81,79,0.506,17151,17079,107.2,106.7
1,2,Boston Celtics,149,55,94,0.369,15628,16026,104.9,107.6
2,3,Brooklyn Nets,100,65,35,0.65,10578,10143,105.8,101.4
3,4,Charlotte Hornets,65,47,18,0.723,6678,6363,102.7,97.9
4,5,Chicago Bulls,143,72,71,0.503,15014,14925,105.0,104.4
5,6,Cleveland Cavaliers,136,88,48,0.647,13990,13651,102.9,100.4
6,7,Dallas Mavericks,189,100,89,0.529,19769,19545,104.6,103.4
7,8,Denver Nuggets,196,102,94,0.52,21422,21469,109.3,109.5
8,9,Detroit Pistons,145,70,75,0.483,15282,15430,105.4,106.4
9,10,Golden State Warriors,226,126,100,0.558,24695,24313,109.3,107.6
10,11,Indiana Pacers,99,57,42,0.576,10408,10174,105.1,102.8
11,12,Los Angeles Clippers,209,124,85,0.593,22344,21760,106.9,104.1
12,13,Los Angeles Lakers,230,86,144,0.374,24371,24943,106.0,108.4
13,14,Memphis Grizzlies,106,64,42,0.604,10520,10211,99.2,96.3
14,15,Miami Heat,70,33,37,0.471,7036,7045,100.5,100.6
15,16,Milwaukee Bucks,133,60,73,0.451,14121,14226,106.2,107.0
16,17,Minnesota Timberwolves,129,82,47,0.636,13549,12988,105.0,100.7
17,18,New Orleans Pelicans,74,41,33,0.554,7467,7397,100.9,100.0
18,19,New York Knicks,149,74,75,0.497,15620,15604,104.8,104.7
19,20,Oklahoma City Thunder,230,113,117,0.491,24244,24399,105.4,106.1
20,21,Orlando Magic,67,37,30,0.552,6819,6768,101.8,101.0
21,22,Philadelphia 76ers,149,74,75,0.497,15904,15917,106.7,106.8
22,23,Phoenix Suns,223,108,115,0.484,23983,24165,107.5,108.4
23,24,Portland Trail Blazers,207,114,93,0.551,21574,21474,104.2,103.7
24,25,Sacramento Kings,232,138,94,0.595,25034,24285,107.9,104.7
25,26,San Antonio Spurs,207,92,115,0.444,21088,21308,101.9,102.9
26,27,Toronto Raptors,52,29,23,0.558,5399,5313,103.8,102.2
27,28,Utah Jazz,211,99,112,0.469,21405,21510,101.4,101.9
28,29,Washington Wizards,156,75,81,0.481,16550,16495,106.1,105.7
