,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Rick Adelman,2008,2011,4,328,193,135,0.588,29.0,2.0,19.0,9.0,10.0,0.474,0.0,0.0
1,2,J.B. Bickerstaff,2016,2016,1,71,37,34,0.521,1.5,1.0,5.0,1.0,4.0,0.2,0.0,0.0
2,3,Don Chaney,1989,1992,4,298,164,134,0.55,15.0,3.0,11.0,2.0,9.0,0.182,0.0,0.0
3,4,Mike D'Antoni,2017,2020,4,318,217,101,0.682,58.0,4.0,51.0,28.0,23.0,0.549,0.0,0.0
4,5,Johnny Egan,1973,1976,4,281,129,152,0.459,-11.5,1.0,8.0,3.0,5.0,0.375,0.0,0.0
5,6,Bill Fitch,1984,1988,5,410,216,194,0.527,11.0,4.0,39.0,21.0,18.0,0.538,1.0,0.0
6,7,Alex Hannum,1970,1971,2,138,58,80,0.42,-11.0,,,,,,,
7,8,Del Harris,1980,1983,4,328,141,187,0.43,-23.0,3.0,31.0,15.0,16.0,0.484,1.0,0.0
8,9,Kevin McHale,2012,2016,5,323,193,130,0.598,31.5,3.0,29.0,13.0,16.0,0.448,0.0,0.0
9,10,Jack McMahon,1968,1970,3,190,61,129,0.321,-34.0,1.0,6.0,2.0,4.0,0.333,0.0,0.0
10,11,Tom Nissalke,1977,1979,3,246,124,122,0.504,1.0,2.0,14.0,6.0,8.0,0.429,0.0,0.0
11,12,Stephen Silas,2021,2022,2,154,37,117,0.24,-40.0,,,,,,,
12,13,Rudy Tomjanovich,1992,2003,12,900,503,397,0.559,53.0,7.0,90.0,51.0,39.0,0.567,2.0,2.0
13,14,Jeff Van Gundy,2004,2007,4,328,182,146,0.555,18.0,3.0,19.0,7.0,12.0,0.368,0.0,0.0
14,15,Tex Winter,1972,1973,2,129,51,78,0.395,-13.5,,,,,,,
