,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,124,0,1,L 1,
1,2,"Fri, Oct 22, 2021",8:00p,,Box Score,,Oklahoma City Thunder,W,,124,91,1,1,W 1,
2,3,"Sun, Oct 24, 2021",7:00p,,Box Score,,Boston Celtics,L,,97,107,1,2,L 1,
3,4,"Tue, Oct 26, 2021",8:30p,,Box Score,@,Dallas Mavericks,L,,106,116,1,3,L 2,
4,5,"Thu, Oct 28, 2021",8:00p,,Box Score,,Utah Jazz,L,,91,122,1,4,L 3,
5,6,"Sun, Oct 31, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,,85,95,1,5,L 4,
6,7,"Tue, Nov 2, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,,117,119,1,6,L 5,
7,8,"Thu, Nov 4, 2021",10:00p,,Box Score,@,Phoenix Suns,L,,111,123,1,7,L 6,
8,9,"Sat, Nov 6, 2021",5:00p,,Box Score,@,Denver Nuggets,L,,94,95,1,8,L 7,
9,10,"Sun, Nov 7, 2021",8:30p,,Box Score,@,Golden State Warriors,L,,107,120,1,9,L 8,
10,11,"Wed, Nov 10, 2021",7:30p,,Box Score,,Detroit Pistons,L,,104,112,1,10,L 9,
11,12,"Fri, Nov 12, 2021",8:00p,,Box Score,,Portland Trail Blazers,L,,92,104,1,11,L 10,
12,13,"Sun, Nov 14, 2021",7:00p,,Box Score,,Phoenix Suns,L,,89,115,1,12,L 11,
13,14,"Mon, Nov 15, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,102,136,1,13,L 12,
14,15,"Wed, Nov 17, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,L,,89,101,1,14,L 13,
15,16,"Sat, Nov 20, 2021",5:00p,,Box Score,@,New York Knicks,L,,99,106,1,15,L 14,
16,17,"Mon, Nov 22, 2021",7:30p,,Box Score,@,Boston Celtics,L,,90,108,1,16,L 15,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Chicago Bulls,W,,118,113,2,16,W 1,
