,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Curtis Blair,,6,0,6,0.0,101.4,,105.2,22.3,25.3,11.3,3.2,,119.2,27.7,21.3,10.3,2.2,,-14.0,-5.4,4.0,1.0,1.0
1,2,Simone Jelks,,1,0,1,0.0,104.8,,106.0,22.0,25.0,11.0,3.0,,124.0,31.0,22.0,10.0,2.0,,-18.0,-9.0,3.0,1.0,1.0
2,3,Tre Maddox,,4,1,3,0.25,100.9,,107.7,24.9,21.2,9.3,1.7,,116.7,21.7,22.4,10.5,2.7,,-9.0,3.2,-1.2,-1.2,-1.0
3,4,Sean Corbin,,2,1,1,0.5,98.6,,115.0,20.0,17.5,10.5,2.0,,104.5,17.5,21.0,7.5,1.5,,10.5,2.5,-3.5,3.0,0.5
4,5,Courtney Kirkland,,7,4,3,0.571,99.7,,114.2,24.4,19.8,9.7,1.8,,108.7,21.5,21.3,10.3,2.0,,5.5,2.9,-1.5,-0.6,-0.2
5,6,Danielle Scott,,5,2,3,0.4,102.5,,115.6,19.2,21.2,11.6,1.4,,110.4,26.8,21.0,9.0,3.0,,5.2,-7.6,0.2,2.6,-1.6
6,7,Bennie Adams,,4,0,4,0.0,98.8,,103.3,21.8,21.3,9.3,2.3,,119.5,21.5,19.5,8.3,1.8,,-16.2,0.3,1.8,1.0,0.5
7,8,J.B. DeRosa,,4,1,3,0.25,101.7,,108.8,20.8,18.8,8.8,2.0,,113.5,21.3,21.0,9.0,3.5,,-4.7,-0.5,-2.2,-0.2,-1.5
8,9,Ben Taylor,,5,1,4,0.2,98.7,,108.7,26.1,21.2,10.4,2.2,,119.1,23.3,22.9,12.0,2.9,,-10.4,2.8,-1.7,-1.6,-0.7
9,10,John Conley,,2,0,2,0.0,96.4,,106.0,26.0,19.0,11.0,1.5,,117.0,22.0,21.5,8.0,2.5,,-11.0,4.0,-2.5,3.0,-1.0
10,11,Justin Van Duyne,,2,1,1,0.5,98.4,,110.5,19.5,21.5,11.0,2.0,,106.5,24.5,18.5,8.0,3.5,,4.0,-5.0,3.0,3.0,-1.5
11,12,Sean Wright,,5,3,2,0.6,100.5,,113.8,25.0,20.6,9.8,2.4,,116.0,23.0,23.2,10.6,3.2,,-2.2,2.0,-2.6,-0.8,-0.8
12,13,Mitchell Ervin,,4,2,2,0.5,100.2,,103.3,21.8,22.3,12.3,1.3,,111.8,26.5,20.5,10.0,2.5,,-8.5,-4.7,1.8,2.3,-1.2
13,14,Marat Kogut,,3,1,2,0.333,100.0,,108.7,21.3,21.7,11.7,1.3,,120.0,28.3,21.0,11.0,3.3,,-11.3,-7.0,0.7,0.7,-2.0
14,15,Eric Dalen,,3,0,3,0.0,102.7,,96.7,24.0,16.0,8.0,2.0,,110.7,18.3,21.3,11.3,2.0,,-14.0,5.7,-5.3,-3.3,0.0
15,16,Nate Green,,2,0,2,0.0,99.0,,88.0,28.5,19.5,8.5,1.5,,102.5,17.5,22.0,12.0,2.0,,-14.5,11.0,-2.5,-3.5,-0.5
16,17,Jonathan Sterling,,4,0,4,0.0,101.2,,112.0,22.3,20.8,11.5,1.8,,122.8,23.8,23.3,8.0,2.8,,-10.8,-1.5,-2.5,3.5,-1.0
17,18,James Williams,,3,0,3,0.0,101.4,,118.3,21.3,20.7,9.7,2.3,,125.0,24.0,20.7,10.0,3.3,,-6.7,-2.7,0.0,-0.3,-1.0
18,19,James Capers Jr.,,1,0,1,0.0,104.1,,111.0,28.0,21.0,8.0,4.0,,123.0,23.0,24.0,15.0,1.0,,-12.0,5.0,-3.0,-7.0,3.0
19,20,Andy Nagy,,4,1,3,0.25,101.6,,112.0,26.8,18.5,8.3,2.5,,121.3,19.8,23.3,11.8,2.5,,-9.3,7.0,-4.8,-3.5,0.0
20,21,Michael Smith,,5,1,4,0.2,101.5,,109.7,22.9,20.0,9.8,2.0,,115.2,24.3,20.8,10.8,2.7,,-5.5,-1.4,-0.8,-1.0,-0.7
21,22,Lauren Holtkamp-Sterling,,4,0,4,0.0,95.1,,97.3,26.0,19.3,10.8,2.0,,112.5,22.0,21.8,10.5,1.5,,-15.2,4.0,-2.5,0.3,0.5
22,23,Evan Scott,,5,1,4,0.2,98.8,,109.0,26.6,19.6,9.4,1.4,,115.4,22.2,22.4,11.4,1.8,,-6.4,4.4,-2.8,-2.0,-0.4
23,24,Josh Tiven,,4,1,3,0.25,99.4,,109.8,25.0,19.5,9.5,1.8,,115.3,21.8,22.0,11.5,2.5,,-5.5,3.2,-2.5,-2.0,-0.7
24,25,Tony Brothers,,5,0,5,0.0,99.3,,103.4,27.4,19.8,10.8,1.0,,117.8,25.6,24.4,10.6,2.2,,-14.4,1.8,-4.6,0.2,-1.2
25,26,Tyler Ford,,7,2,5,0.286,101.0,,110.6,28.1,21.6,12.6,1.1,,121.7,28.1,22.3,11.4,2.0,,-11.1,0.0,-0.7,1.2,-0.9
26,27,Scott Twardoski,,5,0,5,0.0,98.3,,100.2,25.6,18.6,9.2,2.4,,116.8,19.8,23.4,10.0,3.0,,-16.6,5.8,-4.8,-0.8,-0.6
27,28,Rodney Mott,,3,1,2,0.333,99.9,,112.0,26.7,22.3,10.0,1.7,,117.0,25.7,24.3,11.0,2.0,,-5.0,1.0,-2.0,-1.0,-0.3
28,29,Gediminas Petraitis,,3,0,3,0.0,100.5,,109.3,29.7,17.3,7.0,2.7,,128.3,15.3,25.3,12.7,3.0,,-19.0,14.4,-8.0,-5.7,-0.3
29,30,Dedric Taylor,,4,2,2,0.5,100.5,,113.5,26.8,21.0,9.3,1.5,,113.5,23.5,22.8,10.5,2.8,,0.0,3.3,-1.8,-1.2,-1.3
30,31,Matt Boland,,4,1,3,0.25,101.2,,111.0,27.5,24.3,11.5,1.8,,119.0,27.5,24.0,11.0,2.8,,-8.0,0.0,0.3,0.5,-1.0
31,32,Jenna Schroeder,,5,1,4,0.2,97.7,,103.8,25.9,20.0,11.2,0.8,,118.7,25.3,22.3,10.4,2.5,,-14.9,0.6,-2.3,0.8,-1.7
32,33,Derrick Collins,,4,2,2,0.5,100.5,,109.3,24.5,20.5,9.8,1.3,,117.8,23.3,23.8,9.0,2.5,,-8.5,1.2,-3.3,0.8,-1.2
33,34,Brian Forte,,5,0,5,0.0,99.6,,104.2,23.4,22.2,11.6,2.4,,119.6,25.0,23.8,10.0,3.8,,-15.4,-1.6,-1.6,1.6,-1.4
34,35,John Butler,,3,1,2,0.333,105.9,,117.3,23.5,17.4,10.3,1.3,,131.1,21.6,20.6,11.9,2.6,,-13.8,1.9,-3.2,-1.6,-1.3
35,36,Natalie Sago,,5,0,5,0.0,100.8,,108.8,24.2,18.4,9.8,0.4,,126.6,22.6,21.0,12.0,3.2,,-17.8,1.6,-2.6,-2.2,-2.8
36,37,J.T. Orr,,4,0,4,0.0,98.6,,107.0,23.8,19.8,9.5,1.0,,116.8,25.3,20.3,10.0,1.8,,-9.8,-1.5,-0.5,-0.5,-0.8
37,38,C.J. Washington,,5,1,4,0.2,99.4,,105.2,21.8,19.6,10.0,1.4,,117.4,22.6,21.2,9.0,2.4,,-12.2,-0.8,-1.6,1.0,-1.0
38,39,Tom Washington,,3,1,2,0.333,100.6,,103.3,20.3,17.3,8.7,1.3,,108.7,19.7,22.0,8.7,3.3,,-5.4,0.6,-4.7,0.0,-2.0
39,40,Karl Lane,,4,1,3,0.25,97.3,,108.8,20.3,21.5,10.3,2.8,,110.8,21.8,18.3,8.3,1.8,,-2.0,-1.5,3.2,2.0,1.0
40,41,Matt Myers,,5,0,5,0.0,100.9,,107.0,25.6,21.6,11.6,1.2,,123.6,25.6,24.0,11.6,4.4,,-16.6,0.0,-2.4,0.0,-3.2
41,42,Brent Barnaky,,3,3,0,1.0,101.7,,120.3,23.0,19.3,8.7,2.7,,110.3,19.7,22.3,9.3,2.7,,10.0,3.3,-3.0,-0.6,0.0
42,43,Phenizee Ransom,,4,1,3,0.25,102.4,,107.3,21.5,19.0,8.8,2.8,,115.5,18.3,23.3,9.8,4.3,,-8.2,3.2,-4.3,-1.0,-1.5
43,44,Ray Acosta,,4,3,1,0.75,97.8,,122.8,29.0,21.7,10.5,1.7,,115.5,24.1,23.6,11.0,2.2,,7.3,4.9,-1.9,-0.5,-0.5
44,45,John Goble,,5,1,4,0.2,99.4,,100.8,20.0,20.0,10.0,2.2,,110.2,24.0,18.4,9.2,2.4,,-9.4,-4.0,1.6,0.8,-0.2
45,46,Zach Zarba,,2,1,1,0.5,97.7,,114.0,21.0,26.5,12.5,2.0,,116.5,30.5,21.0,8.5,3.0,,-2.5,-9.5,5.5,4.0,-1.0
46,47,Mark Lindsay,,5,1,4,0.2,102.8,,113.0,23.6,24.0,12.0,2.4,,122.6,27.8,21.4,10.4,2.6,,-9.6,-4.2,2.6,1.6,-0.2
47,48,Eric Lewis,,3,1,2,0.333,95.3,,114.0,27.3,21.0,10.3,0.0,,125.0,25.3,23.7,10.0,2.7,,-11.0,2.0,-2.7,0.3,-2.7
48,49,Brandon Schwab,,6,3,3,0.5,100.6,,118.3,26.5,22.9,11.5,1.8,,121.2,26.4,22.0,10.3,2.1,,-2.9,0.1,0.9,1.2,-0.3
49,50,Suyash Mehta,,4,2,2,0.5,98.9,,108.5,23.0,21.5,10.0,2.0,,111.0,25.0,21.0,10.3,2.8,,-2.5,-2.0,0.5,-0.3,-0.8
