,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,201,94,107,0.468,20645,20710,102.7,103.0
1,2,Boston Celtics,186,82,104,0.441,19084,19495,102.6,104.8
2,3,Brooklyn Nets,269,152,117,0.565,28758,28099,106.9,104.5
3,4,Charlotte Hornets,121,70,51,0.579,12464,12092,103.0,99.9
4,5,Chicago Bulls,199,97,102,0.487,20177,20074,101.4,100.9
5,6,Cleveland Cavaliers,203,105,98,0.517,20545,20538,101.2,101.2
6,7,Dallas Mavericks,81,35,46,0.432,8313,8374,102.6,103.4
7,8,Denver Nuggets,187,90,97,0.481,20792,20559,111.2,109.9
8,9,Detroit Pistons,205,105,100,0.512,20864,20905,101.8,102.0
9,10,Golden State Warriors,96,50,46,0.521,10321,10332,107.5,107.6
10,11,Houston Rockets,99,42,57,0.424,10174,10408,102.8,105.1
11,12,Kentucky Colonels,84,47,37,0.56,9217,9092,109.7,108.2
12,13,Los Angeles Clippers,94,57,37,0.606,9804,9531,104.3,101.4
13,14,Los Angeles Lakers,96,33,63,0.344,9881,10192,102.9,106.2
14,15,Memphis Grizzlies,52,32,20,0.615,5179,5085,99.6,97.8
15,16,Memphis Sounds,62,45,17,0.726,6951,6629,112.1,106.9
16,17,Miami Heat,123,70,53,0.569,12149,11878,98.8,96.6
17,18,Milwaukee Bucks,202,91,111,0.45,20710,20986,102.5,103.9
18,19,Minnesota Timberwolves,64,41,23,0.641,6733,6438,105.2,100.6
19,20,New Orleans Pelicans,44,26,18,0.591,4317,4220,98.1,95.9
20,21,New York Knicks,188,92,96,0.489,19174,19037,102.0,101.3
21,22,Oklahoma City Thunder,95,43,52,0.453,9835,9850,103.5,103.7
22,23,Orlando Magic,119,68,51,0.571,12095,11757,101.6,98.8
23,24,Philadelphia 76ers,189,84,105,0.444,19595,19574,103.7,103.6
24,25,Phoenix Suns,95,43,52,0.453,9939,10080,104.6,106.1
25,26,Pittsburgh Condors,44,30,14,0.682,5346,5082,121.5,115.5
26,27,Portland Trail Blazers,96,37,59,0.385,9847,10083,102.6,105.0
27,28,Sacramento Kings,94,51,43,0.543,9822,9743,104.5,103.6
28,29,San Antonio Spurs,190,86,104,0.453,20394,20627,107.3,108.6
29,30,San Diego Sails,34,25,9,0.735,3970,3808,116.8,112.0
30,31,Spirits of St. Louis,69,41,28,0.594,7750,7563,112.3,109.6
31,32,The Floridians,44,26,18,0.591,4942,4860,112.3,110.5
32,33,Toronto Raptors,99,52,47,0.525,9840,9821,99.4,99.2
33,34,Utah Jazz,94,48,46,0.511,9651,9588,102.7,102.0
34,35,Utah Stars,77,42,35,0.545,8809,8653,114.4,112.4
35,36,Virginia Squires,66,40,26,0.606,7736,7586,117.2,114.9
36,37,Washington Wizards,187,103,84,0.551,19460,19154,104.1,102.4
