,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Larry Bird,1998,2000,3,214,147,67,0.687,40.0,3.0,52.0,32.0,20.0,0.615,1.0,0.0
1,2,Nate Bjorkgren,2021,2021,1,72,34,38,0.472,-2.0,,,,,,,
2,3,Larry Brown,1994,1997,4,328,190,138,0.579,26.0,3.0,38.0,22.0,16.0,0.579,0.0,0.0
3,4,Rick Carlisle,2004,2022,5,410,206,204,0.502,1.0,3.0,35.0,18.0,17.0,0.514,0.0,0.0
4,5,Mel Daniels,1989,1989,1,2,0,2,0.0,-1.0,,,,,,,
5,6,Bob Hill,1991,1993,3,221,113,108,0.511,2.5,3.0,12.0,3.0,9.0,0.25,0.0,0.0
6,7,George Irvine,1985,1989,3,184,54,130,0.293,-38.0,,,,,,,
7,8,Slick Leonard,1969,1980,12,985,529,456,0.537,36.5,8.0,116.0,69.0,47.0,0.595,0.0,3.0
8,9,Jack McKinney,1981,1984,4,328,125,203,0.381,-39.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
9,10,Nate McMillan,2017,2020,4,319,183,136,0.574,23.5,4.0,19.0,3.0,16.0,0.158,0.0,0.0
10,11,Jim O'Brien,2008,2011,4,290,121,169,0.417,-24.0,,,,,,,
11,12,Jack Ramsay,1987,1989,3,171,79,92,0.462,-6.5,1.0,4.0,1.0,3.0,0.25,0.0,0.0
12,13,Larry Staverman,1968,1969,2,87,40,47,0.46,-3.5,1.0,3.0,0.0,3.0,0.0,0.0,0.0
13,14,Isiah Thomas,2001,2003,3,246,131,115,0.533,8.0,3.0,15.0,5.0,10.0,0.333,0.0,0.0
14,15,Dick Versace,1989,1991,3,160,73,87,0.456,-7.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
15,16,Frank Vogel,2011,2016,6,431,250,181,0.58,34.5,5.0,61.0,31.0,30.0,0.508,0.0,0.0
