,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,122,123,0,1,L 1,
1,2,"Fri, Oct 22, 2021",7:00p,,Box Score,@,Washington Wizards,L,OT,134,135,0,2,L 2,
2,3,"Sat, Oct 23, 2021",7:00p,,Box Score,,Miami Heat,W,OT,102,91,1,2,W 1,
3,4,"Mon, Oct 25, 2021",7:00p,,Box Score,,Milwaukee Bucks,L,,109,119,1,3,L 1,
4,5,"Wed, Oct 27, 2021",7:30p,,Box Score,@,Toronto Raptors,L,,100,118,1,4,L 2,
5,6,"Fri, Oct 29, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,98,105,1,5,L 3,
6,7,"Sat, Oct 30, 2021",7:30p,,Box Score,,Toronto Raptors,L,,94,97,1,6,L 4,
7,8,"Mon, Nov 1, 2021",7:00p,,Box Score,,San Antonio Spurs,W,,131,118,2,6,W 1,
8,9,"Wed, Nov 3, 2021",7:00p,,Box Score,,New York Knicks,W,,111,98,3,6,W 2,
9,10,"Fri, Nov 5, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,106,110,3,7,L 1,
10,11,"Sun, Nov 7, 2021",6:00p,,Box Score,@,Sacramento Kings,W,,94,91,4,7,W 1,
11,12,"Wed, Nov 10, 2021",9:00p,,Box Score,@,Denver Nuggets,L,,98,101,4,8,L 1,
12,13,"Thu, Nov 11, 2021",9:00p,,Box Score,@,Utah Jazz,W,,111,100,5,8,W 1,
13,14,"Sat, Nov 13, 2021",7:00p,,Box Score,,Philadelphia 76ers,W,,118,113,6,8,W 2,
14,15,"Mon, Nov 15, 2021",7:30p,,Box Score,@,New York Knicks,L,,84,92,6,9,L 1,
15,16,"Wed, Nov 17, 2021",7:00p,,Box Score,@,Detroit Pistons,L,,89,97,6,10,L 2,
16,17,"Fri, Nov 19, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,118,121,6,11,L 3,
17,18,"Sat, Nov 20, 2021",7:00p,,Box Score,,New Orleans Pelicans,W,,111,94,7,11,W 1,
18,19,"Mon, Nov 22, 2021",8:00p,,Box Score,@,Chicago Bulls,W,,109,77,8,11,W 2,
19,20,"Wed, Nov 24, 2021",7:00p,,Box Score,,Los Angeles Lakers,L,OT,116,124,8,12,L 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Fri, Nov 26, 2021",8:00p,,Box Score,,Toronto Raptors,W,,114,97,9,12,W 1,
22,22,"Sun, Nov 28, 2021",5:00p,,Box Score,,Milwaukee Bucks,L,,100,118,9,13,L 1,
23,23,"Mon, Nov 29, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,98,100,9,14,L 2,
24,24,"Wed, Dec 1, 2021",7:00p,,Box Score,,Atlanta Hawks,L,,111,114,9,15,L 3,
25,25,"Fri, Dec 3, 2021",7:00p,,Box Score,,Miami Heat,L,,104,113,9,16,L 4,
26,26,"Mon, Dec 6, 2021",7:00p,,Box Score,,Washington Wizards,W,,116,110,10,16,W 1,
27,27,"Wed, Dec 8, 2021",7:00p,,Box Score,,New York Knicks,W,,122,102,11,16,W 2,
28,28,"Fri, Dec 10, 2021",7:00p,,Box Score,,Dallas Mavericks,W,,106,93,12,16,W 3,
29,29,"Mon, Dec 13, 2021",7:00p,,Box Score,,Golden State Warriors,L,,100,102,12,17,L 1,
30,30,"Wed, Dec 15, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,99,114,12,18,L 2,
31,31,"Thu, Dec 16, 2021",7:00p,,Box Score,,Detroit Pistons,W,,122,113,13,18,W 1,
32,32,"Tue, Dec 21, 2021",7:30p,,Box Score,@,Miami Heat,L,,96,125,13,19,L 1,
33,33,"Thu, Dec 23, 2021",7:00p,,Box Score,,Houston Rockets,W,,118,106,14,19,W 1,
