,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Charlotte Hornets,L,,122,123,0,1,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
1,2,2021-10-22,,,Box Score,@,Washington Wizards,L,OT,134,135,0,2,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
2,3,2021-10-23,,,Box Score,,Miami Heat,W,OT,102,91,1,2,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
3,4,2021-10-25,,,Box Score,,Milwaukee Bucks,L,,109,119,1,3,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
4,5,2021-10-27,,,Box Score,@,Toronto Raptors,L,,100,118,1,4,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
5,6,2021-10-29,,,Box Score,@,Brooklyn Nets,L,,98,105,1,5,C. Duarte · J. Holiday · T. McConnell · D. Sabonis · M. Turner
6,7,2021-10-30,,,Box Score,,Toronto Raptors,L,,94,97,1,6,C. Duarte · C. LeVert · T. McConnell · D. Sabonis · M. Turner
7,8,2021-11-01,,,Box Score,,San Antonio Spurs,W,,131,118,2,6,C. Duarte · C. LeVert · T. McConnell · D. Sabonis · M. Turner
8,9,2021-11-03,,,Box Score,,New York Knicks,W,,111,98,3,6,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
9,10,2021-11-05,,,Box Score,@,Portland Trail Blazers,L,,106,110,3,7,C. Duarte · C. LeVert · T. McConnell · D. Sabonis · M. Turner
10,11,2021-11-07,,,Box Score,@,Sacramento Kings,W,,94,91,4,7,C. Duarte · C. LeVert · T. McConnell · D. Sabonis · M. Turner
11,12,2021-11-10,,,Box Score,@,Denver Nuggets,L,,98,101,4,8,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
12,13,2021-11-11,,,Box Score,@,Utah Jazz,W,,111,100,5,8,M. Brogdon · C. Duarte · J. Holiday · D. Sabonis · M. Turner
13,14,2021-11-13,,,Box Score,,Philadelphia 76ers,W,,118,113,6,8,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
14,15,2021-11-15,,,Box Score,@,New York Knicks,L,,84,92,6,9,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
15,16,2021-11-17,,,Box Score,@,Detroit Pistons,L,,89,97,6,10,M. Brogdon · C. LeVert · K. Martin · D. Sabonis · M. Turner
16,17,2021-11-19,,,Box Score,@,Charlotte Hornets,L,,118,121,6,11,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
17,18,2021-11-20,,,Box Score,,New Orleans Pelicans,W,,111,94,7,11,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
18,19,2021-11-22,,,Box Score,@,Chicago Bulls,W,,109,77,8,11,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
19,20,2021-11-24,,,Box Score,,Los Angeles Lakers,L,OT,116,124,8,12,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
20,21,2021-11-26,,,Box Score,,Toronto Raptors,W,,114,97,9,12,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
21,22,2021-11-28,,,Box Score,,Milwaukee Bucks,L,,100,118,9,13,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
22,23,2021-11-29,,,Box Score,@,Minnesota Timberwolves,L,,98,100,9,14,M. Brogdon · J. Holiday · C. LeVert · T. McConnell · D. Sabonis
23,24,2021-12-01,,,Box Score,,Atlanta Hawks,L,,111,114,9,15,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
24,25,2021-12-03,,,Box Score,,Miami Heat,L,,104,113,9,16,M. Brogdon · T. Craig · C. Duarte · C. LeVert · M. Turner
25,26,2021-12-06,,,Box Score,,Washington Wizards,W,,116,110,10,16,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
26,27,2021-12-08,,,Box Score,,New York Knicks,W,,122,102,11,16,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
27,28,2021-12-10,,,Box Score,,Dallas Mavericks,W,,106,93,12,16,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
28,29,2021-12-13,,,Box Score,,Golden State Warriors,L,,100,102,12,17,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
29,30,2021-12-15,,,Box Score,@,Milwaukee Bucks,L,,99,114,12,18,M. Brogdon · C. Duarte · C. LeVert · D. Sabonis · M. Turner
30,31,2021-12-16,,,Box Score,,Detroit Pistons,W,,122,113,13,18,J. Holiday · C. LeVert · D. Sabonis · M. Turner · B. Wanamaker
31,32,2021-12-21,,,Box Score,@,Miami Heat,L,,96,125,13,19,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
32,33,2021-12-23,,,Box Score,,Houston Rockets,W,,118,106,14,19,O. Brissett · C. Duarte · J. Holiday · C. LeVert · M. Turner
33,34,2021-12-26,,,Box Score,@,Chicago Bulls,L,,105,113,14,20,C. Duarte · J. Holiday · C. LeVert · D. Sabonis · M. Turner
