,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Nate Green,,2,0,2,0.0,106.3,,124.0,21.5,23.5,9.0,0.5,,128.5,26.0,18.5,8.5,2.5,,-4.5,-4.5,5.0,0.5,-2.0
1,2,Rodney Mott,,3,0,3,0.0,101.6,,111.8,19.0,21.3,10.6,1.3,,115.0,23.5,16.8,8.1,2.3,,-3.2,-4.5,4.5,2.5,-1.0
2,3,Scott Wall,,5,0,5,0.0,101.9,,113.2,21.2,20.8,8.8,1.4,,122.2,24.6,18.8,9.0,2.2,,-9.0,-3.4,2.0,-0.2,-0.8
3,4,Mousa Dagher,,4,0,4,0.0,100.4,,117.4,20.7,21.1,10.2,2.6,,126.4,22.1,18.8,9.5,1.0,,-9.0,-1.4,2.3,0.7,1.6
4,5,Eric Lewis,,4,1,3,0.25,95.9,,112.1,18.0,18.8,7.8,2.9,,111.8,18.3,19.0,6.8,1.5,,0.3,-0.3,-0.2,1.0,1.4
5,6,Gediminas Petraitis,,3,0,3,0.0,97.2,,120.2,14.2,19.7,9.3,1.9,,123.7,22.2,17.4,6.8,1.3,,-3.5,-8.0,2.3,2.5,0.6
6,7,John Conley,,3,2,1,0.667,94.4,,110.5,18.7,19.7,6.8,2.6,,106.0,21.3,19.7,9.0,2.6,,4.5,-2.6,0.0,-2.2,0.0
7,8,Michael Smith,,3,1,2,0.333,95.8,,93.7,22.9,18.7,8.1,2.9,,93.4,18.0,22.6,9.3,2.6,,0.3,4.9,-3.9,-1.2,0.3
8,9,James Williams,,5,1,4,0.2,96.3,,103.5,22.8,18.1,8.3,2.3,,106.0,20.3,19.8,9.8,2.3,,-2.5,2.5,-1.7,-1.5,0.0
9,10,Mark Lindsay,,5,2,3,0.4,96.8,,103.6,20.2,21.4,10.4,1.8,,105.8,25.5,20.8,9.4,1.6,,-2.2,-5.3,0.6,1.0,0.2
10,11,C.J. Washington,,1,0,1,0.0,102.3,,109.0,17.0,24.0,13.0,3.0,,119.0,31.0,19.0,8.0,2.0,,-10.0,-14.0,5.0,5.0,1.0
11,12,Leon Wood,,4,1,3,0.25,98.4,,110.3,20.0,19.8,9.3,1.8,,114.5,22.8,20.5,9.5,2.0,,-4.2,-2.8,-0.7,-0.2,-0.2
12,13,Matt Boland,,2,1,1,0.5,98.6,,109.5,16.0,19.5,8.0,1.5,,113.0,17.5,17.5,6.0,2.0,,-3.5,-1.5,2.0,2.0,-0.5
13,14,Marc Davis,,5,1,4,0.2,98.9,,114.2,21.6,20.0,9.4,0.8,,120.4,23.4,20.0,8.4,2.4,,-6.2,-1.8,0.0,1.0,-1.6
14,15,Karl Lane,,4,0,4,0.0,100.0,,112.3,19.2,21.9,10.7,0.5,,122.8,25.1,18.0,8.8,2.2,,-10.5,-5.9,3.9,1.9,-1.7
15,16,Phenizee Ransom,,1,0,1,0.0,101.8,,98.0,23.0,27.0,17.0,1.0,,105.0,41.0,21.0,10.0,1.0,,-7.0,-18.0,6.0,7.0,0.0
16,17,Dedric Taylor,,5,0,5,0.0,99.5,,116.2,19.8,22.6,12.0,2.4,,121.0,29.6,17.2,8.4,1.2,,-4.8,-9.8,5.4,3.6,1.2
17,18,Sean Wright,,4,1,3,0.25,99.5,,98.5,19.0,23.3,11.0,1.8,,112.3,26.3,17.3,8.3,1.3,,-13.8,-7.3,6.0,2.7,0.5
18,19,Nick Buchert,,7,2,5,0.286,95.4,,104.9,17.0,16.6,7.2,1.3,,108.7,17.6,17.7,7.2,2.0,,-3.8,-0.6,-1.1,0.0,-0.7
19,20,Jenna Schroeder,,3,1,2,0.333,100.0,,104.3,21.0,17.7,8.7,1.3,,102.3,21.0,17.0,9.3,2.0,,2.0,0.0,0.7,-0.6,-0.7
20,21,Tom Washington,,3,0,3,0.0,94.3,,93.0,18.0,17.0,7.7,0.7,,113.3,18.0,17.0,7.7,1.3,,-20.3,0.0,0.0,0.0,-0.6
21,22,Jacyn Goble,,3,1,2,0.333,96.4,,116.3,19.7,20.0,10.3,2.3,,117.3,20.3,15.7,10.3,1.3,,-1.0,-0.6,4.3,0.0,1.0
22,23,David Guthrie,,5,4,1,0.8,99.2,,120.1,22.9,22.1,10.0,2.4,,119.7,22.1,19.6,9.4,0.6,,0.4,0.8,2.5,0.6,1.8
23,24,Danielle Scott,,2,1,1,0.5,95.5,,115.5,16.0,21.5,9.5,3.0,,118.5,19.5,15.5,8.0,0.5,,-3.0,-3.5,6.0,1.5,2.5
24,25,Bennie Adams,,2,2,0,1.0,93.7,,112.5,12.5,20.5,11.5,2.0,,97.5,24.5,18.5,6.0,2.0,,15.0,-12.0,2.0,5.5,0.0
25,26,Aaron Smith,,1,1,0,1.0,94.3,,111.0,14.0,22.0,11.0,3.0,,98.0,27.0,19.0,6.0,2.0,,13.0,-13.0,3.0,5.0,1.0
26,27,Ben Taylor,,3,1,2,0.333,97.7,,109.0,17.7,22.0,10.0,2.3,,117.0,24.7,19.0,8.0,2.0,,-8.0,-7.0,3.0,2.0,0.3
27,28,Tony Brothers,,6,1,5,0.167,97.4,,114.5,19.3,20.0,8.0,1.7,,117.5,19.5,17.5,8.7,1.7,,-3.0,-0.2,2.5,-0.7,0.0
28,29,Sean Corbin,,3,1,2,0.333,91.7,,102.7,15.0,18.0,6.7,1.3,,102.7,17.0,15.7,8.3,1.7,,0.0,-2.0,2.3,-1.6,-0.4
29,30,Justin Van Duyne,,4,0,4,0.0,99.9,,109.5,23.5,19.8,9.3,1.5,,124.8,19.8,20.8,10.5,1.8,,-15.3,3.7,-1.0,-1.2,-0.3
30,31,Mitchell Ervin,,7,3,4,0.429,95.0,,105.8,20.4,20.1,9.2,1.2,,110.4,22.9,20.1,8.9,1.5,,-4.6,-2.5,0.0,0.3,-0.3
31,32,Marat Kogut,,6,2,4,0.333,99.5,,115.2,27.5,22.3,9.2,2.3,,120.8,23.0,22.3,11.3,1.8,,-5.6,4.5,0.0,-2.1,0.5
32,33,Bill Kennedy,,5,2,3,0.4,94.5,,109.9,18.4,21.7,11.2,2.9,,107.4,23.1,17.6,8.0,1.4,,2.5,-4.7,4.1,3.2,1.5
33,34,Jonathan Sterling,,4,1,3,0.25,96.6,,108.8,18.5,21.0,8.5,2.5,,111.0,23.0,19.5,7.8,2.5,,-2.2,-4.5,1.5,0.7,0.0
34,35,Ray Acosta,,4,3,1,0.75,98.8,,116.3,20.3,23.3,9.5,3.0,,114.3,24.3,16.8,8.8,1.0,,2.0,-4.0,6.5,0.7,2.0
35,36,Tyler Ford,,7,3,4,0.429,98.3,,118.4,23.1,21.3,11.0,1.6,,117.9,24.7,19.6,10.3,1.6,,0.5,-1.6,1.7,0.7,0.0
36,37,Ed Malloy,,4,1,3,0.25,94.6,,110.0,21.3,21.3,8.8,1.0,,115.5,23.0,19.8,8.8,2.3,,-5.5,-1.7,1.5,0.0,-1.3
37,38,John Butler,,2,1,1,0.5,95.9,,106.0,16.5,20.5,11.0,0.0,,112.5,26.0,20.0,5.0,2.5,,-6.5,-9.5,0.5,6.0,-2.5
38,39,Kevin Scott,,2,2,0,1.0,97.0,,120.0,21.5,21.0,14.5,0.5,,113.0,29.5,22.5,9.0,2.0,,7.0,-8.0,-1.5,5.5,-1.5
39,40,J.B. DeRosa,,7,3,4,0.429,95.3,,109.7,22.3,18.1,7.6,1.9,,110.7,16.4,17.6,9.7,1.1,,-1.0,5.9,0.5,-2.1,0.8
40,41,Lauren Holtkamp-Sterling,,5,2,3,0.4,93.8,,103.4,22.5,19.0,8.0,1.4,,109.7,20.8,19.2,9.8,1.8,,-6.3,1.7,-0.2,-1.8,-0.4
41,42,James Capers Jr.,,3,0,3,0.0,95.3,,97.0,19.0,18.7,8.3,1.0,,108.0,19.0,16.7,10.0,0.7,,-11.0,0.0,2.0,-1.7,0.3
42,43,Matt Myers,,1,0,1,0.0,95.2,,89.0,19.0,22.0,12.0,1.0,,97.0,28.0,20.0,8.0,2.0,,-8.0,-9.0,2.0,4.0,-1.0
43,44,Brian Forte,,3,0,3,0.0,98.6,,119.7,28.0,22.3,9.0,1.0,,126.3,24.7,20.7,12.0,2.0,,-6.6,3.3,1.6,-3.0,-1.0
44,45,Brandon Adair,,5,3,2,0.6,96.2,,110.6,22.6,18.2,9.2,0.8,,105.0,20.0,16.8,10.4,0.8,,5.6,2.6,1.4,-1.2,0.0
45,46,Josh Tiven,,2,1,1,0.5,93.2,,102.5,25.0,18.0,12.0,1.5,,99.0,23.5,18.5,12.5,2.5,,3.5,1.5,-0.5,-0.5,-1.0
46,47,Pat Fraher,,4,3,1,0.75,96.6,,109.3,16.5,19.8,9.0,1.5,,102.3,22.0,18.0,8.0,1.0,,7.0,-5.5,1.8,1.0,0.5
47,48,Matt Kallio,,2,1,1,0.5,92.3,,105.5,17.1,20.9,8.6,1.0,,103.1,19.5,18.5,7.6,2.4,,2.4,-2.4,2.4,1.0,-1.4
48,49,Robert Hussey,,3,1,2,0.333,96.7,,108.7,19.3,22.0,12.3,1.7,,113.0,26.7,16.0,10.3,0.7,,-4.3,-7.4,6.0,2.0,1.0
49,50,J.T. Orr,,4,2,2,0.5,97.7,,103.3,20.2,19.0,7.6,2.2,,104.8,20.0,20.7,7.6,1.7,,-1.5,0.2,-1.7,0.0,0.5
50,51,Brent Barnaky,,5,1,4,0.2,99.1,,110.6,21.6,20.6,8.8,2.0,,112.6,22.0,18.2,10.6,1.0,,-2.0,-0.4,2.4,-1.8,1.0
51,52,Dannica Mosher,,1,0,1,0.0,96.4,,111.0,16.0,18.0,5.0,3.0,,114.0,12.0,15.0,6.0,0.0,,-3.0,4.0,3.0,-1.0,3.0
52,53,Brett Nansel,,3,1,2,0.333,94.3,,113.3,28.3,21.0,9.0,2.7,,116.3,19.0,20.3,12.7,1.3,,-3.0,9.3,0.7,-3.7,1.4
53,54,Derek Richardson,,5,2,3,0.4,96.3,,114.0,21.2,20.0,8.8,1.4,,115.0,20.6,20.6,10.0,2.4,,-1.0,0.6,-0.6,-1.2,-1.0
54,55,Derrick Collins,,2,1,1,0.5,96.5,,105.0,21.9,16.6,7.6,1.9,,108.4,16.6,18.5,7.6,1.0,,-3.4,5.3,-1.9,0.0,0.9
55,56,Brandon Schwab,,3,2,1,0.667,95.0,,112.4,21.3,18.7,8.4,1.0,,106.0,20.0,18.7,9.3,0.6,,6.4,1.3,0.0,-0.9,0.4
56,57,Curtis Blair,,5,0,5,0.0,99.8,,111.4,25.0,20.0,9.8,1.8,,127.8,21.6,20.0,12.4,1.4,,-16.4,3.4,0.0,-2.6,0.4
57,58,Kane Fitzgerald,,3,2,1,0.667,95.4,,117.7,23.0,18.3,7.3,2.7,,110.0,16.3,17.7,10.3,1.0,,7.7,6.7,0.6,-3.0,1.7
58,59,Tre Maddox,,1,0,1,0.0,96.9,,105.0,21.0,16.0,10.0,0.0,,113.0,22.0,20.0,10.0,2.0,,-8.0,-1.0,-4.0,0.0,-2.0
59,60,Suyash Mehta,,3,0,3,0.0,98.7,,113.7,22.0,21.0,12.0,1.0,,122.0,28.0,17.3,9.7,1.3,,-8.3,-6.0,3.7,2.3,-0.3
60,61,Andy Nagy,,2,0,2,0.0,103.0,,112.0,26.0,20.5,11.0,1.0,,113.5,28.0,20.0,11.5,1.5,,-1.5,-2.0,0.5,-0.5,-0.5
61,62,Natalie Sago,,3,0,3,0.0,98.6,,112.3,26.7,20.3,10.3,2.3,,119.3,25.3,19.7,12.0,1.7,,-7.0,1.4,0.6,-1.7,0.6
62,63,Jason Goldenberg,,5,2,3,0.4,93.4,,101.9,26.1,20.8,8.8,2.0,,109.3,21.4,23.3,12.0,2.0,,-7.4,4.7,-2.5,-3.2,0.0
63,64,John Goble,,3,0,3,0.0,98.6,,120.3,19.0,23.3,11.3,1.7,,126.0,30.0,19.0,9.0,2.3,,-5.7,-11.0,4.3,2.3,-0.6
64,65,Scott Twardoski,,2,0,2,0.0,100.8,,126.0,21.0,23.0,12.5,2.0,,133.5,33.0,17.5,10.5,0.5,,-7.5,-12.0,5.5,2.0,1.5
65,66,Kevin Cutler,,2,2,0,1.0,96.2,,118.8,26.1,20.0,10.0,1.0,,102.2,22.3,22.3,10.9,1.0,,16.6,3.8,-2.3,-0.9,0.0
66,67,Zach Zarba,,4,1,3,0.25,95.5,,110.0,24.3,16.0,8.3,0.5,,124.8,19.5,19.5,12.0,0.8,,-14.8,4.8,-3.5,-3.7,-0.3
67,68,Scott Foster,,1,0,1,0.0,96.3,,128.0,26.0,21.0,9.0,3.0,,131.0,24.0,21.0,9.0,2.0,,-3.0,2.0,0.0,0.0,1.0
68,69,Eric Dalen,,2,0,2,0.0,100.3,,112.5,21.0,25.5,12.0,4.0,,131.5,24.0,17.5,9.5,1.0,,-19.0,-3.0,8.0,2.5,3.0
69,70,Ashley Moyer-Gleich,,1,0,1,0.0,100.3,,120.0,36.0,22.0,13.0,1.0,,133.0,27.0,24.0,18.0,2.0,,-13.0,9.0,-2.0,-5.0,-1.0
