,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,128,48,80,0.375,13114,13535,102.5,105.7
1,2,Boston Celtics,136,45,91,0.331,14213,14766,104.5,108.6
2,3,Brooklyn Nets,96,44,52,0.458,9878,9941,102.9,103.6
3,4,Charlotte Hornets,62,37,25,0.597,6383,6276,103.0,101.2
4,5,Chicago Bulls,123,55,68,0.447,12524,12823,101.8,104.3
5,6,Cleveland Cavaliers,134,58,76,0.433,13719,13866,102.4,103.5
6,7,Dallas Mavericks,166,69,97,0.416,16911,17391,101.9,104.8
7,8,Denver Nuggets,185,83,102,0.449,19711,20129,106.5,108.8
8,9,Detroit Pistons,122,50,72,0.41,12539,12851,102.8,105.3
9,10,Golden State Warriors,228,93,135,0.408,24169,24920,106.0,109.3
10,11,Houston Rockets,209,85,124,0.407,21760,22344,104.1,106.9
11,12,Indiana Pacers,94,37,57,0.394,9531,9804,101.4,104.3
12,13,Los Angeles Lakers,231,81,150,0.351,24161,25289,104.6,109.5
13,14,Memphis Grizzlies,101,52,49,0.515,10093,10058,99.9,99.6
14,15,Miami Heat,67,30,37,0.448,6698,6900,100.0,103.0
15,16,Milwaukee Bucks,123,54,69,0.439,12724,13189,103.4,107.2
16,17,Minnesota Timberwolves,125,67,58,0.536,12531,12392,100.2,99.1
17,18,New Orleans Pelicans,68,31,37,0.456,6946,6938,102.1,102.0
18,19,New York Knicks,135,62,73,0.459,13699,14043,101.5,104.0
19,20,Oklahoma City Thunder,224,84,140,0.375,22800,23844,101.8,106.4
20,21,Orlando Magic,65,35,30,0.538,6621,6548,101.9,100.7
21,22,Philadelphia 76ers,136,61,75,0.449,14146,14389,104.0,105.8
22,23,Phoenix Suns,231,96,135,0.416,24352,25096,105.4,108.6
23,24,Portland Trail Blazers,235,87,148,0.37,24178,25181,102.9,107.2
24,25,Sacramento Kings,221,102,119,0.462,23250,23480,105.2,106.2
25,26,San Antonio Spurs,180,48,132,0.267,18048,19290,100.3,107.2
26,27,Toronto Raptors,52,23,29,0.442,5173,5269,99.5,101.3
27,28,Utah Jazz,193,82,111,0.425,19744,20364,102.3,105.5
28,29,Washington Wizards,126,49,77,0.389,12987,13292,103.1,105.5
