,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Larry Brown,1992,1993,2,117,64,53,.547,5.5,2,10,4,6,.400,0,0
1,2,Mack Calvin,1992,1992,1,2,1,1,.500,0.0,,,,,,,
2,3,Don Casey,1989,1990,2,126,41,85,.325,-22.0,,,,,,,
3,4,Don Chaney,1985,1987,3,185,53,132,.286,-39.5,,,,,,,
4,5,Vinny Del Negro,2011,2013,3,230,128,102,.557,13.0,2,17,6,11,.353,0,0
5,6,Mike Dunleavy,2004,2010,7,541,215,326,.397,-55.5,1,12,7,5,.583,0,0
6,7,Bill Fitch,1995,1998,4,328,99,229,.302,-65.0,1,3,0,3,.000,0,0
7,8,Cotton Fitzsimmons,1978,1978,1,82,27,55,.329,-14.0,,,,,,,
8,9,Chris Ford,1999,2000,2,95,20,75,.211,-27.5,,,,,,,
9,10,Alvin Gentry,2001,2003,3,222,89,133,.401,-22.0,,,,,,,
10,11,Kim Hughes,2010,2010,1,33,8,25,.242,-8.5,,,,,,,
11,12,Dennis Johnson,2003,2003,1,24,8,16,.333,-4.0,,,,,,,
12,13,Tates Locke,1977,1977,1,46,16,30,.348,-7.0,,,,,,,
13,14,Tyronn Lue,2021,2022,2,154,89,65,.578,12.0,1,19,10,9,.526,0,0
14,15,Jim Lynam,1984,1985,2,143,52,91,.364,-19.5,,,,,,,
15,16,Bob MacKinnon,1977,1977,1,7,3,4,.429,-0.5,,,,,,,
16,17,Johnny McCarthy,1972,1972,1,81,22,59,.272,-18.5,,,,,,,
17,18,Joe Mullaney,1977,1977,1,29,11,18,.379,-3.5,,,,,,,
18,19,Jack Ramsay,1973,1976,4,328,158,170,.482,-6.0,3,22,9,13,.409,0,0
19,20,Doc Rivers,2014,2020,7,564,356,208,.631,74.0,6,59,27,32,.458,0,0
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Dolph Schayes,1971,1972,2,83,22,61,.265,-19.5,,,,,,,
23,22,Mike Schuler,1991,1992,2,127,52,75,.409,-11.5,,,,,,,
24,23,Gene Shue,1979,1989,4,284,105,179,.370,-37.0,,,,,,,
25,24,Paul Silas,1981,1983,3,246,78,168,.317,-45.0,,,,,,,
26,25,Jim Todd,2000,2000,1,37,4,33,.108,-14.5,,,,,,,
27,26,Bob Weiss,1994,1994,1,82,27,55,.329,-14.0,,,,,,,
