,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Thu, Oct 21, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,113,115,0,1,L 1,
1,2,"Sat, Oct 23, 2021",10:30p,,Box Score,,Memphis Grizzlies,L,,114,120,0,2,L 2,
2,3,"Mon, Oct 25, 2021",10:30p,,Box Score,,Portland Trail Blazers,W,,116,86,1,2,W 1,
3,4,"Wed, Oct 27, 2021",10:30p,,Box Score,,Cleveland Cavaliers,L,,79,92,1,3,L 1,
4,5,"Fri, Oct 29, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,92,111,1,4,L 2,
5,6,"Mon, Nov 1, 2021",10:30p,,Box Score,,Oklahoma City Thunder,W,,99,94,2,4,W 1,
6,7,"Wed, Nov 3, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,126,115,3,4,W 2,
7,8,"Fri, Nov 5, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,104,84,4,4,W 3,
8,9,"Sun, Nov 7, 2021",9:00p,,Box Score,,Charlotte Hornets,W,,120,106,5,4,W 4,
9,10,"Tue, Nov 9, 2021",10:00p,,Box Score,,Portland Trail Blazers,W,,117,109,6,4,W 5,
10,11,"Thu, Nov 11, 2021",10:30p,,Box Score,,Miami Heat,W,,112,109,7,4,W 6,
11,12,"Sat, Nov 13, 2021",10:30p,,Box Score,,Minnesota Timberwolves,W,,129,102,8,4,W 7,
12,13,"Sun, Nov 14, 2021",9:30p,,Box Score,,Chicago Bulls,L,,90,100,8,5,L 1,
13,14,"Tue, Nov 16, 2021",10:30p,,Box Score,,San Antonio Spurs,W,,106,92,9,5,W 1,
14,15,"Thu, Nov 18, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,108,120,9,6,L 1,
15,16,"Fri, Nov 19, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,,81,94,9,7,L 2,
16,17,"Sun, Nov 21, 2021",3:30p,,Box Score,,Dallas Mavericks,W,,97,91,10,7,W 1,
17,18,"Tue, Nov 23, 2021",10:30p,,Box Score,,Dallas Mavericks,L,OT,104,112,10,8,L 1,
18,19,"Fri, Nov 26, 2021",3:30p,,Box Score,,Detroit Pistons,W,,107,96,11,8,W 1,
19,20,"Sun, Nov 28, 2021",3:30p,,Box Score,,Golden State Warriors,L,,90,105,11,9,L 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 29, 2021",10:30p,,Box Score,,New Orleans Pelicans,L,,104,123,11,10,L 2,
22,22,"Wed, Dec 1, 2021",10:30p,,Box Score,,Sacramento Kings,L,,115,124,11,11,L 3,
23,23,"Fri, Dec 3, 2021",10:00p,,Box Score,@,Los Angeles Lakers,W,,119,115,12,11,W 1,
24,24,"Sat, Dec 4, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,99,104,12,12,L 1,
25,25,"Mon, Dec 6, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,102,90,13,12,W 1,
26,26,"Wed, Dec 8, 2021",10:30p,,Box Score,,Boston Celtics,W,,114,111,14,12,W 2,
27,27,"Sat, Dec 11, 2021",3:30p,,Box Score,,Orlando Magic,W,,106,104,15,12,W 3,
28,28,"Mon, Dec 13, 2021",10:30p,,Box Score,,Phoenix Suns,W,,111,95,16,12,W 4,
29,29,"Wed, Dec 15, 2021",10:00p,,Box Score,@,Utah Jazz,L,,103,124,16,13,L 1,
30,30,"Sat, Dec 18, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,L,,103,104,16,14,L 2,
31,31,"Mon, Dec 20, 2021",10:30p,,Box Score,,San Antonio Spurs,L,,92,116,16,15,L 3,
32,32,"Wed, Dec 22, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,105,89,17,15,W 1,
33,33,"Sun, Dec 26, 2021",9:00p,,Box Score,,Denver Nuggets,L,,100,103,17,16,L 1,
34,34,"Mon, Dec 27, 2021",10:30p,,Box Score,,Brooklyn Nets,L,,108,124,17,17,L 2,
35,35,"Wed, Dec 29, 2021",7:30p,,Box Score,@,Boston Celtics,W,,91,82,18,17,W 1,
36,36,"Fri, Dec 31, 2021",7:30p,,Box Score,@,Toronto Raptors,L,,108,116,18,18,L 1,
37,37,"Sat, Jan 1, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,120,116,19,18,W 1,
38,38,"Mon, Jan 3, 2022",10:30p,,Box Score,,Minnesota Timberwolves,L,,104,122,19,19,L 1,
39,39,"Thu, Jan 6, 2022",10:00p,,Box Score,@,Phoenix Suns,L,,89,106,19,20,L 2,
40,40,"Sat, Jan 8, 2022",3:30p,,Box Score,,Memphis Grizzlies,L,,108,123,19,21,L 3,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Sun, Jan 9, 2022",3:30p,,Box Score,,Atlanta Hawks,W,,106,93,20,21,W 1,
43,42,"Tue, Jan 11, 2022",10:30p,,Box Score,,Denver Nuggets,W,,87,85,21,21,W 2,
