,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-21,,,Box Score,@,Golden State Warriors,L,,113,115,0,1,E. Bledsoe · P. George · R. Jackson · M. Morris · I. Zubac
1,2,2021-10-23,,,Box Score,,Memphis Grizzlies,L,,114,120,0,2,E. Bledsoe · P. George · R. Jackson · M. Morris · I. Zubac
2,3,2021-10-25,,,Box Score,,Portland Trail Blazers,W,,116,86,1,2,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
3,4,2021-10-27,,,Box Score,,Cleveland Cavaliers,L,,79,92,1,3,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
4,5,2021-10-29,,,Box Score,@,Portland Trail Blazers,L,,92,111,1,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
5,6,2021-11-01,,,Box Score,,Oklahoma City Thunder,W,,99,94,2,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
6,7,2021-11-03,,,Box Score,@,Minnesota Timberwolves,W,,126,115,3,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
7,8,2021-11-05,,,Box Score,@,Minnesota Timberwolves,W,,104,84,4,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
8,9,2021-11-07,,,Box Score,,Charlotte Hornets,W,,120,106,5,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
9,10,2021-11-09,,,Box Score,,Portland Trail Blazers,W,,117,109,6,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
10,11,2021-11-11,,,Box Score,,Miami Heat,W,,112,109,7,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
11,12,2021-11-13,,,Box Score,,Minnesota Timberwolves,W,,129,102,8,4,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
12,13,2021-11-14,,,Box Score,,Chicago Bulls,L,,90,100,8,5,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
13,14,2021-11-16,,,Box Score,,San Antonio Spurs,W,,106,92,9,5,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
14,15,2021-11-18,,,Box Score,@,Memphis Grizzlies,L,,108,120,9,6,E. Bledsoe · A. Coffey · P. George · R. Jackson · I. Zubac
15,16,2021-11-19,,,Box Score,@,New Orleans Pelicans,L,,81,94,9,7,N. Batum · E. Bledsoe · P. George · R. Jackson · I. Zubac
16,17,2021-11-21,,,Box Score,,Dallas Mavericks,W,,97,91,10,7,E. Bledsoe · A. Coffey · P. George · R. Jackson · I. Zubac
