,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Justin Van Duyne,,8,5,3,0.625,95.8,,103.8,17.3,19.5,8.3,1.4,,102.3,19.5,17.5,7.1,1.9,,1.5,-2.2,2.0,1.2,-0.5
1,2,Tom Washington,,2,1,1,0.5,102.9,,114.0,20.0,24.0,9.5,2.0,,102.5,24.5,17.5,9.0,2.0,,11.5,-4.5,6.5,0.5,0.0
2,3,Zach Zarba,,9,4,5,0.444,95.2,,107.8,16.6,17.8,8.0,1.2,,107.6,16.8,17.0,7.7,1.4,,0.2,-0.2,0.8,0.3,-0.2
3,4,Tony Brothers,,1,0,1,0.0,95.6,,114.0,17.0,21.0,7.0,0.0,,120.0,25.0,19.0,8.0,2.0,,-6.0,-8.0,2.0,-1.0,-2.0
4,5,Nick Buchert,,5,2,3,0.4,96.9,,112.8,14.6,17.4,8.2,1.4,,109.8,19.0,15.0,7.2,0.8,,3.0,-4.4,2.4,1.0,0.6
5,6,Brett Nansel,,3,0,3,0.0,95.1,,108.9,16.1,20.9,10.3,1.0,,121.4,27.1,17.1,7.4,1.3,,-12.5,-11.0,3.8,2.9,-0.3
6,7,Brent Barnaky,,3,2,1,0.667,103.2,,108.0,21.7,18.3,6.7,2.0,,97.7,16.7,20.3,9.0,2.0,,10.3,5.0,-2.0,-2.3,0.0
7,8,Eric Lewis,,2,2,0,1.0,102.9,,117.5,21.5,21.0,7.0,1.5,,100.5,19.5,18.5,10.5,2.0,,17.0,2.0,2.5,-3.5,-0.5
8,9,Natalie Sago,,7,4,3,0.571,96.9,,108.1,21.7,21.1,8.7,2.0,,103.9,23.9,18.7,9.6,2.1,,4.2,-2.2,2.4,-0.9,-0.1
9,10,Derrick Collins,,5,2,3,0.4,98.7,,115.4,16.4,16.0,8.8,0.8,,114.4,18.0,15.8,7.8,1.2,,1.0,-1.6,0.2,1.0,-0.4
10,11,Mousa Dagher,,6,2,4,0.333,97.8,,101.0,18.7,22.3,8.7,2.3,,106.0,21.3,19.2,8.3,1.5,,-5.0,-2.6,3.1,0.4,0.8
11,12,Tre Maddox,,7,2,5,0.286,97.4,,99.1,17.3,18.3,8.7,1.6,,106.4,19.4,16.7,7.7,1.3,,-7.3,-2.1,1.6,1.0,0.3
12,13,Eric Dalen,,3,0,3,0.0,99.2,,97.3,20.3,18.0,8.3,0.7,,119.0,20.0,18.3,10.3,1.3,,-21.7,0.3,-0.3,-2.0,-0.6
13,14,Courtney Kirkland,,4,2,2,0.5,95.0,,100.0,16.0,16.5,8.8,0.3,,105.5,19.0,18.0,7.5,2.5,,-5.5,-3.0,-1.5,1.3,-2.2
14,15,Suyash Mehta,,4,0,4,0.0,95.0,,96.0,14.8,16.5,7.3,1.0,,106.3,16.8,16.8,7.0,1.3,,-10.3,-2.0,-0.3,0.3,-0.3
15,16,Sean Corbin,,2,2,0,1.0,98.8,,100.5,16.5,17.5,8.0,1.0,,92.0,18.0,18.5,6.5,2.0,,8.5,-1.5,-1.0,1.5,-1.0
16,17,Jonathan Sterling,,2,1,1,0.5,99.0,,103.5,23.0,15.5,7.5,0.5,,109.0,16.0,21.5,9.5,2.5,,-5.5,7.0,-6.0,-2.0,-2.0
17,18,James Williams,,7,2,5,0.286,95.4,,105.3,19.7,18.0,7.8,2.1,,107.9,19.6,18.3,7.5,1.7,,-2.6,0.1,-0.3,0.3,0.4
18,19,Marc Davis,,2,2,0,1.0,102.9,,116.0,17.0,13.5,7.0,1.0,,103.5,11.5,16.5,6.5,2.5,,12.5,5.5,-3.0,0.5,-1.5
19,20,Jenna Schroeder,,3,2,1,0.667,99.8,,110.0,17.0,17.7,9.7,1.3,,106.0,19.7,16.3,7.3,1.7,,4.0,-2.7,1.4,2.4,-0.4
20,21,Marat Kogut,,1,1,0,1.0,102.9,,104.0,32.0,16.0,4.0,3.0,,84.0,7.0,33.0,11.0,6.0,,20.0,25.0,-17.0,-7.0,-3.0
21,22,Ben Taylor,,4,2,2,0.5,100.0,,105.8,22.3,19.5,9.5,1.3,,106.3,21.3,22.0,8.5,2.3,,-0.5,1.0,-2.5,1.0,-1.0
22,23,C.J. Washington,,2,2,0,1.0,96.5,,105.0,26.0,15.5,6.5,1.5,,93.0,13.5,25.5,9.5,4.0,,12.0,12.5,-10.0,-3.0,-2.5
