,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,1,1,0.5,167,158,83.5,79.0
1,2,Atlanta Hawks,336,194,142,0.577,34912,33969,103.9,101.1
2,3,Baltimore Bullets,37,30,7,0.811,3286,2891,88.8,78.1
3,4,Boston Celtics,296,133,163,0.449,30872,31516,104.3,106.5
4,5,Brooklyn Nets,95,67,28,0.705,10158,9646,106.9,101.5
5,6,Charlotte Hornets,63,39,24,0.619,6577,6364,104.4,101.0
6,7,Chicago Bulls,159,94,65,0.591,16713,16471,105.1,103.6
7,8,Chicago Stags,12,8,4,0.667,1081,982,90.1,81.8
8,9,Cleveland Cavaliers,119,68,51,0.571,12582,12278,105.7,103.2
9,10,Dallas Mavericks,167,115,52,0.689,17956,17314,107.5,103.7
10,11,Denver Nuggets,2,2,0,1.0,190,157,95.0,78.5
11,12,Denver Nuggets,185,111,74,0.6,20885,20299,112.9,109.7
12,13,Detroit Pistons,344,210,134,0.61,36326,35142,105.6,102.2
13,14,Golden State Warriors,430,258,172,0.6,46932,45758,109.1,106.4
14,15,Houston Rockets,230,144,86,0.626,24943,24371,108.4,106.0
15,16,Indiana Pacers,96,63,33,0.656,10192,9881,106.2,102.9
16,17,Indianapolis Jets,6,6,0,1.0,502,413,83.7,68.8
17,18,Indianapolis Olympians,31,19,12,0.613,2561,2412,82.6,77.8
18,19,Los Angeles Clippers,231,150,81,0.649,25289,24161,109.5,104.6
19,20,Memphis Grizzlies,99,61,38,0.616,10148,9747,102.5,98.5
20,21,Miami Heat,68,38,30,0.559,6897,6605,101.4,97.1
21,22,Milwaukee Bucks,142,83,59,0.585,15043,14831,105.9,104.4
22,23,Minnesota Timberwolves,122,83,39,0.68,12721,12232,104.3,100.3
23,24,New Orleans Pelicans,67,41,26,0.612,7024,6913,104.8,103.2
24,25,New York Knicks,295,171,124,0.58,31266,30415,106.0,103.1
25,26,Oklahoma City Thunder,260,151,109,0.581,27910,27630,107.3,106.3
26,27,Orlando Magic,66,43,23,0.652,6879,6617,104.2,100.3
27,28,Philadelphia 76ers,287,146,141,0.509,30659,30436,106.8,106.0
28,29,Phoenix Suns,259,146,113,0.564,28340,27809,109.4,107.4
29,30,Portland Trail Blazers,237,125,112,0.527,25652,25334,108.2,106.9
30,31,Providence Steam Rollers,5,5,0,1.0,467,359,93.4,71.8
31,32,Sacramento Kings,441,280,161,0.635,47213,45673,107.1,103.6
32,33,San Antonio Spurs,181,89,92,0.492,18915,19073,104.5,105.4
33,34,Sheboygan Red Skins,2,1,1,0.5,172,158,86.0,79.0
34,35,St. Louis Bombers,12,9,3,0.75,975,853,81.3,71.1
35,36,Toronto Raptors,51,30,21,0.588,5342,5274,104.7,103.4
36,37,Utah Jazz,192,113,79,0.589,19917,19459,103.7,101.3
37,38,Washington Capitols,13,10,3,0.769,1047,947,80.5,72.8
38,39,Washington Wizards,198,121,77,0.611,21967,21278,110.9,107.5
39,40,Waterloo Hawks,2,2,0,1.0,166,142,83.0,71.0
