,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-19,,,Box Score,,Golden State Warriors,L,,114,121,0,1,K. Bazemore · A. Davis · L. James · D. Jordan · R. Westbrook
1,2,2021-10-22,,,Box Score,,Phoenix Suns,L,,105,115,0,2,K. Bazemore · A. Davis · L. James · D. Jordan · R. Westbrook
2,3,2021-10-24,,,Box Score,,Memphis Grizzlies,W,,121,118,1,2,K. Bazemore · A. Davis · L. James · D. Jordan · R. Westbrook
3,4,2021-10-26,,,Box Score,@,San Antonio Spurs,W,OT,125,121,2,2,K. Bazemore · A. Davis · D. Jordan · M. Monk · R. Westbrook
4,5,2021-10-27,,,Box Score,@,Oklahoma City Thunder,L,,115,123,2,3,K. Bazemore · A. Davis · D. Jordan · M. Monk · R. Westbrook
5,6,2021-10-29,,,Box Score,,Cleveland Cavaliers,W,,113,101,3,3,K. Bazemore · A. Davis · L. James · D. Jordan · R. Westbrook
6,7,2021-10-31,,,Box Score,,Houston Rockets,W,,95,85,4,3,K. Bazemore · A. Bradley · A. Davis · L. James · R. Westbrook
7,8,2021-11-02,,,Box Score,,Houston Rockets,W,,119,117,5,3,K. Bazemore · A. Bradley · A. Davis · L. James · R. Westbrook
8,9,2021-11-04,,,Box Score,,Oklahoma City Thunder,L,,104,107,5,4,K. Bazemore · A. Bradley · A. Davis · D. Jordan · R. Westbrook
9,10,2021-11-06,,,Box Score,@,Portland Trail Blazers,L,,90,105,5,5,K. Bazemore · A. Bradley · A. Davis · D. Jordan · R. Westbrook
10,11,2021-11-08,,,Box Score,,Charlotte Hornets,W,OT,126,123,6,5,K. Bazemore · A. Bradley · A. Davis · D. Jordan · R. Westbrook
11,12,2021-11-10,,,Box Score,,Miami Heat,W,OT,120,117,7,5,K. Bazemore · A. Bradley · A. Davis · D. Jordan · R. Westbrook
12,13,2021-11-12,,,Box Score,,Minnesota Timberwolves,L,,83,107,7,6,K. Bazemore · A. Bradley · A. Davis · W. Ellington · R. Westbrook
13,14,2021-11-14,,,Box Score,,San Antonio Spurs,W,,114,106,8,6,C. Anthony · A. Bradley · A. Davis · T. Horton-Tucker · R. Westbrook
14,15,2021-11-15,,,Box Score,,Chicago Bulls,L,,103,121,8,7,C. Anthony · A. Bradley · A. Davis · T. Horton-Tucker · R. Westbrook
15,16,2021-11-17,,,Box Score,@,Milwaukee Bucks,L,,102,109,8,8,C. Anthony · A. Bradley · A. Davis · T. Horton-Tucker · R. Westbrook
16,17,2021-11-19,,,Box Score,@,Boston Celtics,L,,108,130,8,9,A. Bradley · A. Davis · T. Horton-Tucker · L. James · R. Westbrook
17,18,2021-11-21,,,Box Score,@,Detroit Pistons,W,,121,116,9,9,A. Bradley · A. Davis · L. James · D. Jordan · R. Westbrook
18,19,2021-11-23,,,Box Score,@,New York Knicks,L,,100,106,9,10,A. Bradley · A. Davis · T. Horton-Tucker · D. Jordan · R. Westbrook
19,20,2021-11-24,,,Box Score,@,Indiana Pacers,W,OT,124,116,10,10,A. Bradley · T. Horton-Tucker · L. James · D. Jordan · R. Westbrook
20,21,2021-11-26,,,Box Score,,Sacramento Kings,L,3OT,137,141,10,11,A. Bradley · A. Davis · L. James · D. Jordan · R. Westbrook
21,22,2021-11-28,,,Box Score,,Detroit Pistons,W,,110,106,11,11,A. Bradley · A. Davis · L. James · D. Jordan · R. Westbrook
22,23,2021-11-30,,,Box Score,@,Sacramento Kings,W,,117,92,12,11,A. Davis · W. Ellington · T. Horton-Tucker · D. Jordan · R. Westbrook
23,24,2021-12-03,,,Box Score,,Los Angeles Clippers,L,,115,119,12,12,A. Davis · T. Horton-Tucker · D. Howard · L. James · R. Westbrook
24,25,2021-12-07,,,Box Score,,Boston Celtics,W,,117,102,13,12,A. Bradley · A. Davis · T. Horton-Tucker · L. James · R. Westbrook
25,26,2021-12-09,,,Box Score,@,Memphis Grizzlies,L,,95,108,13,13,A. Bradley · A. Davis · T. Horton-Tucker · L. James · R. Westbrook
26,27,2021-12-10,,,Box Score,@,Oklahoma City Thunder,W,,116,95,14,13,A. Bradley · T. Horton-Tucker · D. Howard · L. James · R. Westbrook
27,28,2021-12-12,,,Box Score,,Orlando Magic,W,,106,94,15,13,A. Bradley · T. Horton-Tucker · D. Howard · L. James · R. Westbrook
28,29,2021-12-15,,,Box Score,@,Dallas Mavericks,W,OT,107,104,16,13,A. Bradley · A. Davis · W. Ellington · L. James · R. Westbrook
29,30,2021-12-17,,,Box Score,@,Minnesota Timberwolves,L,,92,110,16,14,K. Bazemore · A. Davis · W. Ellington · L. James · R. Westbrook
30,31,2021-12-19,,,Box Score,@,Chicago Bulls,L,,110,115,16,15,W. Ellington · L. James · D. Jordan · I. Thomas · R. Westbrook
31,32,2021-12-21,,,Box Score,,Phoenix Suns,L,,90,108,16,16,W. Ellington · T. Horton-Tucker · L. James · D. Jordan · R. Westbrook
32,33,2021-12-23,,,Box Score,,San Antonio Spurs,L,,110,138,16,17,W. Ellington · T. Horton-Tucker · D. Howard · L. James · R. Westbrook
33,34,2021-12-25,,,Box Score,,Brooklyn Nets,L,,115,122,16,18,W. Ellington · T. Horton-Tucker · D. Howard · L. James · R. Westbrook
34,35,2021-12-28,,,Box Score,@,Houston Rockets,W,,132,123,17,18,A. Bradley · L. James · S. Johnson · M. Monk · R. Westbrook
35,36,2021-12-29,,,Box Score,@,Memphis Grizzlies,L,,99,104,17,19,A. Bradley · D. Howard · L. James · M. Monk · R. Westbrook
36,37,2021-12-31,,,Box Score,,Portland Trail Blazers,W,,139,106,18,19,A. Bradley · L. James · S. Johnson · M. Monk · R. Westbrook
37,38,2022-01-02,,,Box Score,,Minnesota Timberwolves,W,,108,103,19,19,A. Bradley · L. James · S. Johnson · M. Monk · R. Westbrook
38,39,2022-01-04,,,Box Score,,Sacramento Kings,W,,122,114,20,19,T. Ariza · A. Bradley · L. James · M. Monk · R. Westbrook
39,40,2022-01-07,,,Box Score,,Atlanta Hawks,W,,134,118,21,19,A. Bradley · L. James · S. Johnson · M. Monk · R. Westbrook
40,41,2022-01-09,,,Box Score,,Memphis Grizzlies,L,,119,127,21,20,A. Bradley · L. James · S. Johnson · M. Monk · R. Westbrook
41,42,2022-01-12,,,Box Score,@,Sacramento Kings,L,,116,125,21,21,T. Ariza · A. Bradley · L. James · M. Monk · R. Westbrook
42,43,2022-01-15,,,Box Score,@,Denver Nuggets,L,,96,133,21,22,A. Bradley · D. Howard · L. James · M. Monk · R. Westbrook
43,44,2022-01-17,,,Box Score,,Utah Jazz,W,,101,95,22,22,T. Ariza · A. Bradley · D. Howard · L. James · R. Westbrook
44,45,2022-01-19,,,Box Score,,Indiana Pacers,L,,104,111,22,23,T. Ariza · A. Bradley · D. Howard · L. James · R. Westbrook
45,46,2022-01-21,,,Box Score,@,Orlando Magic,W,,116,105,23,23,T. Ariza · A. Bradley · D. Howard · L. James · R. Westbrook
46,47,2022-01-23,,,Box Score,@,Miami Heat,L,,107,113,23,24,T. Ariza · A. Bradley · D. Howard · L. James · R. Westbrook
47,48,2022-01-25,,,Box Score,@,Brooklyn Nets,W,,106,96,24,24,A. Bradley · A. Davis · L. James · S. Johnson · R. Westbrook
48,49,2022-01-27,,,Box Score,@,Philadelphia 76ers,L,,87,105,24,25,A. Bradley · A. Davis · S. Johnson · M. Monk · R. Westbrook
49,50,2022-01-28,,,Box Score,@,Charlotte Hornets,L,,114,117,24,26,A. Bradley · W. Ellington · S. Johnson · D. Jordan · R. Westbrook
50,51,2022-01-30,,,Box Score,@,Atlanta Hawks,L,,121,129,24,27,A. Bradley · A. Davis · S. Johnson · M. Monk · R. Westbrook
51,52,2022-02-02,,,Box Score,,Portland Trail Blazers,W,,99,94,25,27,A. Bradley · A. Davis · S. Johnson · M. Monk · R. Westbrook
52,53,2022-02-03,,,Box Score,@,Los Angeles Clippers,L,,110,111,25,28,A. Bradley · A. Davis · S. Johnson · M. Monk · R. Westbrook
