,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Ray Acosta,,6,3,3,0.5,103.4,,119.5,19.8,21.8,11.2,1.7,,117.7,26.0,17.7,9.2,1.2,,1.8,-6.2,4.1,2.0,0.5
1,2,Mark Lindsay,,3,2,1,0.667,101.8,,117.9,19.7,20.0,9.0,1.3,,116.0,22.2,18.4,8.4,1.6,,1.9,-2.5,1.6,0.6,-0.3
2,3,Sean Wright,,7,2,5,0.286,101.3,,111.9,21.8,21.4,10.6,1.0,,116.6,26.6,17.7,9.4,2.1,,-4.7,-4.8,3.7,1.2,-1.1
3,4,Tony Brothers,,8,0,8,0.0,98.3,,111.5,23.8,21.9,10.6,1.3,,121.3,25.5,20.6,10.5,1.3,,-9.8,-1.7,1.3,0.1,0.0
4,5,Nick Buchert,,4,1,3,0.25,98.8,,103.8,27.3,19.0,7.5,1.5,,107.3,21.0,21.5,12.5,0.8,,-3.5,6.3,-2.5,-5.0,0.7
5,6,Justin Van Duyne,,7,3,4,0.429,100.5,,115.8,28.6,21.1,11.0,1.7,,120.6,27.3,23.0,11.7,1.2,,-4.8,1.3,-1.9,-0.7,0.5
6,7,Brandon Adair,,7,2,5,0.286,102.1,,107.3,21.7,18.6,8.9,1.3,,116.1,20.9,17.7,9.0,1.1,,-8.8,0.8,0.9,-0.1,0.2
7,8,Kevin Cutler,,6,2,4,0.333,98.1,,110.5,19.8,17.5,8.7,2.0,,117.0,19.3,19.5,7.2,0.8,,-6.5,0.5,-2.0,1.5,1.2
8,9,Marc Davis,,2,1,1,0.5,96.3,,115.5,22.0,18.0,8.0,1.5,,123.0,20.5,17.0,8.0,0.0,,-7.5,1.5,1.0,0.0,1.5
9,10,Curtis Blair,,5,3,2,0.6,98.9,,106.4,20.2,19.0,10.4,1.6,,108.0,22.1,19.6,8.0,2.5,,-1.6,-1.9,-0.6,2.4,-0.9
10,11,Brian Forte,,5,4,1,0.8,99.5,,110.0,19.4,18.0,7.9,1.3,,102.9,18.8,19.4,8.6,2.5,,7.1,0.6,-1.4,-0.7,-1.2
11,12,Andy Nagy,,5,2,3,0.4,101.1,,105.0,22.7,20.2,10.8,0.8,,110.1,24.5,18.8,9.0,1.8,,-5.1,-1.8,1.4,1.8,-1.0
12,13,Scott Foster,,3,2,1,0.667,101.6,,117.7,19.3,21.3,11.3,2.7,,113.7,26.3,18.7,8.0,1.7,,4.0,-7.0,2.6,3.3,1.0
13,14,Lauren Holtkamp-Sterling,,4,2,2,0.5,100.9,,113.8,23.3,21.0,11.5,2.8,,109.0,25.8,19.8,10.0,1.5,,4.8,-2.5,1.2,1.5,1.3
14,15,Gediminas Petraitis,,4,0,4,0.0,101.7,,115.0,21.3,19.8,8.8,1.5,,125.5,22.3,18.8,10.0,1.3,,-10.5,-1.0,1.0,-1.2,0.2
15,16,John Butler,,3,1,2,0.333,99.5,,117.3,19.0,20.9,9.0,1.6,,118.9,23.5,17.7,7.7,1.0,,-1.6,-4.5,3.2,1.3,0.6
16,17,Eric Lewis,,4,2,2,0.5,95.9,,117.3,22.0,20.8,10.3,1.5,,116.3,23.8,18.0,9.0,0.3,,1.0,-1.8,2.8,1.3,1.2
17,18,Natalie Sago,,2,1,1,0.5,92.5,,111.5,16.0,21.0,9.5,2.0,,114.5,22.5,13.5,8.0,0.0,,-3.0,-6.5,7.5,1.5,2.0
18,19,Eric Dalen,,3,1,2,0.333,99.6,,104.7,20.0,18.0,11.0,0.7,,113.7,22.3,18.3,8.7,1.0,,-9.0,-2.3,-0.3,2.3,-0.3
