,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,52,20,32,0.385,5080,5262,97.7,101.2
1,2,Boston Celtics,52,19,33,0.365,5245,5459,100.9,105.0
2,3,Brooklyn Nets,51,28,23,0.549,5100,5010,100.0,98.2
3,4,Charlotte Hornets,47,22,25,0.468,4557,4667,97.0,99.3
4,5,Chicago Bulls,53,24,29,0.453,5086,5172,96.0,97.6
5,6,Cleveland Cavaliers,51,20,31,0.392,5013,5157,98.3,101.1
6,7,Dallas Mavericks,104,32,72,0.308,10005,10434,96.2,100.3
7,8,Denver Nuggets,99,39,60,0.394,9747,10012,98.5,101.1
8,9,Detroit Pistons,52,25,27,0.481,4977,4954,95.7,95.3
9,10,Golden State Warriors,99,48,51,0.485,10018,10177,101.2,102.8
10,11,Houston Rockets,106,42,64,0.396,10211,10520,96.3,99.2
11,12,Indiana Pacers,52,20,32,0.385,5085,5179,97.8,99.6
12,13,Los Angeles Clippers,101,49,52,0.485,10058,10093,99.6,99.9
13,14,Los Angeles Lakers,99,38,61,0.384,9747,10148,98.5,102.5
14,15,Miami Heat,51,23,28,0.451,4826,4923,94.6,96.5
15,16,Milwaukee Bucks,51,25,26,0.49,5123,5064,100.5,99.3
16,17,Minnesota Timberwolves,101,50,51,0.495,9957,10094,98.6,99.9
17,18,New Orleans Pelicans,74,34,40,0.459,7381,7466,99.7,100.9
18,19,New York Knicks,50,26,24,0.52,4960,4973,99.2,99.5
19,20,Oklahoma City Thunder,98,33,65,0.337,9773,10152,99.7,103.6
20,21,Orlando Magic,51,26,25,0.51,4984,5012,97.7,98.3
21,22,Philadelphia 76ers,51,26,25,0.51,5063,5022,99.3,98.5
22,23,Phoenix Suns,98,40,58,0.408,9886,10156,100.9,103.6
23,24,Portland Trail Blazers,98,43,55,0.439,9304,9657,94.9,98.5
24,25,Sacramento Kings,99,47,52,0.475,10057,9964,101.6,100.6
25,26,San Antonio Spurs,106,32,74,0.302,9941,10558,93.8,99.6
26,27,Toronto Raptors,52,25,27,0.481,5019,5077,96.5,97.6
27,28,Utah Jazz,98,35,63,0.357,9091,9624,92.8,98.2
28,29,Washington Wizards,51,29,22,0.569,5105,5064,100.1,99.3
