,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Tony Barone,2007,2007,1,52,16,36,0.308,-10.0,,,,,,,
1,2,J.B. Bickerstaff,2018,2019,2,145,48,97,0.331,-24.5,,,,,,,
2,3,Hubie Brown,2003,2005,3,168,83,85,0.494,-1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
3,4,Johnny Davis,2009,2009,1,2,0,2,0.0,-1.0,,,,,,,
4,5,David Fizdale,2017,2018,2,101,50,51,0.495,-0.5,1.0,6.0,2.0,4.0,0.333,0.0,0.0
5,6,Mike Fratello,2005,2007,3,178,95,83,0.534,6.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0
6,7,Brian Hill,1998,2000,3,154,31,123,0.201,-46.0,,,,,,,
7,8,Lionel Hollins,2000,2013,7,415,214,201,0.516,6.5,3.0,35.0,18.0,17.0,0.514,0.0,0.0
8,9,Marc Iavaroni,2008,2009,2,123,33,90,0.268,-28.5,,,,,,,
9,10,Stu Jackson,1997,1997,1,39,6,33,0.154,-13.5,,,,,,,
10,11,Taylor Jenkins,2020,2022,3,227,128,99,0.564,14.5,2.0,17.0,7.0,10.0,0.412,0.0,0.0
11,12,Dave Joerger,2014,2016,3,246,147,99,0.598,24.0,3.0,22.0,9.0,13.0,0.409,0.0,0.0
12,13,Sidney Lowe,2001,2003,3,172,46,126,0.267,-40.0,,,,,,,
13,14,Brian Winters,1996,1997,2,125,23,102,0.184,-39.5,,,,,,,
