,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",8:00p,,Box Score,,Cleveland Cavaliers,W,,132,121,1,0,W 1,
1,2,"Sat, Oct 23, 2021",10:30p,,Box Score,@,Los Angeles Clippers,W,,120,114,2,0,W 2,
2,3,"Sun, Oct 24, 2021",9:30p,,Box Score,@,Los Angeles Lakers,L,,118,121,2,1,L 1,
3,4,"Wed, Oct 27, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,96,116,2,2,L 2,
4,5,"Thu, Oct 28, 2021",10:00p,,Box Score,@,Golden State Warriors,W,OT,104,101,3,2,W 1,
5,6,"Sat, Oct 30, 2021",8:00p,,Box Score,,Miami Heat,L,,103,129,3,3,L 1,
6,7,"Mon, Nov 1, 2021",8:00p,,Box Score,,Denver Nuggets,W,,106,97,4,3,W 1,
7,8,"Wed, Nov 3, 2021",8:00p,,Box Score,,Denver Nuggets,W,,108,106,5,3,W 2,
8,9,"Fri, Nov 5, 2021",7:00p,,Box Score,@,Washington Wizards,L,,87,115,5,4,L 1,
9,10,"Mon, Nov 8, 2021",8:00p,,Box Score,,Minnesota Timberwolves,W,OT,125,118,6,4,W 1,
10,11,"Wed, Nov 10, 2021",8:00p,,Box Score,,Charlotte Hornets,L,,108,118,6,5,L 1,
11,12,"Fri, Nov 12, 2021",8:00p,,Box Score,,Phoenix Suns,L,,94,119,6,6,L 2,
12,13,"Sat, Nov 13, 2021",7:00p,,Box Score,@,New Orleans Pelicans,L,,101,112,6,7,L 3,
13,14,"Mon, Nov 15, 2021",8:00p,,Box Score,,Houston Rockets,W,,136,102,7,7,W 1,
14,15,"Thu, Nov 18, 2021",8:00p,,Box Score,,Los Angeles Clippers,W,,120,108,8,7,W 2,
15,16,"Sat, Nov 20, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,95,138,8,8,L 1,
16,17,"Mon, Nov 22, 2021",9:00p,,Box Score,@,Utah Jazz,W,,119,118,9,8,W 1,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Toronto Raptors,L,,113,126,9,9,L 1,
18,19,"Fri, Nov 26, 2021",8:00p,,Box Score,,Atlanta Hawks,L,,100,132,9,10,L 2,
19,20,"Sun, Nov 28, 2021",6:00p,,Box Score,,Sacramento Kings,W,,128,101,10,10,W 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Tue, Nov 30, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,98,91,11,10,W 2,
22,22,"Thu, Dec 2, 2021",8:00p,,Box Score,,Oklahoma City Thunder,W,,152,79,12,10,W 3,
23,23,"Sat, Dec 4, 2021",8:30p,,Box Score,@,Dallas Mavericks,W,,97,90,13,10,W 4,
24,24,"Mon, Dec 6, 2021",7:30p,,Box Score,@,Miami Heat,W,,105,90,14,10,W 5,
25,25,"Wed, Dec 8, 2021",8:00p,,Box Score,,Dallas Mavericks,L,,96,104,14,11,L 1,
26,26,"Thu, Dec 9, 2021",8:00p,,Box Score,,Los Angeles Lakers,W,,108,95,15,11,W 1,
27,27,"Sat, Dec 11, 2021",8:00p,,Box Score,,Houston Rockets,W,,113,106,16,11,W 2,
28,28,"Mon, Dec 13, 2021",8:00p,,Box Score,,Philadelphia 76ers,W,,126,91,17,11,W 3,
29,29,"Wed, Dec 15, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,113,103,18,11,W 4,
30,30,"Fri, Dec 17, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,124,105,19,11,W 5,
31,31,"Sun, Dec 19, 2021",6:00p,,Box Score,,Portland Trail Blazers,L,,100,105,19,12,L 1,
32,32,"Mon, Dec 20, 2021",8:00p,,Box Score,,Oklahoma City Thunder,L,,99,102,19,13,L 2,
33,33,"Thu, Dec 23, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,104,113,19,14,L 3,
34,34,"Sun, Dec 26, 2021",6:00p,,Box Score,@,Sacramento Kings,W,,127,102,20,14,W 1,
35,35,"Mon, Dec 27, 2021",9:00p,,Box Score,@,Phoenix Suns,W,,114,113,21,14,W 2,
36,36,"Wed, Dec 29, 2021",8:00p,,Box Score,,Los Angeles Lakers,W,,104,99,22,14,W 3,
37,37,"Fri, Dec 31, 2021",8:00p,,Box Score,,San Antonio Spurs,W,,118,105,23,14,W 4,
38,38,"Mon, Jan 3, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,118,104,24,14,W 5,
39,39,"Tue, Jan 4, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,110,106,25,14,W 6,
40,40,"Thu, Jan 6, 2022",8:00p,,Box Score,,Detroit Pistons,W,,118,88,26,14,W 7,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Sat, Jan 8, 2022",3:30p,,Box Score,@,Los Angeles Clippers,W,,123,108,27,14,W 8,
43,42,"Sun, Jan 9, 2022",9:30p,,Box Score,@,Los Angeles Lakers,W,,127,119,28,14,W 9,
44,43,"Tue, Jan 11, 2022",8:00p,,Box Score,,Golden State Warriors,W,,116,108,29,14,W 10,
45,44,"Thu, Jan 13, 2022",8:00p,,Box Score,,Minnesota Timberwolves,W,,116,108,30,14,W 11,
46,45,"Fri, Jan 14, 2022",10:00p,,Box Score,,Dallas Mavericks,L,,85,112,30,15,L 1,
47,46,"Mon, Jan 17, 2022",3:30p,,Box Score,,Chicago Bulls,W,,119,106,31,15,W 1,
48,47,"Wed, Jan 19, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,114,126,31,16,L 1,
49,48,"Fri, Jan 21, 2022",9:00p,,Box Score,@,Denver Nuggets,W,,122,118,32,16,W 1,
50,49,"Sun, Jan 23, 2022",7:30p,,Box Score,@,Dallas Mavericks,L,,91,104,32,17,L 1,
51,50,"Wed, Jan 26, 2022",8:30p,,Box Score,@,San Antonio Spurs,W,,118,110,33,17,W 1,
52,51,"Fri, Jan 28, 2022",8:00p,,Box Score,,Utah Jazz,W,,119,109,34,17,W 2,
53,52,"Sat, Jan 29, 2022",8:00p,,Box Score,,Washington Wizards,W,,115,95,35,17,W 3,
54,53,"Mon, Jan 31, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,OT,119,122,35,18,L 1,
55,54,"Wed, Feb 2, 2022",7:30p,,Box Score,@,New York Knicks,W,,120,108,36,18,W 1,
56,55,"Sat, Feb 5, 2022",5:00p,,Box Score,@,Orlando Magic,W,,135,115,37,18,W 2,
57,56,"Tue, Feb 8, 2022",8:00p,,Box Score,,Los Angeles Clippers,W,,135,109,38,18,W 3,
58,57,"Thu, Feb 10, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,132,107,39,18,W 4,
