,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Cleveland Cavaliers,W,,132,121,1,0,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
1,2,2021-10-23,,,Box Score,@,Los Angeles Clippers,W,,120,114,2,0,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
2,3,2021-10-24,,,Box Score,@,Los Angeles Lakers,L,,118,121,2,1,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
3,4,2021-10-27,,,Box Score,@,Portland Trail Blazers,L,,96,116,2,2,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
4,5,2021-10-28,,,Box Score,@,Golden State Warriors,W,OT,104,101,3,2,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
5,6,2021-10-30,,,Box Score,,Miami Heat,L,,103,129,3,3,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
6,7,2021-11-01,,,Box Score,,Denver Nuggets,W,,106,97,4,3,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
7,8,2021-11-03,,,Box Score,,Denver Nuggets,W,,108,106,5,3,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
8,9,2021-11-05,,,Box Score,@,Washington Wizards,L,,87,115,5,4,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
9,10,2021-11-08,,,Box Score,,Minnesota Timberwolves,W,OT,125,118,6,4,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
10,11,2021-11-10,,,Box Score,,Charlotte Hornets,L,,108,118,6,5,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
11,12,2021-11-12,,,Box Score,,Phoenix Suns,L,,94,119,6,6,S. Adams · D. Bane · J. Jackson · D. Melton · J. Morant
12,13,2021-11-13,,,Box Score,@,New Orleans Pelicans,L,,101,112,6,7,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
13,14,2021-11-15,,,Box Score,,Houston Rockets,W,,136,102,7,7,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
14,15,2021-11-18,,,Box Score,,Los Angeles Clippers,W,,120,108,8,7,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
15,16,2021-11-20,,,Box Score,@,Minnesota Timberwolves,L,,95,138,8,8,S. Adams · K. Anderson · D. Bane · J. Jackson · J. Morant
16,17,2021-11-22,,,Box Score,@,Utah Jazz,W,,119,118,9,8,S. Adams · K. Anderson · D. Bane · J. Jackson · J. Morant
17,18,2021-11-24,,,Box Score,,Toronto Raptors,L,,113,126,9,9,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
18,19,2021-11-26,,,Box Score,,Atlanta Hawks,L,,100,132,9,10,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
19,20,2021-11-28,,,Box Score,,Sacramento Kings,W,,128,101,10,10,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
20,21,2021-11-30,,,Box Score,@,Toronto Raptors,W,,98,91,11,10,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
21,22,2021-12-02,,,Box Score,,Oklahoma City Thunder,W,,152,79,12,10,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
22,23,2021-12-04,,,Box Score,@,Dallas Mavericks,W,,97,90,13,10,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
23,24,2021-12-06,,,Box Score,@,Miami Heat,W,,105,90,14,10,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
24,25,2021-12-08,,,Box Score,,Dallas Mavericks,L,,96,104,14,11,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
25,26,2021-12-09,,,Box Score,,Los Angeles Lakers,W,,108,95,15,11,S. Adams · D. Bane · J. Jackson · T. Jones · D. Melton
26,27,2021-12-11,,,Box Score,,Houston Rockets,W,,113,106,16,11,S. Adams · K. Anderson · D. Bane · D. Brooks · T. Jones
27,28,2021-12-13,,,Box Score,,Philadelphia 76ers,W,,126,91,17,11,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
28,29,2021-12-15,,,Box Score,@,Portland Trail Blazers,W,,113,103,18,11,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
29,30,2021-12-17,,,Box Score,@,Sacramento Kings,W,,124,105,19,11,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
30,31,2021-12-19,,,Box Score,,Portland Trail Blazers,L,,100,105,19,12,S. Adams · D. Bane · D. Brooks · J. Jackson · T. Jones
31,32,2021-12-20,,,Box Score,,Oklahoma City Thunder,L,,99,102,19,13,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
32,33,2021-12-23,,,Box Score,@,Golden State Warriors,L,,104,113,19,14,S. Adams · D. Bane · D. Brooks · J. Jackson · J. Morant
33,34,2021-12-26,,,Box Score,@,Sacramento Kings,W,,127,102,20,14,S. Adams · D. Bane · J. Jackson · J. Konchar · J. Morant
34,35,2021-12-27,,,Box Score,@,Phoenix Suns,W,,114,113,21,14,S. Adams · D. Bane · J. Jackson · J. Konchar · J. Morant
35,36,2021-12-29,,,Box Score,,Los Angeles Lakers,W,,104,99,22,14,S. Adams · K. Anderson · D. Bane · J. Jackson · J. Morant
36,37,2021-12-31,,,Box Score,,San Antonio Spurs,W,,118,105,23,14,S. Adams · K. Anderson · D. Bane · J. Jackson · J. Morant
37,38,2022-01-03,,,Box Score,@,Brooklyn Nets,W,,118,104,24,14,S. Adams · D. Bane · J. Jackson · J. Morant · K. Tillie
38,39,2022-01-04,,,Box Score,@,Cleveland Cavaliers,W,,110,106,25,14,S. Adams · D. Bane · J. Jackson · J. Morant · K. Tillie
39,40,2022-01-06,,,Box Score,,Detroit Pistons,W,,118,88,26,14,S. Adams · D. Brooks · J. Jackson · J. Morant · Z. Williams
40,41,2022-01-08,,,Box Score,@,Los Angeles Clippers,W,,123,108,27,14,D. Bane · D. Brooks · J. Jackson · T. Jones · K. Tillie
41,42,2022-01-09,,,Box Score,@,Los Angeles Lakers,W,,127,119,28,14,K. Anderson · D. Bane · J. Jackson · J. Morant · Z. Williams
42,43,2022-01-11,,,Box Score,,Golden State Warriors,W,,116,108,29,14,K. Anderson · D. Bane · J. Jackson · J. Morant · Z. Williams
43,44,2022-01-13,,,Box Score,,Minnesota Timberwolves,W,,116,108,30,14,K. Anderson · D. Bane · J. Jackson · J. Morant · Z. Williams
44,45,2022-01-14,,,Box Score,,Dallas Mavericks,L,,85,112,30,15,D. Bane · B. Clarke · J. Jackson · J. Morant · Z. Williams
45,46,2022-01-17,,,Box Score,,Chicago Bulls,W,,119,106,31,15,S. Adams · D. Bane · J. Jackson · J. Morant · Z. Williams
46,47,2022-01-19,,,Box Score,@,Milwaukee Bucks,L,,114,126,31,16,S. Adams · J. Jackson · J. Konchar · J. Morant · Z. Williams
47,48,2022-01-21,,,Box Score,@,Denver Nuggets,W,,122,118,32,16,S. Adams · J. Jackson · J. Konchar · J. Morant · Z. Williams
48,49,2022-01-23,,,Box Score,@,Dallas Mavericks,L,,91,104,32,17,S. Adams · J. Jackson · J. Konchar · J. Morant · Z. Williams
49,50,2022-01-26,,,Box Score,@,San Antonio Spurs,W,,118,110,33,17,S. Adams · D. Bane · J. Jackson · J. Morant · Z. Williams
50,51,2022-01-28,,,Box Score,,Utah Jazz,W,,119,109,34,17,S. Adams · D. Bane · J. Jackson · J. Morant · Z. Williams
