,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,John Conley,,4,4,0,1.0,98.9,,119.3,15.0,16.5,8.8,2.0,,105.5,16.0,18.5,5.8,1.0,,13.8,-1.0,-2.0,3.0,1.0
1,2,Kevin Scott,,4,2,2,0.5,97.5,,115.5,19.5,19.3,9.5,1.3,,114.3,23.5,18.5,7.5,0.8,,1.2,-4.0,0.8,2.0,0.5
2,3,Michael Smith,,6,1,5,0.167,98.9,,106.8,23.6,21.5,10.5,2.0,,115.0,27.2,19.8,10.6,0.7,,-8.2,-3.6,1.7,-0.1,1.3
3,4,Tony Brothers,,6,4,2,0.667,99.6,,113.5,24.0,22.0,10.7,1.8,,109.8,24.0,21.0,10.0,1.5,,3.7,0.0,1.0,0.7,0.3
4,5,Nick Buchert,,2,2,0,1.0,94.7,,116.0,18.0,17.0,8.0,2.0,,112.5,16.5,17.0,6.5,1.0,,3.5,1.5,0.0,1.5,1.0
5,6,Brett Nansel,,5,3,2,0.6,101.4,,116.8,25.4,19.6,9.8,1.6,,114.2,22.8,21.0,11.2,0.8,,2.6,2.6,-1.4,-1.4,0.8
6,7,Brandon Adair,,3,2,1,0.667,99.7,,119.0,23.0,17.3,8.0,1.0,,111.7,19.7,19.7,9.3,2.0,,7.3,3.3,-2.4,-1.3,-1.0
7,8,Kevin Cutler,,4,1,3,0.25,98.4,,105.8,19.0,19.5,6.3,1.8,,115.5,19.0,15.5,7.5,0.8,,-9.7,0.0,4.0,-1.2,1.0
8,9,Marc Davis,,4,2,2,0.5,101.6,,116.5,22.5,20.8,8.0,1.5,,110.5,22.5,17.3,9.0,0.0,,6.0,0.0,3.5,-1.0,1.5
