,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,130,73,57,0.562,12894,12544,99.2,96.5
1,2,Boston Celtics,129,51,78,0.395,12696,12864,98.4,99.7
2,3,Brooklyn Nets,133,78,55,0.586,13034,12662,98.0,95.2
3,4,Charlotte Hornets,117,71,46,0.607,11612,11250,99.2,96.2
4,5,Chicago Bulls,122,62,60,0.508,11791,11768,96.6,96.5
5,6,Cleveland Cavaliers,122,74,48,0.607,11806,11556,96.8,94.7
6,7,Dallas Mavericks,71,37,34,0.521,7165,7085,100.9,99.8
7,8,Denver Nuggets,70,34,36,0.486,7131,7288,101.9,104.1
8,9,Detroit Pistons,121,65,56,0.537,11591,11547,95.8,95.4
9,10,Golden State Warriors,67,32,35,0.478,7007,7122,104.6,106.3
10,11,Houston Rockets,70,37,33,0.529,7045,7036,100.6,100.5
11,12,Indiana Pacers,123,53,70,0.431,11878,12149,96.6,98.8
12,13,Los Angeles Clippers,67,37,30,0.552,6900,6698,103.0,100.0
13,14,Los Angeles Lakers,68,30,38,0.441,6605,6897,97.1,101.4
14,15,Memphis Grizzlies,51,28,23,0.549,4923,4826,96.5,94.6
15,16,Milwaukee Bucks,122,73,49,0.598,12203,12002,100.0,98.4
16,17,Minnesota Timberwolves,64,34,30,0.531,6514,6222,101.8,97.2
17,18,New Orleans Pelicans,43,23,20,0.535,4222,4142,98.2,96.3
18,19,New York Knicks,130,64,66,0.492,12461,12539,95.9,96.5
19,20,Oklahoma City Thunder,68,28,40,0.412,6573,6869,96.7,101.0
20,21,Orlando Magic,130,73,57,0.562,12983,12835,99.9,98.7
21,22,Philadelphia 76ers,131,67,64,0.511,12988,12820,99.1,97.9
22,23,Phoenix Suns,67,30,37,0.448,6877,6988,102.6,104.3
23,24,Portland Trail Blazers,67,26,41,0.388,6600,6814,98.5,101.7
24,25,Sacramento Kings,67,44,23,0.657,6949,6647,103.7,99.2
25,26,San Antonio Spurs,69,25,44,0.362,6472,6793,93.8,98.4
26,27,Toronto Raptors,96,58,38,0.604,9461,9234,98.6,96.2
27,28,Utah Jazz,70,32,38,0.457,6784,6960,96.9,99.4
28,29,Washington Wizards,136,92,44,0.676,13821,13298,101.6,97.8
