,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-21,,,Box Score,,Milwaukee Bucks,W,,137,95,1,0,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
1,2,2021-10-23,,,Box Score,@,Indiana Pacers,L,OT,91,102,1,1,B. Adebayo · J. Butler · D. Robinson · P. Tucker · G. Vincent
2,3,2021-10-25,,,Box Score,,Orlando Magic,W,,107,90,2,1,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
3,4,2021-10-27,,,Box Score,@,Brooklyn Nets,W,,106,93,3,1,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
4,5,2021-10-29,,,Box Score,,Charlotte Hornets,W,,114,99,4,1,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
5,6,2021-10-30,,,Box Score,@,Memphis Grizzlies,W,,129,103,5,1,J. Butler · D. Dedmon · K. Lowry · D. Robinson · P. Tucker
6,7,2021-11-02,,,Box Score,@,Dallas Mavericks,W,,125,110,6,1,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
7,8,2021-11-04,,,Box Score,,Boston Celtics,L,,78,95,6,2,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
8,9,2021-11-06,,,Box Score,,Utah Jazz,W,,118,115,7,2,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
9,10,2021-11-08,,,Box Score,@,Denver Nuggets,L,,96,113,7,3,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
10,11,2021-11-10,,,Box Score,@,Los Angeles Lakers,L,OT,117,120,7,4,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
11,12,2021-11-11,,,Box Score,@,Los Angeles Clippers,L,,109,112,7,5,B. Adebayo · T. Herro · K. Lowry · D. Robinson · P. Tucker
12,13,2021-11-13,,,Box Score,@,Utah Jazz,W,,111,105,8,5,B. Adebayo · T. Herro · K. Lowry · D. Robinson · P. Tucker
13,14,2021-11-15,,,Box Score,@,Oklahoma City Thunder,W,,103,90,9,5,D. Dedmon · T. Herro · K. Lowry · D. Robinson · P. Tucker
14,15,2021-11-17,,,Box Score,,New Orleans Pelicans,W,,113,98,10,5,J. Butler · D. Dedmon · T. Herro · D. Robinson · P. Tucker
15,16,2021-11-18,,,Box Score,,Washington Wizards,W,,112,97,11,5,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
16,17,2021-11-20,,,Box Score,@,Washington Wizards,L,,100,103,11,6,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
17,18,2021-11-23,,,Box Score,@,Detroit Pistons,W,,100,92,12,6,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
18,19,2021-11-24,,,Box Score,@,Minnesota Timberwolves,L,,101,113,12,7,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
19,20,2021-11-27,,,Box Score,@,Chicago Bulls,W,,107,104,13,7,B. Adebayo · J. Butler · K. Lowry · D. Robinson · P. Tucker
20,21,2021-11-29,,,Box Score,,Denver Nuggets,L,,111,120,13,8,B. Adebayo · K. Lowry · C. Martin · D. Robinson · P. Tucker
21,22,2021-12-01,,,Box Score,,Cleveland Cavaliers,L,,85,111,13,9,D. Dedmon · T. Herro · K. Lowry · D. Robinson · P. Tucker
22,23,2021-12-03,,,Box Score,@,Indiana Pacers,W,,113,104,14,9,D. Dedmon · T. Herro · K. Lowry · D. Robinson · P. Tucker
23,24,2021-12-04,,,Box Score,@,Milwaukee Bucks,L,,102,124,14,10,D. Dedmon · T. Herro · K. Lowry · D. Robinson · P. Tucker
24,25,2021-12-06,,,Box Score,,Memphis Grizzlies,L,,90,105,14,11,J. Butler · D. Dedmon · K. Lowry · D. Robinson · P. Tucker
