,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Mitchell Ervin,,5,3,2,0.6,96.6,,110.6,20.8,22.0,11.0,2.6,,102.4,25.2,20.8,8.2,2.6,,8.2,-4.4,1.2,2.8,0.0
1,2,David Guthrie,,4,2,2,0.5,97.9,,111.8,23.0,21.3,10.8,1.0,,109.5,27.8,21.5,9.8,1.5,,2.3,-4.8,-0.2,1.0,-0.5
2,3,Jonathan Sterling,,5,3,2,0.6,95.1,,107.3,18.8,22.4,9.0,2.3,,101.6,23.2,20.5,8.3,3.2,,5.7,-4.4,1.9,0.7,-0.9
3,4,John Conley,,3,1,2,0.333,94.7,,98.3,15.5,21.3,7.7,2.9,,98.9,20.9,18.0,7.4,4.2,,-0.6,-5.4,3.3,0.3,-1.3
4,5,Michael Smith,,5,1,4,0.2,94.7,,94.4,22.1,21.9,7.8,3.7,,101.9,22.5,20.8,10.0,3.3,,-7.5,-0.4,1.1,-2.2,0.4
5,6,James Williams,,5,4,1,0.8,96.1,,111.3,19.2,22.7,10.2,2.5,,104.2,24.1,18.6,7.4,2.9,,7.1,-4.9,4.1,2.8,-0.4
6,7,Evan Scott,,2,2,0,1.0,95.0,,115.5,24.5,23.0,9.0,3.0,,104.0,24.5,24.5,8.0,4.0,,11.5,0.0,-1.5,1.0,-1.0
7,8,Kevin Scott,,6,2,4,0.333,94.7,,104.7,16.8,19.0,7.9,2.4,,105.5,20.0,18.9,7.3,3.2,,-0.8,-3.2,0.1,0.6,-0.8
8,9,Dedric Taylor,,9,7,2,0.778,95.0,,110.0,22.4,23.9,11.7,2.1,,102.4,26.4,21.4,8.9,3.1,,7.6,-4.0,2.5,2.8,-1.0
9,10,Jacyn Goble,,5,4,1,0.8,93.6,,107.0,27.4,19.6,7.2,2.0,,97.6,17.0,23.0,10.6,3.4,,9.4,10.4,-3.4,-3.4,-1.4
10,11,Ed Malloy,,5,5,0,1.0,96.9,,107.0,24.2,18.2,8.8,2.2,,96.2,16.2,21.6,9.4,3.0,,10.8,8.0,-3.4,-0.6,-0.8
11,12,Brandon Schwab,,5,4,1,0.8,96.3,,108.6,22.6,17.0,8.6,2.0,,97.0,18.0,19.6,8.4,2.2,,11.6,4.6,-2.6,0.2,-0.2
12,13,Tony Brothers,,2,2,0,1.0,97.5,,115.5,23.0,23.0,10.0,2.0,,102.0,25.5,20.0,13.0,2.0,,13.5,-2.5,3.0,-3.0,0.0
13,14,Brian Forte,,4,3,1,0.75,96.1,,108.0,20.5,21.3,9.5,2.3,,103.3,23.3,20.8,8.8,2.8,,4.7,-2.8,0.5,0.7,-0.5
14,15,Aaron Smith,,6,4,2,0.667,94.8,,107.7,19.7,19.3,9.7,2.2,,109.5,21.3,19.8,8.2,2.0,,-1.8,-1.6,-0.5,1.5,0.2
15,16,Brent Barnaky,,3,3,0,1.0,97.3,,118.3,12.7,16.7,8.0,3.3,,97.7,16.3,14.7,6.3,2.7,,20.6,-3.6,2.0,1.7,0.6
16,17,Derek Richardson,,4,3,1,0.75,95.7,,116.8,23.3,19.5,10.8,2.3,,109.0,25.0,20.0,8.8,1.5,,7.8,-1.7,-0.5,2.0,0.8
17,18,Josh Tiven,,5,2,3,0.4,94.1,,110.9,22.9,19.8,10.8,2.2,,106.6,22.9,20.6,9.2,2.5,,4.3,0.0,-0.8,1.6,-0.3
18,19,Rodney Mott,,3,2,1,0.667,90.2,,115.3,21.3,23.7,10.7,1.7,,104.3,26.3,20.0,9.0,2.3,,11.0,-5.0,3.7,1.7,-0.6
19,20,Brett Nansel,,4,3,1,0.75,94.0,,115.8,18.3,23.0,13.3,1.3,,106.0,32.3,19.3,8.0,3.3,,9.8,-14.0,3.7,5.3,-2.0
20,21,Nick Buchert,,6,3,3,0.5,93.7,,104.3,19.7,17.7,9.0,2.0,,99.3,20.0,18.3,8.2,2.7,,5.0,-0.3,-0.6,0.8,-0.7
21,22,Scott Foster,,4,1,3,0.25,95.0,,103.0,16.3,21.8,9.0,1.8,,102.3,23.3,16.5,7.3,2.8,,0.7,-7.0,5.3,1.7,-1.0
22,23,Ray Acosta,,4,4,0,1.0,92.7,,112.9,14.5,18.8,11.2,1.4,,100.3,22.8,17.3,5.7,2.6,,12.6,-8.3,1.5,5.5,-1.2
23,24,Brandon Adair,,2,2,0,1.0,94.8,,119.0,24.0,17.0,8.0,0.5,,112.5,18.0,23.0,8.5,3.0,,6.5,6.0,-6.0,-0.5,-2.5
24,25,Zach Zarba,,4,1,3,0.25,96.1,,105.5,17.3,14.0,7.0,1.0,,113.5,14.5,18.5,7.3,2.8,,-8.0,2.8,-4.5,-0.3,-1.8
25,26,Marat Kogut,,5,1,4,0.2,96.1,,101.9,18.8,21.7,11.0,2.5,,109.3,23.7,19.2,8.8,2.9,,-7.4,-4.9,2.5,2.2,-0.4
26,27,J.T. Orr,,3,2,1,0.667,95.8,,111.1,26.4,19.7,7.1,2.6,,107.0,15.5,22.6,10.6,2.3,,4.1,10.9,-2.9,-3.5,0.3
27,28,James Capers Jr.,,1,0,1,0.0,98.5,,109.0,17.0,21.0,6.0,1.0,,112.0,17.0,14.0,11.0,0.0,,-3.0,0.0,7.0,-5.0,1.0
28,29,Kevin Cutler,,6,2,4,0.333,95.9,,107.0,17.5,18.7,9.3,0.8,,110.0,22.7,18.2,7.7,1.8,,-3.0,-5.2,0.5,1.6,-1.0
29,30,Mousa Dagher,,3,2,1,0.667,94.6,,106.0,27.0,19.0,7.3,1.7,,100.7,18.3,22.0,12.3,2.3,,5.3,8.7,-3.0,-5.0,-0.6
30,31,Bennie Adams,,5,4,1,0.8,94.0,,113.8,21.2,21.8,12.2,2.0,,107.8,29.2,22.0,8.6,3.2,,6.0,-8.0,-0.2,3.6,-1.2
31,32,Pat Fraher,,3,2,1,0.667,97.3,,118.3,23.0,21.0,9.7,2.3,,118.0,21.7,22.7,11.0,3.7,,0.3,1.3,-1.7,-1.3,-1.4
32,33,Scott Wall,,5,4,1,0.8,99.6,,123.2,27.6,23.0,10.4,2.6,,116.0,24.8,22.8,12.2,3.2,,7.2,2.8,0.2,-1.8,-0.6
33,34,Matt Kallio,,4,3,1,0.75,93.2,,107.8,20.8,17.8,9.8,2.8,,101.5,21.8,19.8,8.3,3.3,,6.3,-1.0,-2.0,1.5,-0.5
34,35,Courtney Kirkland,,3,3,0,1.0,91.1,,102.0,19.0,15.7,6.7,2.7,,88.0,16.3,18.0,8.7,1.7,,14.0,2.7,-2.3,-2.0,1.0
35,36,Andy Nagy,,2,0,2,0.0,95.7,,100.5,24.5,25.5,7.0,4.5,,108.0,22.0,22.5,11.0,4.0,,-7.5,2.5,3.0,-4.0,0.5
36,37,Karl Lane,,5,5,0,1.0,98.3,,120.6,26.8,21.2,10.6,2.0,,105.4,24.4,23.2,12.4,1.8,,15.2,2.4,-2.0,-1.8,0.2
37,38,Curtis Blair,,6,3,3,0.5,96.1,,109.8,19.5,18.7,9.7,2.5,,107.5,20.5,20.0,9.0,2.7,,2.3,-1.0,-1.3,0.7,-0.2
38,39,Danielle Scott,,1,1,0,1.0,96.8,,107.0,22.0,19.0,11.0,1.0,,104.0,21.0,20.0,7.0,4.0,,3.0,1.0,-1.0,4.0,-3.0
39,40,Sean Corbin,,2,0,2,0.0,91.3,,87.5,23.0,22.0,12.5,2.5,,105.5,26.5,21.5,9.0,2.5,,-18.0,-3.5,0.5,3.5,0.0
40,41,J.B. DeRosa,,4,4,0,1.0,91.1,,111.9,17.8,20.2,13.1,1.0,,101.7,27.3,18.1,6.7,1.9,,10.2,-9.5,2.1,6.4,-0.9
41,42,Tre Maddox,,1,0,1,0.0,97.5,,102.0,24.0,17.0,7.0,2.0,,124.0,20.0,22.0,8.0,2.0,,-22.0,4.0,-5.0,-1.0,0.0
42,43,Bill Kennedy,,5,3,2,0.6,95.5,,104.8,21.2,19.2,8.6,2.4,,102.6,21.6,19.8,9.2,2.0,,2.2,-0.4,-0.6,-0.6,0.4
43,44,Jenna Schroeder,,2,1,1,0.5,95.3,,104.5,20.0,16.0,9.5,1.5,,108.5,17.5,19.0,10.0,2.5,,-4.0,2.5,-3.0,-0.5,-1.0
44,45,Kane Fitzgerald,,5,3,2,0.6,95.0,,111.6,17.0,22.8,12.4,3.0,,103.6,26.2,19.2,6.4,3.2,,8.0,-9.2,3.6,6.0,-0.2
45,46,Derrick Collins,,3,2,1,0.667,96.0,,113.7,17.0,17.3,7.7,2.3,,105.3,16.3,18.3,7.7,2.3,,8.4,0.7,-1.0,0.0,0.0
