,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,229,115,114,0.502,23697,23526,103.5,102.7
1,2,Boston Celtics,223,109,114,0.489,23406,23623,105.0,105.9
2,3,Brooklyn Nets,183,107,76,0.585,19241,18551,105.1,101.4
3,4,Charlotte Hornets,122,63,59,0.516,12572,12419,103.0,101.8
4,5,Chicago Bulls,259,127,132,0.49,26418,26281,102.0,101.5
5,6,Cleveland Cavaliers,225,128,97,0.569,23161,22622,102.9,100.5
6,7,Dallas Mavericks,81,43,38,0.531,8484,8439,104.7,104.2
7,8,Denver Nuggets,101,38,63,0.376,11015,11075,109.1,109.7
8,9,Detroit Pistons,255,142,113,0.557,26469,25793,103.8,101.1
9,10,Golden State Warriors,142,85,57,0.599,15448,15024,108.8,105.8
10,11,Houston Rockets,133,73,60,0.549,14226,14121,107.0,106.2
11,12,Indiana Pacers,202,111,91,0.55,20986,20710,103.9,102.5
12,13,Los Angeles Clippers,123,69,54,0.561,13189,12724,107.2,103.4
13,14,Los Angeles Lakers,142,59,83,0.415,14831,15043,104.4,105.9
14,15,Memphis Grizzlies,51,26,25,0.51,5064,5123,99.3,100.5
15,16,Miami Heat,122,49,73,0.402,12002,12203,98.4,100.0
16,17,Minnesota Timberwolves,64,31,33,0.484,6490,6450,101.4,100.8
17,18,New Orleans Pelicans,43,15,28,0.349,4461,4494,103.7,104.5
18,19,New York Knicks,224,119,105,0.531,23212,22755,103.6,101.6
19,20,Oklahoma City Thunder,147,74,73,0.503,15618,15467,106.2,105.2
20,21,Orlando Magic,121,68,53,0.562,12358,12182,102.1,100.7
21,22,Philadelphia 76ers,219,116,103,0.53,23168,22937,105.8,104.7
22,23,Phoenix Suns,148,72,76,0.486,16197,16157,109.4,109.2
23,24,Portland Trail Blazers,131,78,53,0.595,14106,13628,107.7,104.0
24,25,Sacramento Kings,152,94,58,0.618,16647,16058,109.5,105.6
25,26,San Antonio Spurs,95,43,52,0.453,9943,10152,104.7,106.9
26,27,Toronto Raptors,98,54,44,0.551,9830,9751,100.3,99.5
27,28,Utah Jazz,105,47,58,0.448,10919,10957,104.0,104.4
28,29,Washington Wizards,221,127,94,0.575,23491,23035,106.3,104.2
