,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Jim Boylan,2013,2013,1,50,22,28,0.44,-3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
1,2,Mike Budenholzer,2019,2022,4,309,213,96,0.689,58.5,4.0,60.0,38.0,22.0,0.633,1.0,1.0
2,3,Larry Costello,1969,1977,9,674,410,264,0.608,73.0,6.0,60.0,37.0,23.0,0.617,2.0,1.0
3,4,Larry Drew,2014,2014,1,82,15,67,0.183,-26.0,,,,,,,
4,5,Mike Dunleavy,1993,1996,4,328,107,221,0.326,-57.0,,,,,,,
5,6,Chris Ford,1997,1998,2,164,69,95,0.421,-13.0,,,,,,,
6,7,Frank Hamblen,1992,1992,1,65,23,42,0.354,-9.5,,,,,,,
7,8,Del Harris,1988,1992,5,345,191,154,0.554,18.5,4.0,21.0,6.0,15.0,0.286,0.0,0.0
8,9,George Karl,1999,2003,5,378,205,173,0.542,16.0,4.0,32.0,14.0,18.0,0.438,0.0,0.0
9,10,Jason Kidd,2015,2018,4,291,139,152,0.478,-6.5,2.0,12.0,4.0,8.0,0.333,0.0,0.0
10,11,Larry Krystkowiak,2007,2008,2,100,31,69,0.31,-19.0,,,,,,,
11,12,Don Nelson,1977,1987,11,884,540,344,0.611,98.0,9.0,88.0,42.0,46.0,0.477,0.0,0.0
12,13,Terry Porter,2004,2005,2,164,71,93,0.433,-11.0,1.0,5.0,1.0,4.0,0.2,0.0,0.0
13,14,Joe Prunty,2018,2018,1,37,21,16,0.568,2.5,1.0,7.0,3.0,4.0,0.429,0.0,0.0
14,15,Scott Skiles,2009,2013,5,344,162,182,0.471,-10.0,1.0,7.0,3.0,4.0,0.429,0.0,0.0
15,16,Terry Stotts,2006,2007,2,146,63,83,0.432,-10.0,1.0,5.0,1.0,4.0,0.2,0.0,0.0
