,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-19,,,Box Score,,Brooklyn Nets,W,,127,104,1,0,G. Allen · G. Antetokounmpo · J. Holiday · B. Lopez · K. Middleton
1,2,2021-10-21,,,Box Score,@,Miami Heat,L,,95,137,1,1,G. Allen · G. Antetokounmpo · P. Connaughton · G. Hill · K. Middleton
2,3,2021-10-23,,,Box Score,@,San Antonio Spurs,W,,121,111,2,1,G. Allen · G. Antetokounmpo · P. Connaughton · J. Holiday · K. Middleton
3,4,2021-10-25,,,Box Score,@,Indiana Pacers,W,,119,109,3,1,G. Allen · G. Antetokounmpo · T. Antetokounmpo · G. Hill · K. Middleton
4,5,2021-10-27,,,Box Score,,Minnesota Timberwolves,L,,108,113,3,2,G. Allen · G. Antetokounmpo · P. Connaughton · G. Hill · K. Middleton
5,6,2021-10-30,,,Box Score,,San Antonio Spurs,L,,93,102,3,3,G. Allen · G. Antetokounmpo · T. Antetokounmpo · G. Hill · K. Middleton
6,7,2021-10-31,,,Box Score,,Utah Jazz,L,,95,107,3,4,G. Allen · G. Antetokounmpo · T. Antetokounmpo · P. Connaughton · G. Hill
7,8,2021-11-02,,,Box Score,@,Detroit Pistons,W,,117,89,4,4,G. Allen · G. Antetokounmpo · T. Antetokounmpo · P. Connaughton · G. Hill
8,9,2021-11-05,,,Box Score,,New York Knicks,L,,98,113,4,5,G. Allen · G. Antetokounmpo · T. Antetokounmpo · P. Connaughton · G. Hill
9,10,2021-11-07,,,Box Score,@,Washington Wizards,L,,94,101,4,6,G. Allen · G. Antetokounmpo · G. Hill · J. Holiday · B. Portis
10,11,2021-11-09,,,Box Score,@,Philadelphia 76ers,W,,118,109,5,6,G. Allen · G. Antetokounmpo · G. Hill · J. Holiday · B. Portis
11,12,2021-11-10,,,Box Score,@,New York Knicks,W,,112,100,6,6,G. Allen · G. Antetokounmpo · G. Hill · J. Holiday · B. Portis
12,13,2021-11-12,,,Box Score,@,Boston Celtics,L,OT,113,122,6,7,G. Allen · P. Connaughton · G. Hill · J. Holiday · B. Portis
13,14,2021-11-14,,,Box Score,@,Atlanta Hawks,L,,100,120,6,8,G. Allen · G. Antetokounmpo · P. Connaughton · J. Holiday · B. Portis
14,15,2021-11-17,,,Box Score,,Los Angeles Lakers,W,,109,102,7,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
15,16,2021-11-19,,,Box Score,,Oklahoma City Thunder,W,,96,89,8,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
16,17,2021-11-20,,,Box Score,,Orlando Magic,W,,117,108,9,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
17,18,2021-11-22,,,Box Score,,Orlando Magic,W,,123,92,10,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
18,19,2021-11-24,,,Box Score,,Detroit Pistons,W,,114,93,11,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
19,20,2021-11-26,,,Box Score,@,Denver Nuggets,W,,120,109,12,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
20,21,2021-11-28,,,Box Score,@,Indiana Pacers,W,,118,100,13,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
21,22,2021-12-01,,,Box Score,,Charlotte Hornets,W,,127,125,14,8,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
22,23,2021-12-02,,,Box Score,@,Toronto Raptors,L,,93,97,14,9,G. Allen · P. Connaughton · J. Holiday · K. Middleton · B. Portis
23,24,2021-12-04,,,Box Score,,Miami Heat,W,,124,102,15,9,P. Connaughton · J. Holiday · S. Mamukelashvili · K. Middleton · B. Portis
24,25,2021-12-06,,,Box Score,,Cleveland Cavaliers,W,,112,104,16,9,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
25,26,2021-12-08,,,Box Score,@,Miami Heat,L,,104,113,16,10,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
26,27,2021-12-10,,,Box Score,@,Houston Rockets,W,,123,114,17,10,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
27,28,2021-12-12,,,Box Score,@,New York Knicks,W,,112,97,18,10,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
28,29,2021-12-13,,,Box Score,@,Boston Celtics,L,,103,117,18,11,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
29,30,2021-12-15,,,Box Score,,Indiana Pacers,W,,114,99,19,11,G. Allen · P. Connaughton · J. Holiday · J. Nwora · B. Portis
30,31,2021-12-17,,,Box Score,@,New Orleans Pelicans,L,OT,112,116,19,12,G. Allen · P. Connaughton · D. Cousins · J. Holiday · J. Nwora
31,32,2021-12-18,,,Box Score,,Cleveland Cavaliers,L,,90,119,19,13,D. Cousins · G. Hill · S. Mamukelashvili · J. Nwora · J. Smart
32,33,2021-12-22,,,Box Score,,Houston Rockets,W,,126,106,20,13,P. Connaughton · D. Cousins · J. Holiday · K. Middleton · J. Nwora
33,34,2021-12-23,,,Box Score,@,Dallas Mavericks,W,,102,95,21,13,P. Connaughton · D. Cousins · J. Holiday · K. Middleton · J. Nwora
34,35,2021-12-25,,,Box Score,,Boston Celtics,W,,117,113,22,13,G. Allen · G. Antetokounmpo · D. Cousins · J. Holiday · K. Middleton
35,36,2021-12-28,,,Box Score,@,Orlando Magic,W,,127,110,23,13,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
36,37,2021-12-30,,,Box Score,@,Orlando Magic,W,,136,118,24,13,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
37,38,2022-01-01,,,Box Score,,New Orleans Pelicans,W,,136,113,25,13,G. Allen · G. Antetokounmpo · P. Connaughton · J. Holiday · B. Portis
38,39,2022-01-03,,,Box Score,,Detroit Pistons,L,,106,115,25,14,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
39,40,2022-01-05,,,Box Score,,Toronto Raptors,L,,111,117,25,15,J. Holiday · W. Matthews · K. Middleton · J. Nwora · B. Portis
40,41,2022-01-07,,,Box Score,@,Brooklyn Nets,W,,121,109,26,15,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
41,42,2022-01-08,,,Box Score,@,Charlotte Hornets,L,,106,114,26,16,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
42,43,2022-01-10,,,Box Score,@,Charlotte Hornets,L,,99,103,26,17,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
43,44,2022-01-13,,,Box Score,,Golden State Warriors,W,,118,99,27,17,G. Allen · G. Antetokounmpo · W. Matthews · K. Middleton · B. Portis
44,45,2022-01-15,,,Box Score,,Toronto Raptors,L,,96,103,27,18,G. Allen · G. Antetokounmpo · W. Matthews · K. Middleton · B. Portis
45,46,2022-01-17,,,Box Score,@,Atlanta Hawks,L,,114,121,27,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
46,47,2022-01-19,,,Box Score,,Memphis Grizzlies,W,,126,114,28,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
47,48,2022-01-21,,,Box Score,,Chicago Bulls,W,,94,90,29,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
48,49,2022-01-22,,,Box Score,,Sacramento Kings,W,,133,127,30,19,P. Connaughton · G. Hill · J. Holiday · K. Middleton · B. Portis
